title,pubLink,year,innerCoAuthorsNames,innerCoAuthorsId,outerCoAuthors
Professionisti non per caso,http://hdl.handle.net/11311/244764,2007,"RATTI, ANDREA",rp08756,G. Schelotto;P. Virgolini
Fashion Design vs design dei servizi: i nuovi spazi per l'ospitalità,http://hdl.handle.net/11311/244805,2007,"CERVETTA, GABRIELE;SCULLICA, FRANCESCO",rp00252;rp03296,
"Per una visione polisemica del colore: percezione, comunicazione e rappresentazione",http://hdl.handle.net/11311/244856,2007,"VISCONTI, PAMELA",rp03094,
Dopo Proposte,http://hdl.handle.net/11311/244901,2005,"DELL'ACQUA BELLAVITIS, ARTURO",rp12071,
Leonardo dipinge il Cenacolo. Ancora sull’immagine del Vinciano nel XIX secolo,http://hdl.handle.net/11311/245001,2006,"CORDERA, PAOLA",rp16758,
"L'interno alberghiero e l'evoluzione degli spazi comuni: caratteristiche, ruoli e relazioni",http://hdl.handle.net/11311/245014,2002,"SCULLICA, FRANCESCO",rp03296,
Leonardo da Vinci: Studio per le misure di un cavallo,http://hdl.handle.net/11311/245020,2007,"MARANI, PIETRO CESARE",rp13647,
Learning design research. Critical issues derived from the Politecnico di Milano Ph.D. curricula in industrial design.,http://hdl.handle.net/11311/245062,2005,"PIZZOCARO, SILVIA LUISA",rp09913,
PSS Idea Design,http://hdl.handle.net/11311/245074,2005,"SANGIORGI, DANIELA",rp02121,
AIRO National Conference - Associazione Italiana di Ricerca Operativa,http://hdl.handle.net/11311/245084,2007,"COLORNI VITALE, ALBERTO",rp13114,D. Ciccarelli;A. Luè
"Campus: ""lab"" and ""window"" for sustainable design research and education. The DECOS educational network experience",http://hdl.handle.net/11311/245119,2006,"SOUSA PENIN, LARA;VEZZOLI, CARLO ARNALDO",rp21491;rp00177,
The European transport policy in a public choice perspective,http://hdl.handle.net/11311/245203,2001,"PONTI, MARCO GUIDO",rp08671,
Contract Design. Strategia e promozione,http://hdl.handle.net/11311/245238,2007,"DELL'ACQUA BELLAVITIS, ARTURO",rp12071,
Il design della flessibilità nel progetto dell'abitare,http://hdl.handle.net/11311/245289,2004,"COLLINA, LUISA MARIA VIRGINIA",rp13086,
Aeroporti e controllo del traffico aereo,http://hdl.handle.net/11311/245329,2002,"PONTI, MARCO GUIDO",rp08671,
DesignNet: a online knowledge gateway for industrial design education and research activities,http://hdl.handle.net/11311/245478,2002,"BOGHETICH, GIANGIUSEPPE MIDA;CIUCCARELLI, PAOLO;INNOCENTI, PERLA;VIDARI, FEDERICO",rp09050;rp13003;rp13293;rp15149,
Altri alfabeti,http://hdl.handle.net/11311/245481,2005,"BAULE, GIOVANNI",rp07984,
Permanenze storiche: il progetto della moda e la storia come bacino di conoscene allargato,http://hdl.handle.net/11311/245524,2007,"CONTI, GIOVANNI MARIA",rp18715,
Design for oblivion,http://hdl.handle.net/11311/245588,2005,"BAGNARA, SEBASTIANO;RIZZO, FRANCESCA",rp05415;rp15209,F. Papeschi;O. Parlangeli
Analisi costi - benefici dell'introduzione di un veicolo elettrico per la distribuzione urbana delle merci,http://hdl.handle.net/11311/245595,2003,"BRAMBILLA, MARCO GIOVANNI;ERBA, STEFANO;PONTI, MARCO GUIDO",rp17329;rp16937;rp08671,
Imballaggi inclusivi,http://hdl.handle.net/11311/245607,2006,"BUCCHETTI, VALERIA LUISA",rp07259,
Doctoral research as a learning hub - Perspectives from a PhD programme in progress,http://hdl.handle.net/11311/245697,2003,"PIZZOCARO, SILVIA LUISA",rp09913,
Designing for Space,http://hdl.handle.net/11311/245732,2002,"DOMINONI, ANNALISA",rp14744,
Forte. Development of an innovative fitness system to be used in the ISS,http://hdl.handle.net/11311/245750,2001,"DOMINONI, ANNALISA",rp14744,
Requisiti ecosistemici degli edifici residenziali. L'esperienza di Bovisa 90 - La Casa ecologica.,http://hdl.handle.net/11311/245822,2005,"PIARDI, SILVIA ELVIRA MARIA",rp08914,S. Pangrazzi
Politecnico Innovazione:un Consorzio per agevolare il trasferimento tecnologico alle PMI,http://hdl.handle.net/11311/245829,2001,"BRACCHI, GIAMPIO;CAMPODALL'ORTO, SERGIO",rp02442;rp15030,
Harmonisation of procedures and post-disaster settlement proposal in Piedmont,http://hdl.handle.net/11311/245847,2007,"FASSI, DAVIDE",rp01829,
An integrated information and management system for traditional and demand-responsive mobility services in the city of Milan,http://hdl.handle.net/11311/245924,2006,"COLORNI VITALE, ALBERTO",rp13114,D. Ciccarelli;A. Luè;D. Rossi
Rural heritage and sustainable tourism: Humac village in Croatia,http://hdl.handle.net/11311/245941,2006,"LUPO, ELEONORA;POSTIGLIONE, GENNARO",rp20259;rp08681,
La domanda di e-learning nella scuola,http://hdl.handle.net/11311/245968,2005,"COLORNI VITALE, ALBERTO",rp13114,D. Costa;F. Dal Fiore
Provocazioni della tecnica,http://hdl.handle.net/11311/246314,2006,"CIASTELLARDI, MATTEO",rp23328,
Imagina,http://hdl.handle.net/11311/246586,2004,"PIREDDA, FRANCESCA",rp01321,
Dispositivo asciugacapelli,http://hdl.handle.net/11311/246657,2006,"MANGIAROTTI, RAFFAELLA",rp13629,L. Bazzicalupo
La rete di ricerca Sistema Design Italia e il caso Me.design,http://hdl.handle.net/11311/246659,2003,"SIMONELLI, GIULIANO;VIGNATI, ARIANNA",rp02716;rp00929,
Geografie della comunicazione,http://hdl.handle.net/11311/246675,2007,"QUAGGIOTTO, MARCO",rp01463,
"Design e Metaprogetto. Teorie, strumenti, pratiche",http://hdl.handle.net/11311/246723,2005,"COLLINA, LUISA MARIA VIRGINIA",rp13086,
Modelli digitali per il disegno del disegno industriale: due percorsi  dal fisico al virtuale,http://hdl.handle.net/11311/246810,2006,"BREVI, FAUSTO",rp07170,
"Design per la sostenibilità. Strumenti e strategie per la decade ""Educazione per lo sviluppo sostenibile"" Nazioni Unite (2005-2014)",http://hdl.handle.net/11311/246819,2007,"VEZZOLI, CARLO ARNALDO",rp00177,P. Tamborrini
The xMem Project: Semantic Memory of Web Interactions,http://hdl.handle.net/11311/246912,2005,"CERI, STEFANO;DANIEL, FLORIAN;MATERA, MARISTELLA;RIZZO, FRANCESCA",rp10567;rp01391;rp13738;rp15209,
MIPA tra tradizione e innovazione,http://hdl.handle.net/11311/246919,2006,"ARQUILLA, VENANZIO;MAFFEI, STEFANO",rp07123;rp13561,
Dai grattacieli di New York alle Petronas della Malesia,http://hdl.handle.net/11311/246964,2003,"ROGNOLI, VALENTINA",rp09328,
E-Learning in Italy: Higher Education and Surroundings,http://hdl.handle.net/11311/246967,2005,"COLORNI VITALE, ALBERTO",rp13114,R. Mangione;M. Pegoraro
Realtà virtuale per il restauro: il caso della Sala delle Cariatidi,http://hdl.handle.net/11311/246996,2006,"BREVI, FAUSTO;PIGNATEL, ALICE;RUSSO, MICHELE",rp07170;rp01532;rp00523,N. Ceccarelli;L. L. Micoli
Sperimentazione su provini in muratura a tre parameteri in pietra di Noto e pietra serena,http://hdl.handle.net/11311/247008,2003,"BINDA, LUIGIA;ANZANI, ANNA;TONGINI FOLLI, ROBERTA",rp08164;rp07076;rp03137,J. Pina Henriques
L'evoluzione del trasporto passeggeri in Europa: una ricerca problematica,http://hdl.handle.net/11311/247100,2006,"PONTI, MARCO GUIDO",rp08671,C. Libè
Scenari per la web tv,http://hdl.handle.net/11311/247129,2007,"GALBIATI, MARIA LUISA",rp13667,
Design at work 2004,http://hdl.handle.net/11311/247158,2004,"PALMIERI, STEFANIA",rp08604,
L'innovazione tecnologica e le performances,http://hdl.handle.net/11311/247203,2007,"DELL'ACQUA BELLAVITIS, ARTURO",rp12071,
"Tpl, i sussidi al 70% dei costi non sono una scelta scontata",http://hdl.handle.net/11311/247222,2002,"PONTI, MARCO GUIDO",rp08671,
Usabilità design. Design delle interfacce: comunicazione uomo - macchina. L'ergonomia al servizio del design,http://hdl.handle.net/11311/247307,2005,"COSTA, FIAMMETTA CARLA ENRICA",rp13177,
Il metaprogetto nella didattica del design,http://hdl.handle.net/11311/247322,2004,"BERTOLA, PAOLA",rp08052,
La fruizione dei modelli dal tradizionale al virtuale: primi elementi di riflessione,http://hdl.handle.net/11311/247453,2003,"BREVI, FAUSTO",rp07170,
Spazi del gusto,http://hdl.handle.net/11311/247498,2004,"BUCCHETTI, VALERIA LUISA",rp07259,
Evolution of the crack-pattern as a visible effect of long term damage,http://hdl.handle.net/11311/247600,2005,"ANZANI, ANNA;BINDA, LUIGIA",rp07076;rp08164,
Moda e design: il progetto dell'eccellenza,http://hdl.handle.net/11311/247603,2007,"CAPPELLIERI, ALBA",rp10620,
"Leonardo, l'antico, il rilievo e le proporzioni dell'uomo e del cavallo",http://hdl.handle.net/11311/247604,2007,"MARANI, PIETRO CESARE",rp13647,
Towards a strategic role for doctoral research in design.,http://hdl.handle.net/11311/247689,2005,"PIZZOCARO, SILVIA LUISA",rp09913,
The design of aesthetic perception: some experiments in a formal approach.,http://hdl.handle.net/11311/247736,2006,"MAIOCCHI, MARCO MARIA;MANGIAROTTI, RAFFAELLA",rp13594;rp13629,
The mobility system in urban peripheries with particolar reference to the Italian situation,http://hdl.handle.net/11311/247897,2005,"SARTORIO, GIANLUIGI;STUDER, LUCA PASINO",rp21679;rp04572,
Constructive memory and situated desig computing,http://hdl.handle.net/11311/247907,2007,"PILLAN, MARGHERITA;TINAULI, MUSSTANSER",rp09886;rp03802,
Hotel & Design: the role of design in the hotel accomodation system,http://hdl.handle.net/11311/248059,2005,"COLLINA, LUISA MARIA VIRGINIA;SCULLICA, FRANCESCO",rp13086;rp03296,
Prodotti strutturali in legno ricomposto,http://hdl.handle.net/11311/248076,2002,"PIARDI, SILVIA ELVIRA MARIA",rp08914,
Il doppio sguardo del graphic designer,http://hdl.handle.net/11311/248085,2005,"BAULE, GIOVANNI",rp07984,
La stanza delle cose che succedono - Albesani Multisentory Room,http://hdl.handle.net/11311/248103,2007,"BIAMONTI, ALESSANDRO",rp17669,
Un modello di successo,http://hdl.handle.net/11311/248126,2001,"SIMONELLI, GIULIANO",rp02716,
Star bene in casa. Esigenze e requisiti di sostenibilità,http://hdl.handle.net/11311/248129,2007,"PIARDI, SILVIA ELVIRA MARIA",rp08914,
La Casa Spaziale. Le esperienze dello SpaceLab del Politecnico di Milano,http://hdl.handle.net/11311/248150,2007,"FERRARIS, SILVIA DEBORAH;TRABUCCO, FRANCESCO",rp07661;rp01774,
Metaimballaggi,http://hdl.handle.net/11311/248165,2004,"BUCCHETTI, VALERIA LUISA",rp07259,
An evaluation method for technological buildings design,http://hdl.handle.net/11311/248166,2004,"OBERTI, ILARIA;PIARDI, SILVIA ELVIRA MARIA;RATTI, ANDREA;SCUDO, GIOVANNI",rp08549;rp08914;rp08756;rp03287,
"Virtual Reality: lighting and communication for the Roman House ""La Consolata"" in Aosta",http://hdl.handle.net/11311/248178,2006,"ROSSI, MAURIZIO;SINISCALCO, ANDREA",rp23061;rp02414,L. Appolonia
"Innovation, Research and Technological Intelligence Experiences and Perspectives for the Fashion Industry",http://hdl.handle.net/11311/248203,2004,"CONTI, GIOVANNI MARIA",rp18715,
Un apparecchio wall-washer con un LED,http://hdl.handle.net/11311/248218,2007,"ROSSI, MAURIZIO",rp23061,F. Procaccini
Hotel Litta Palace,http://hdl.handle.net/11311/248221,2004,"SCULLICA, FRANCESCO",rp03296,
Caratteri postdigitali. Blog visuali. Etiche della comunicazione. Scenari per l’interazione. L’immagine a pezzi. Una scena ri-composta,http://hdl.handle.net/11311/248273,2005,"BAULE, GIOVANNI",rp07984,
Open Questions in the European Railway Liberalisation Process under a Public Choice Perspective,http://hdl.handle.net/11311/248289,2006,"ERBA, STEFANO;PONTI, MARCO GUIDO",rp16937;rp08671,
From communication design to activity design,http://hdl.handle.net/11311/248325,2006,"MAFFEI, STEFANO;SANGIORGI, DANIELA",rp13561;rp02121,
La liberalizzazione innominata,http://hdl.handle.net/11311/248448,2002,"PONTI, MARCO GUIDO",rp08671,
Presentazione del progetto di Ricerca,http://hdl.handle.net/11311/248491,2004,"INGARAMO, MATTEO ORESTE",rp13292,
"Benessere, igiene e salute dell'utenza. La qualità dell'aria intern",http://hdl.handle.net/11311/248612,2003,"PIARDI, SILVIA ELVIRA MARIA",rp08914,
Non c'è designer senza materioteca,http://hdl.handle.net/11311/248613,2004,"ROGNOLI, VALENTINA",rp09328,
Metamorfosi di Artemide: la luce che cambia la luce,http://hdl.handle.net/11311/248624,2002,"SIMONELLI, GIULIANO;ZURLO, FRANCESCO",rp02716;rp07950,
Rappresentazione virtuale: interfacce e tecniche d'interazione,http://hdl.handle.net/11311/248694,2003,"CECONELLO, MAURO ATTILIO",rp10483,
Un intervento di design urbano a Milano,http://hdl.handle.net/11311/248704,2007,"PICCINNO, GIOVANNA",rp08924,
La valutazione dei progetti di trasporto in Italia: analisi costi – benefici di alcune opere strategiche della legge obiettivo,http://hdl.handle.net/11311/248727,2005,"BRAMBILLA, MARCO;ERBA, STEFANO;PONTI, MARCO GUIDO",rp01056;rp16937;rp08671,
Archivi della memoria e del futuro. Le belle figure. Il web illustrato,http://hdl.handle.net/11311/248747,2005,"BAULE, GIOVANNI",rp07984,
Narrazione interattiva - tra linguaggio e forma espressiva,http://hdl.handle.net/11311/248785,2004,"PILLAN, MARGHERITA",rp09886,
Architettura e Design nel progetto dell’ospitalità,http://hdl.handle.net/11311/248787,2002,"COLLINA, LUISA MARIA VIRGINIA",rp13086,
"Didattica, ricerca,innovazione",http://hdl.handle.net/11311/248854,2003,"PIARDI, SILVIA ELVIRA MARIA",rp08914,
Esercizi di stile,http://hdl.handle.net/11311/248949,2006,"FERRARIS, SILVIA DEBORAH;MAIOCCHI, MARCO MARIA",rp07661;rp13594,M. Romero
Progettare per Milano,http://hdl.handle.net/11311/249010,2002,"INGARAMO, MATTEO ORESTE",rp13292,
Il patrimonio storico delle barche d'epoca tra riuso e museificazione,http://hdl.handle.net/11311/249133,2007,"PIARDI, SILVIA ELVIRA MARIA",rp08914,
Long term behaviour of old massive structures,http://hdl.handle.net/11311/249138,2005,"BINDA, LUIGIA;ANZANI, ANNA;SAISI, ANTONELLA ELIDE",rp08164;rp07076;rp23739,
Il packaging parla al cervello e al cuore del consumatore,http://hdl.handle.net/11311/249162,2004,"ROGNOLI, VALENTINA",rp09328,
Movie Design,http://hdl.handle.net/11311/249214,2002,"GALBIATI, MARIA LUISA",rp13667,
Mechanical behaviour of multiple-leaf stone masonry: experimental research,http://hdl.handle.net/11311/249228,2003,"ANZANI, ANNA;BINDA, LUIGIA;FONTANA, ALBERTO",rp07076;rp08164;rp11204,
Evaluating the Semantic Memory of Web Interactions in the xMem project,http://hdl.handle.net/11311/249230,2006,"DANIEL, FLORIAN;MATERA, MARISTELLA;RIZZO, FRANCESCA",rp01391;rp13738;rp15209,S. Albertario;A. Nibioli
Comunicazione coordinata per i beni culturali. Una mostra e alcune considerazioni,http://hdl.handle.net/11311/249251,2006,"GUIDA, FRANCESCO ERMANNO",rp00283,
Il settore e i prodotti biomedici,http://hdl.handle.net/11311/249268,2001,"COSTA, FIAMMETTA CARLA ENRICA",rp13177,
I nuovi scenari del tessile,http://hdl.handle.net/11311/249320,2006,"DELL'ACQUA BELLAVITIS, ARTURO",rp12071,
Pomellato,http://hdl.handle.net/11311/249363,2006,"CAPPELLIERI, ALBA",rp10620,
GLI INDICATORI EUROPEI DELL’INNOVAZIONE E DELLA RICERCA. LA SITUAZIONE ITALIANA,http://hdl.handle.net/11311/249368,2005,"VIGNATI, ARIANNA",rp00929,
Sulla metropoli. Città infinita o fine della città?,http://hdl.handle.net/11311/249379,2006,"ZINGALE, SALVATORE",rp07937,M. Bonfantini
Design for Local Development. Building a design approach for the territorial capital resources based on a situated perspective,http://hdl.handle.net/11311/249426,2006,"MAFFEI, STEFANO;VILLARI, BEATRICE",rp13561;rp00937,
"Fighting the digital divides: a schools initiative in primary and secondary schools in Rwanda, Congo and Ethiopia",http://hdl.handle.net/11311/249471,2006,"COLORNI VITALE, ALBERTO;SCOTTI, STEFANO",rp13114;rp02475,
RELAZIONI PRODUTTIVE: IMPRESA E UNIVERSITÀ NELL’ESPERIENZA DEL MASTER IN DESIGN STRATEGICO,http://hdl.handle.net/11311/249513,2005,"ZURLO, FRANCESCO",rp07950,
Una finestra sul mondo: Earthviewer 3D,http://hdl.handle.net/11311/249542,2003,"CECONELLO, MAURO ATTILIO",rp10483,
Movie design e retail experience. La dimensione ambientale della comunicazione,http://hdl.handle.net/11311/249636,2005,"PIREDDA, FRANCESCA",rp01321,
Icone incontaminate,http://hdl.handle.net/11311/249717,2001,"BUCCHETTI, VALERIA LUISA",rp07259,
L'Italia della Repubblica: la ricerca estetica e del design,http://hdl.handle.net/11311/249767,2006,"DELL'ACQUA BELLAVITIS, ARTURO",rp12071,
STORIA E MEMORIA NELL’ARREDO ITALIANO,http://hdl.handle.net/11311/249798,2005,"SCULLICA, FRANCESCO",rp03296,
Stile e digitale,http://hdl.handle.net/11311/249913,2004,"PILLAN, MARGHERITA",rp09886,
Parola chiave network. Alcune riflessioni sulle reti per la valorizzazione dei BB.CC.,http://hdl.handle.net/11311/249977,2006,"GUIDA, FRANCESCO ERMANNO",rp00283,
Le biblioteche pubbliche: spazi del sapere tra ricerca e progetto,http://hdl.handle.net/11311/250063,2001,"INGARAMO, MATTEO ORESTE",rp13292,
An effective and fast heuristic for the Dial-a-ride problem,http://hdl.handle.net/11311/250069,2006,"COLORNI VITALE, ALBERTO",rp13114,R. Wolfler
Reshaping communication design tools. Complex systems structural features for design tools,http://hdl.handle.net/11311/250084,2007,"BAULE, GIOVANNI;CIUCCARELLI, PAOLO;RICCI, DONATO;SCAGNETTI, GAIA",rp07984;rp13003;rp01619;rp01928,
Sinestesie del colore: fra ricerca e sperimentazione didattica per il design di comunicazione,http://hdl.handle.net/11311/250116,2005,"RICCO', DINA",rp08639,
Costruire imbarcazioni da diporto,http://hdl.handle.net/11311/250135,2004,"PIARDI, SILVIA ELVIRA MARIA;RATTI, ANDREA",rp08914;rp08756,
Un esercizio di sintesi. Riflessioni attorno ai microeventi del cibo,http://hdl.handle.net/11311/250223,2002,"MERONI, ANNA",rp13512,
Per una visione strategica della sostenibilità,http://hdl.handle.net/11311/250317,2005,"MERONI, ANNA",rp13512,
"Abitare la storia L’ospitalità nella antiche dimore, caso studio storicizzato",http://hdl.handle.net/11311/250388,2004,"SCULLICA, FRANCESCO;SIRONI, ALESSANDRA",rp03296;rp02094,
Trans-Alps: a transport model supporting traffic management in the alps,http://hdl.handle.net/11311/250415,2007,"MAJA, ROBERTO;MARCHIONNI, GIOVANNA;PONTI, MARCO;STUDER, LUCA PASINO",rp13597;rp19980;rp21492;rp04572,D. Romanò
Extended Memory (xMem) of Web Interactions,http://hdl.handle.net/11311/250419,2006,"CERI, STEFANO;DANIEL, FLORIAN;MATERA, MARISTELLA;RIZZO, FRANCESCA",rp10567;rp01391;rp13738;rp15209,
Movie Design. Scenari progettuali per il design della comunicazione audiovisiva e multimediale,http://hdl.handle.net/11311/250425,2005,"GALBIATI, MARIA LUISA",rp13667,
Il design dei servizi per l’innovazione della filiera delle produzioni locali di qualità: piattaforme innovative per l’intermediazione alimentare,http://hdl.handle.net/11311/250654,2006,"MANZINI, EZIO;MERONI, ANNA",rp13641;rp13512,
Arredamento,http://hdl.handle.net/11311/250656,2005,"DELL'ACQUA BELLAVITIS, ARTURO",rp12071,
La pianificazione e la valutazione delle infrastrutture in Italia: la legge obiettivo ed il caso del ponte sullo stretto di Messina,http://hdl.handle.net/11311/250657,2006,"BRAMBILLA, MARCO GIOVANNI;ERBA, STEFANO;PONTI, MARCO GUIDO",rp17329;rp16937;rp08671,
L'e-learning nella scuola,http://hdl.handle.net/11311/250749,2007,"COLORNI VITALE, ALBERTO",rp13114,D. Costa;G. Fedegari
Evaluation of transport infrastructure project beyond cost - benefit analysis. An application to Barcellona’s 4th ring road. A comment,http://hdl.handle.net/11311/250787,2002,"PONTI, MARCO GUIDO",rp08671,
Sinestesia e progetto,http://hdl.handle.net/11311/250878,2007,"RICCO', DINA",rp08639,
"Teresa, paladina del manifesto/Teresa, champion of the poster",http://hdl.handle.net/11311/250882,2007,"PIAZZA, MARIO",rp08916,
‘Communication design for digital convergence. A strategic approach to the audiovisual communication system’,http://hdl.handle.net/11311/250903,2007,"PIREDDA, FRANCESCA",rp01321,
Playing Design,http://hdl.handle.net/11311/250929,2007,"DELL'ACQUA BELLAVITIS, ARTURO",rp12071,L. Cavadini
Packaging design,http://hdl.handle.net/11311/251057,2005,"BUCCHETTI, VALERIA LUISA",rp07259,
L’IMPORTANZA DEL PROGETTO DI COMUNICAZIONE PER LA COSTRUZIONE DI UN’IMMAGINE DEL TERRITORIO,http://hdl.handle.net/11311/251081,2005,"ZURLO, FRANCESCO",rp07950,
Milano: un distretto del design,http://hdl.handle.net/11311/251085,2002,"PICCINNO, GIOVANNA",rp08924,
Innovatory Bio-Robotic System for the Accumulation of Energy of Step in a Limb Prosthesis,http://hdl.handle.net/11311/251099,2003,"CANINA, MARIA RITA;ROVETTA, ALBERTO",rp17046;rp23234,
"Wassily, per una nuova sostenibilità della luce negli uffici",http://hdl.handle.net/11311/251138,2007,"BOSSI, ELISA;ROSSI, MAURIZIO",rp00692;rp23061,
Packaging controverso,http://hdl.handle.net/11311/251168,2007,"BUCCHETTI, VALERIA LUISA",rp07259,
Prefazione. L'evoluzione del design management,http://hdl.handle.net/11311/251214,2007,"ZURLO, FRANCESCO",rp07950,
"Dispositivo di conservazione di alimenti a parete, in particolare per frutta",http://hdl.handle.net/11311/251326,2002,"INGARAMO, MATTEO ORESTE",rp13292,R. Gatti
Le fasi del progetto,http://hdl.handle.net/11311/251424,2005,"VILLARI, BEATRICE",rp00937,
Testi che generano progetti,http://hdl.handle.net/11311/251509,2004,"COLLINA, LUISA MARIA VIRGINIA",rp13086,
TRASFORMATIONS IN CHINA. A MODEL FOR OPPORTUNITY,http://hdl.handle.net/11311/251545,2006,"SIMONELLI, GIULIANO",rp02716,M. Pace
Murature a più paramenti: indagine sperimentale e studio di una tecnica di riparazione,http://hdl.handle.net/11311/251577,2005,"ANZANI, ANNA;BINDA, LUIGIA;FONTANA, ALBERTO",rp07076;rp08164;rp11204,
Web 2.0: a teacher training project at Politecnico di Milano,http://hdl.handle.net/11311/251591,2007,"COLORNI VITALE, ALBERTO",rp13114,S. Sancassani
Le tariffe dei trasporti pubblici e dei sussidi,http://hdl.handle.net/11311/251616,2003,"PONTI, MARCO GUIDO;BRAMBILLA, MARCO GIOVANNI;ERBA, STEFANO",rp08671;rp17329;rp16937,
Tecniche di Rappresentazione per il Disegno Industriale: il Tradizionale e il Virtuale,http://hdl.handle.net/11311/251780,2003,"BREVI, FAUSTO",rp07170,
Immagina 2007,http://hdl.handle.net/11311/251791,2007,"DOMINONI, ANNALISA",rp14744,
Oggetti dalla rete,http://hdl.handle.net/11311/251913,2004,"BAULE, GIOVANNI",rp07984,
Guidelines for implemen-ting a demand-responsive transportation system: the case studies of Milano and Como,http://hdl.handle.net/11311/251915,2005,"COLORNI VITALE, ALBERTO",rp13114,D. Ciccarelli;A. Luè;V. Morrocchi;D. Rossi;R. Wolfler
Puntare sulla gente per vendere di più,http://hdl.handle.net/11311/252025,2006,"ZURLO, FRANCESCO",rp07950,
"Il settore economico ""protesi e ausili"".",http://hdl.handle.net/11311/252061,2001,"COSTA, FIAMMETTA CARLA ENRICA",rp13177,
Segnali sulle superfici,http://hdl.handle.net/11311/252063,2007,"GUIDA, FRANCESCO ERMANNO",rp00283,
"Design e Impresa. Distretti industriali, design e percorsi di sviluppo",http://hdl.handle.net/11311/252069,2005,"ARQUILLA, VENANZIO",rp07123,
Asciugacapelli con caratteristiche ergonomiche migliorate,http://hdl.handle.net/11311/252095,2004,"MANGIAROTTI, RAFFAELLA",rp13629,
Il pensiero alimentare. Food Designer,http://hdl.handle.net/11311/252164,2002,"MERONI, ANNA",rp13512,
Il sistema ferroviario della Lombardia e l'area metropolitana di Milano,http://hdl.handle.net/11311/252179,2007,"MAJA, ROBERTO;PODESTA', CLAUDIO;STUDER, LUCA PASINO",rp13597;rp09921;rp04572,
Zucchetti,http://hdl.handle.net/11311/252191,2005,"MANGIAROTTI, RAFFAELLA",rp13629,
Comunicazione instabile. Webzine per la grafica,http://hdl.handle.net/11311/252213,2006,"BAULE, GIOVANNI",rp07984,
Prodotti non prodotti,http://hdl.handle.net/11311/252240,2006,"BUCCHETTI, VALERIA LUISA",rp07259,
Le maggiori critiche economiche all'Alta Velocità italiana,http://hdl.handle.net/11311/252260,2006,"PONTI, MARCO GUIDO",rp08671,
Il Workshop Design,http://hdl.handle.net/11311/252262,2004,"PARENTE, MARINA",rp08480,V. Cristallo;E. Guida;A. Morone
"Sto a casa a lavorare, abito in fabbrica",http://hdl.handle.net/11311/252274,2003,"PIARDI, SILVIA ELVIRA MARIA",rp08914,
"GIDE EVENT 2007:students workshop, lectures, exhibition, theatrical performance, teachers meeting",http://hdl.handle.net/11311/252279,2007,"FASSI, DAVIDE",rp01829,
Segnale di luce,http://hdl.handle.net/11311/252342,2006,"GUIDA, FRANCESCO ERMANNO",rp00283,
Le forme della scrittura,http://hdl.handle.net/11311/252442,2004,"BAULE, GIOVANNI",rp07984,
La stratégie design,http://hdl.handle.net/11311/252509,2007,"ZURLO, FRANCESCO",rp07950,B. Kamel
Metodi e strumenti per il design di prodotto,http://hdl.handle.net/11311/252528,2003,"BREVI, FAUSTO",rp07170,
Videoritratti,http://hdl.handle.net/11311/252576,2007,"GALBIATI, MARIA LUISA",rp13667,
Codesigning: dallo User centred allo User driver design. User Centred Design e usabilità. Le norme ergonomiche: vincolo o opportunità per il designer?,http://hdl.handle.net/11311/252758,2005,"COSTA, FIAMMETTA CARLA ENRICA",rp13177,
La terza fase. Il brief di progetto e lo scenario,http://hdl.handle.net/11311/252846,2002,"INGARAMO, MATTEO ORESTE",rp13292,
Visioni di altri mondi,http://hdl.handle.net/11311/252861,2005,"QUAGGIOTTO, MARCO",rp01463,
Progettare gli uffici: la qualità dell'aria interna,http://hdl.handle.net/11311/252956,2006,"PIARDI, SILVIA ELVIRA MARIA",rp08914,
"IL MANIFESTO CINESE, 1921-2000",http://hdl.handle.net/11311/253009,2005,"GUIDA, FRANCESCO ERMANNO",rp00283,
Design ergonomico e mezzi di trasporto. Design e innovazione tecnologica: vincolo o opportunità per il designer. Design dei beni strumentali,http://hdl.handle.net/11311/253253,2005,"COSTA, FIAMMETTA CARLA ENRICA",rp13177,
Progetto Immagine coordinata,http://hdl.handle.net/11311/253310,2005,"ARQUILLA, VENANZIO;BIANCHINI, MASSIMO;ZURLO, FRANCESCO",rp07123;rp20554;rp07950,
Come inventare e progettare alla maniera di Poe. Filosofia della composizione,http://hdl.handle.net/11311/253331,2005,"BONFANTINI, MASSIMO ACHILLE;TERENZI, MARINA TATIANA;ZINGALE, SALVATORE",rp07555;rp02251;rp07937,G. Proni
IAQ Evaluation of Educational Buildings,http://hdl.handle.net/11311/253435,2003,"OBERTI, ILARIA;BAGLIONI, ADRIANA;PIARDI, SILVIA ELVIRA MARIA;PLANTAMURA, FRANCESCA;RATTI, ANDREA",rp08549;rp05394;rp08914;rp09917;rp08756,
Web Usability: Principles and Evaluation Methods,http://hdl.handle.net/11311/253452,2006,"MATERA, MARISTELLA;RIZZO, FRANCESCA;TOFFETTI CARUGHI, GIOVANNI",rp13738;rp15209;rp03126,
Design studio project: an hypothesis for collaboraive learning in industrial design field,http://hdl.handle.net/11311/253483,2003,"CELI, MANUELA",rp10517,
A methodology for color management in the environment of virtual restoration,http://hdl.handle.net/11311/253494,2005,"BREVI, FAUSTO;CECCARELLI, NICOLO';PIGNATEL, ALICE",rp07170;rp10480;rp01532,
