title,pubLink,year,innerCoAuthorsNames,innerCoAuthorsId,outerCoAuthors
SMARTA: Smart Ambiente and Wearable Home Monitoring for Elderly,http://hdl.handle.net/11311/1004158,2016,"PEREGO, PAOLO;TARABINI, MARCO;BOCCIOLONE, MARCO FRANCESCO;ANDREONI, GIUSEPPE",rp23374;rp02238;rp07059;rp06094,
On the generalized bin packing problem,http://hdl.handle.net/11311/1004183,2017,"BRUGLIERI, MAURIZIO",rp07215,"Baldi, Mauro Maria"
"Exploring aesthetic interactions through prototyping. The role of experiential prototype in design
knowledge generation",http://hdl.handle.net/11311/1004203,2015,"BORDEGONI, MONICA;COLOMBO, SARA;PILLAN, MARGHERITA;RAMPINO, LUCIA ROSA ELENA",rp07734;rp10086;rp09886;rp08743,
Translating Place Identity into Transmedia Communication Systems: Communication Design Process and Methods,http://hdl.handle.net/11311/1004778,2016,"SCURI, SABRINA;CHIODO, ELISA;CALABI, DANIELA ANNA",rp11308;rp06807;rp07326,
Texture e Testo. Un processo traduttivo,http://hdl.handle.net/11311/1004805,2016,"CALABI, DANIELA ANNA",rp07326,
Design for hospitable interiors: open-ended design solution for welcoming diversity,http://hdl.handle.net/11311/1005056,2014,"GIUNTA, ELENA ENRICA;GEROSA, GIULIA MARIA",rp02205;rp00520,
"L’oggetto del progetto. Saggi, dialoghi e lezioni di semiotica intorno al design e all’inventiva progettuale",http://hdl.handle.net/11311/1005063,2015,"ZINGALE, SALVATORE;BONFANTINI, MASSIMO ACHILLE",rp07937;rp07555,
Crescere con il Territorio: il rapporto città-commercio dall'antichità al IXX secolo,http://hdl.handle.net/11311/1005079,2016,"GEROSA, GIULIA MARIA",rp00520,
Raccontarsi nel Territorio: la nascita del negozio moderno,http://hdl.handle.net/11311/1005081,2016,"GEROSA, GIULIA MARIA",rp00520,
Recupero e trasformazione urbana,http://hdl.handle.net/11311/1005082,2016,"GEROSA, GIULIA MARIA",rp00520,
Rifunzionalizzazione e metamorfosi,http://hdl.handle.net/11311/1005085,2016,"GEROSA, GIULIA MARIA",rp00520,
Design: dall’oggetto al progetto,http://hdl.handle.net/11311/1005099,2015,"ZINGALE, SALVATORE",rp07937,
'This is my Design'. Lo spazio dell’abduzione nella progettualità,http://hdl.handle.net/11311/1005111,2015,"ZINGALE, SALVATORE",rp07937,
The Consequences of Things. The Semiotics and the Pragmatistic Route to Designing,http://hdl.handle.net/11311/1005120,2015,"ZINGALE, SALVATORE;DOMINGUES MACHADO MELO, FELIPE",rp07937;rp12998,
Per natura e per cultura. Semiotica ecologica e wayfinding,http://hdl.handle.net/11311/1005136,2015,"ZINGALE, SALVATORE",rp07937,
Il gioco dialogico nella comunicazione sociale. Schemi semiotici e casi studio,http://hdl.handle.net/11311/1005156,2015,"ZINGALE, SALVATORE",rp07937,
Semiotica del progetto: la via pragmatista,http://hdl.handle.net/11311/1005163,2016,"ZINGALE, SALVATORE",rp07937,
Qual semiótica para o design? A via pragmatista e a construção de una semiótica do projeto,http://hdl.handle.net/11311/1005169,2016,"ZINGALE, SALVATORE",rp07937,
What semiotic for design? The pragmatist way and the construction of a project’s semiotic,http://hdl.handle.net/11311/1005170,2016,"ZINGALE, SALVATORE",rp07937,
Design as translation activity: a semiotic overview,http://hdl.handle.net/11311/1005171,2016,"ZINGALE, SALVATORE",rp07937,
Come una traduzione. La traduzione del senso nel design,http://hdl.handle.net/11311/1005172,2016,"ZINGALE, SALVATORE",rp07937,
Il design e le scienze umane. Temi per una scienza dialogica,http://hdl.handle.net/11311/1005173,2016,"ZINGALE, SALVATORE",rp07937,
L’osservazione semiotica,http://hdl.handle.net/11311/1005174,2016,"ZINGALE, SALVATORE",rp07937,
"Innamoramento e abduzione. Il progetto, l’imprevisto, l’improvviso",http://hdl.handle.net/11311/1005175,2016,"ZINGALE, SALVATORE",rp07937,
Semiotics and Global Products Design,http://hdl.handle.net/11311/1005177,2014,"ZINGALE, SALVATORE;DOMINGUES MACHADO MELO, FELIPE",rp07937;rp12998,"Dijon, De Moraes"
A new Mathematical Programming Model for the Green Vehicle Routing Problem,http://hdl.handle.net/11311/1005189,2016,"BRUGLIERI, MAURIZIO",rp07215,"Mancini, Simona;Pezzella, Ferdinando;Pisacane, Ornella"
KNITWEAR DESIGN NEW VISIONS: SMART-K PROJECT. How the traditional craft methodologies are evolving into new scenarios thanks to technological innovation.,http://hdl.handle.net/11311/1005214,2016,"MOTTA, MARTINA;GALLARATI, FEDERICA;CONTI, GIOVANNI MARIA;DELL'ACQUA BELLAVITIS, ARTURO",rp12920;rp11278;rp18715;rp12071,
Il sistema di offerta dell'impresa entro il paradigma dell'experience design,http://hdl.handle.net/11311/1005219,2016,"IANNILLI, VALERIA MARIA",rp13283,
L'apporto delle scienze umane negli studi del design per il retail,http://hdl.handle.net/11311/1005220,2016,"IANNILLI, VALERIA MARIA",rp13283,
Smart consumer vs smart retail context,http://hdl.handle.net/11311/1005223,2016,"IANNILLI, VALERIA MARIA",rp13283,
Knowledge Isles in an Open Access World: the Project Open Archipelago,http://hdl.handle.net/11311/1005245,2011,"CIASTELLARDI, MATTEO",rp23328,"Eccli, Ugo;Perotta, Fabio"
Matèria connectada,http://hdl.handle.net/11311/1005258,2011,"CIASTELLARDI, MATTEO",rp23328,"de Almeida, Cristina Miranda"
Connecting knowledge. Innovation through bottom-up collaboration to promote and diffuse cultural heritage,http://hdl.handle.net/11311/1005271,2011,"CIASTELLARDI, MATTEO",rp23328,"de Almeida, Cristina Miranda"
Il web come lo spazio della relazione. Prodromi di un’ecologia del testo,http://hdl.handle.net/11311/1005310,2013,"CIASTELLARDI, MATTEO",rp23328,
La narrazione e il supporto. Il principio di traduzione nel progetto transmediale,http://hdl.handle.net/11311/1005330,2016,"CIASTELLARDI, MATTEO",rp23328,"de Kerckhove, Derrick"
Digital Wall. Cognitive Design for Connective Environment.,http://hdl.handle.net/11311/1005338,2013,"CIASTELLARDI, MATTEO",rp23328,"de Kerckhove, Derrick;Aiello, Donato;Rossignaud, Maria Pia;Irlando, Antonio"
Political Reactivation in Bottom-up Environment. A social media framework to enhance participation from online network to everyday life and viceversa.,http://hdl.handle.net/11311/1005350,2011,"CIASTELLARDI, MATTEO",rp23328,
UNIVERSITIES AND INDUSTRY: NETWORKS TO CO-INNOVATE,http://hdl.handle.net/11311/1005405,2016,"PALMIERI, STEFANIA",rp08604,"Amandolese, D."
"DESIGNING AND INNOVATING WITH PAPER, BOARD, AND CELLULOSE PULP - PROGETTARE E FARE INNOVAZIONE CON CARTA, CARTONE E POLPA DI CELLULOSA",http://hdl.handle.net/11311/1005574,2016,"BISSON, MARIO",rp06924,
"Ultrasound System Typologies, User Interfaces and Probes Design: A Review",http://hdl.handle.net/11311/1005663,2015,"ANDREONI, GIUSEPPE;MAZZOLA, MARCO",rp06094;rp00877,"Matteoli, S;D’Onofrio, S;Forzoni, L."
Projetando para a inovação: A cross fertilization como método,http://hdl.handle.net/11311/1005736,2016,"CONTI, GIOVANNI MARIA",rp18715,"Souza, Patrícia Patrícia de Mello"
Fun by design: The game design activity and its iterative process as (playful) learning practices,http://hdl.handle.net/11311/1006022,2016,"MARIANI, ILARIA",rp11844,J. Ackermann
The pragmatism as a semiotic route to designing: Understanding the inferential logics of sense attribution,http://hdl.handle.net/11311/1006109,2016,"ZINGALE, SALVATORE;DOMINGUES MACHADO MELO, FELIPE",rp07937;rp12998,"Dijon, De Moraes"
PEGASO Fit for Future.,http://hdl.handle.net/11311/1006151,2015,"GUARNERI, MARIA RENATA;ANDREONI, GIUSEPPE",rp19183;rp06094,
Nuovi Sistemi di salute personale: dalla Ricerca al Mercato,http://hdl.handle.net/11311/1006160,2012,"ANDREONI, GIUSEPPE",rp06094,
Defining Requirements and Related Methods for Designing Sensorized Garments,http://hdl.handle.net/11311/1006165,2016,"ANDREONI, GIUSEPPE;STANDOLI, CARLO EMILIO;PEREGO, PAOLO",rp06094;rp12280;rp23374,
L’informazione mediata. Il processo d’interazione nella cultura del testo,http://hdl.handle.net/11311/1006240,2016,"CIASTELLARDI, MATTEO",rp23328,
Antropometria,http://hdl.handle.net/11311/1006272,2009,"ANDREONI, GIUSEPPE;PIZZAGALLI, MANUELA",rp06094;rp04724,
Biomeccanica Occupazionale,http://hdl.handle.net/11311/1006273,2009,"ANDREONI, GIUSEPPE",rp06094,
Augmented Reality for Collaborative Media,http://hdl.handle.net/11311/1006435,2016,"CIASTELLARDI, MATTEO",rp23328,
The Empowering of the Personal and Situated Dimensions of Knowledge: Web 2.0 and Internet of Things,http://hdl.handle.net/11311/1006511,2012,"CIASTELLARDI, MATTEO",rp23328,"de Almeida, Cristina Miranda"
Education Overload. McLuhan and the Quest for New Patterns in the Era of Total Surround.,http://hdl.handle.net/11311/1006537,2013,"CIASTELLARDI, MATTEO",rp23328,
Re-cognizing McLuhan’s critical thought,http://hdl.handle.net/11311/1006580,2011,"CIASTELLARDI, MATTEO",rp23328,"Patti, Emanuela"
From Media Literacy to Transmedia Literacy. An Afterword,http://hdl.handle.net/11311/1006603,2013,"CIASTELLARDI, MATTEO",rp23328,"Di Rosario, Giovanna"
TURISMO SPAZIALE,http://hdl.handle.net/11311/1006782,2015,"DOMINONI, ANNALISA",rp14744,
Designing from the Unfamiliar: How Designing for Space and Extreme Environments can Generate Spin-Off and Innovate Product Strategies,http://hdl.handle.net/11311/1006783,2015,"DOMINONI, ANNALISA",rp14744,
FOR DESIGNERS WITH THEIR HEAD BEYOND THE CLOUDS,http://hdl.handle.net/11311/1006784,2015,"DOMINONI, ANNALISA",rp14744,
Dispositivo educativo interattivo,http://hdl.handle.net/11311/1006914,2016,"FERRARO, VENERE",rp00495,"Sonia, China;Belen, Corradi;Marius, Holter;Kasper, Pietrzykowski"
Negative Experiences as Learning Trigger: A Play Experience Empirical Research on a Game for Social Change Case Study,http://hdl.handle.net/11311/1006915,2016,"MARIANI, ILARIA",rp11844,"Gandolfi, Enrico"
Design per la sostenibilità ambiantale. Progettare il ciclo di vita dei prodotti.,http://hdl.handle.net/11311/1006942,2017,"VEZZOLI, CARLO ARNALDO",rp00177,
CROSS FERTILIZATION: UM DIRECIONAMENTO PARA A INOVAÇÃO,http://hdl.handle.net/11311/1006959,2016,"CONTI, GIOVANNI MARIA",rp18715,"Souza, Patrícia de Mello"
Antonio Balestra e la gioventù romana.,http://hdl.handle.net/11311/1006986,2016,"MAFFEIS, RODOLFO",rp08227,
«Quasi dentatae rotae»: Leonardo disegna la Luna,http://hdl.handle.net/11311/1007029,2015,"MAFFEIS, RODOLFO",rp08227,
L'equivoco del sole immobile: cosmologia di Leonardo tra disegni e testi,http://hdl.handle.net/11311/1007039,2015,"MAFFEIS, RODOLFO",rp08227,
GIOCO TATTILE PER NON VEDENTI,http://hdl.handle.net/11311/1007045,2016,"FERRARO, VENERE",rp00495,Lorenzo Sarghini
"Molto amore per nulla: il ""Furioso"" in pittura nel Settecento italiano",http://hdl.handle.net/11311/1007047,2014,"MAFFEIS, RODOLFO",rp08227,
Il cielo di Leonardo e uno Zodiaco dantesco.,http://hdl.handle.net/11311/1007078,2016,"MAFFEIS, RODOLFO",rp08227,
"Prefabricated, expandable and portable houses in the Italian magazine Domus from the Thirties",http://hdl.handle.net/11311/1007145,2016,"FERABOLI, MARIA TERESA",rp17014,
Le politiche per il design e il design per le politiche. Dal focus sulla soluzione alla centralità della valutazione.,http://hdl.handle.net/11311/1007206,2016,"MORTATI, MARZIA;VILLARI, BEATRICE;MAFFEI, STEFANO;ARQUILLA, VENANZIO",rp07363;rp00937;rp13561;rp07123,
Credere nel business sociale,http://hdl.handle.net/11311/1007266,2016,"GALBIATI, MARIA LUISA",rp13667,
Contemporary Communication Scenarios,http://hdl.handle.net/11311/1007267,2016,"GALBIATI, MARIA LUISA",rp13667,
Le prassi comunicative nell’era digitale,http://hdl.handle.net/11311/1007354,2016,"GALBIATI, MARIA LUISA",rp13667,
Designing materials experiences through passing of time - Material driven design method applied to mycelium-based composites,http://hdl.handle.net/11311/1007414,2016,"PARISI, STEFANO;ROGNOLI, VALENTINA;AYALA GARCIA, CAMILO",rp13789;rp09328;rp45443,
The emotional value of Do-It-Yourself materials,http://hdl.handle.net/11311/1007415,2016,"ROGNOLI, VALENTINA;AYALA GARCIA, CAMILO;PARISI, STEFANO",rp09328;rp45443;rp13789,
Experimenting with materials-a source for designers to give meaning to new applications,http://hdl.handle.net/11311/1007416,2014,"AYALA GARCIA, CAMILO",rp45443,
Dalla Città Nuova alla Green City,http://hdl.handle.net/11311/1007502,2016,"IRACE, FULVIO",rp13301,
Design Doing: The service designer role in a society where everybody designs,http://hdl.handle.net/11311/1007532,2016,"ROSSI, MARTINA",rp17566,
"Tunnel Fire Testing and Modeling
The Morgex North Tunnel Experiment",http://hdl.handle.net/11311/1007626,2017,"BORGHETTI, FABIO;DERUDI, MARCO;GANDINI, PAOLO;FRASSOLDATI, ALESSIO;TAVELLI, SILVIA",rp23164;rp09945;rp09274;rp13203;rp09634,
Metropolis,http://hdl.handle.net/11311/1007675,2017,"IRACE, FULVIO",rp13301,
Luxusmarken-Management,http://hdl.handle.net/11311/1008095,2017,"CAPPELLIERI, ALBA;TENUTA, LIVIA",rp10620;rp11433,
"Mapping the IoT: Co-design, test and refine a design framework for IoT products",http://hdl.handle.net/11311/1008143,2016,"VITALI, ILARIA;ROGNOLI, VALENTINA;ARQUILLA, VENANZIO",rp19580;rp09328;rp07123,
"The material experiences as DIY-Materials:
Self production of wool filled starch based composite (NeWool).",http://hdl.handle.net/11311/1008145,2016,"ROGNOLI, VALENTINA;AYALA GARCIA, CAMILO",rp09328;rp45443,
Superfici Imperfette,http://hdl.handle.net/11311/1008146,2016,"PARISI, STEFANO;ROGNOLI, VALENTINA",rp13789;rp09328,
"ICS_Materials: materiali interattivi, connessi e smart",http://hdl.handle.net/11311/1008150,2017,"ROGNOLI, VALENTINA;FERRARA, MARIA RITA;ARQUILLA, VENANZIO",rp09328;rp02298;rp07123,
"Comercio con la historia. OMA, Fondaco dei Tedeschi in Venice",http://hdl.handle.net/11311/1008379,2016,"IRACE, FULVIO",rp13301,
Telling without talking: dynamic products’ potential for non-verbal communication,http://hdl.handle.net/11311/1008383,2016,"COLOMBO, SARA;RAMPINO, LUCIA ROSA ELENA",rp10086;rp08743,
Milan 1630: the festivities to celebrate the birth of Prince Balthasar of Spain and an invention by Leonardo da Vinci,http://hdl.handle.net/11311/1008679,2017,"MARANI, PIETRO CESARE",rp13647,"BORA, Giulio"
Engagement & storytelling for social innovation,http://hdl.handle.net/11311/1008787,2016,"GALBIATI, MARIA LUISA",rp13667,
Games telling stories of and for social innovation,http://hdl.handle.net/11311/1008788,2016,"MARIANI, ILARIA",rp11844,
A conversation with Marisa Galbiati & Ezio Manzini,http://hdl.handle.net/11311/1008789,2016,"GALBIATI, MARIA LUISA;MANZINI, EZIO",rp13667;rp13641,
The Pearl Diver. The Designer as Storyteller,http://hdl.handle.net/11311/1008790,2016,"BERTOLOTTI, ELISA;PIREDDA, FRANCESCA",rp03175;rp01321,"Daam, Heather;Tassinari, Virginia"
Enriching Geographic Maps with Accessible Paths Derived from Implicit Mobile Device Data Collection,http://hdl.handle.net/11311/1008866,2016,"BIAGI, LUDOVICO GIORGIO ALDO;COMAI, SARA;MANGIAROTTI, RAFFAELLA;MATTEUCCI, MATTEO;NEGRETTI, MARCO",rp06912;rp13117;rp13629;rp13465;rp08508,"Yavuz, Secil Ugur"
Optimizing the location of helicopter emergency medical service operating sites,http://hdl.handle.net/11311/1009204,2016,"BRUGLIERI, MAURIZIO;CARDANI, CESARE",rp07215;rp10649,"Putzu, Matteo"
"The value of design: an issue of vision, creativity and interpretation",http://hdl.handle.net/11311/1009513,2016,"FONSECA BRAGA, MARIANA",rp20101,
3D technology and industrial design to breathe new life into product design. Is this the future of fashion and textiles?,http://hdl.handle.net/11311/1009808,2017,"MOTTA, MARTINA;GADDI, ROSSANA;CONTI, GIOVANNI MARIA",rp12920;rp02023;rp18715,
