dc.type.full,dc.identifier.uri,dc.date.issued,dc.title,dc.authority.people
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1038441,2016,IL GIOIELLO E IL VIAGGIO | JEWELLERY AND JOURNEY,L. TENUTA
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1039133,2015,Designing Pilot Projects as Boundary Objects. A Brazilian Case Study in the Promotion of Sustainable Design,"F. Zurlo;DOS GUIMARAES ALVIM NUNES, VIVIANE"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1039811,2017,Designing better services. A strategic approach from design to evaluation,F. Foglieni;B. Villari;S. Maffei
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1039820,2017,MakeToCare. Un ecosistema di attori e soluzioni user-centered per l'innovazione nel campo dell'healthcare,"Maffei, Stefano;Bianchini, Massimo;Parini, Barbara;DELLI ZOTTI, ELISA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1041104,2018,"Catene:Gioielli tra storia, funzione e ornamento. Chains: jewellery in history, function and ornament","Cappellieri, Alba"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1041106,2017,"Gioielli Funzionali, Functional Jewellery",Cappellieri Alba
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1044114,2017,Dalla molecola al paziente. La biomedicina nella società contemporanea,"Crabu, Stefano"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1044392,2018,Location-Based Mobile Games. Design Perspectives,"Spallazzo, Davide;Mariani, Ilaria"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1044670,2017,Design e rito. La cultura del progetto per il patrimonio rituale contemporaneo,G. Pils;R. Trocchianesi
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1044702,2018,"Materials that Move. Smart Materials, Intelligent Design",M. Bengisu;M. Ferrara
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1045755,2018,Laboratori d'arredo. Didattica e progetti di design tra tradizione e innovazione,R. de Paolis;M. S. Tresoldi;G. Buratti;L. Dellera;E. Lupidi
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1045761,2000,Furniture e Textile design. Ricerca applicata e formazione come strategie per l'area comasca,R. de Paolis;A. Deserti;F. Celaschi
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1045958,2012,Benedetto Luti: l'ultimo maestro,Rodolfo Maffeis
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1047608,2018,Design & Alzheimer,"alessandro, biamonti"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1048748,2018,Evolving Perspectives in Product Design. From Mass Production to Social Awareness,Lucia Rampino
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1049832,2018,MASSIVE CODESIGN,"Meroni Anna;SELLONI, DANIELA;ROSSI, MARTINA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1051184,2018,"Il Design dell’illuminazione: dalla cultura del progetto, al colore, al CAD",M. Rossi
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1051292,2018,FASHIONabilities. Pianificare e gestire i processi di progettazione del prodotto moda,Bertola P.;Colombi C.;Vacca F.
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1051311,2018,SPAZIO AL CIBO. IL RUOLO DEL DESIGN NEL PROGETTO DELL’ALTA CUCINA,B Di Prete
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1054512,2018,"Idee in movimento, il valore economico dell'innovazione",Marco Turinetto
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1054598,2007,EUCIP Guida alla certificazione per professionisti IT,G. BIGINI;M. BRAMBILLA;CAPPIELLO C;F. RIZZO
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1056583,2018,Designing Sustainable Energy for All. Sustainable Product-Service System Design Applied to Distributed Renewable Energy,Vezzoli C.;Ceschin F.;Osanjo L.;M’Rithaa M. K.;Moalosi R.;Nakazibwe V.;Diehl J. C.
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1056593,2018,Sistema Produto+Serviço Sustentável: Fundamentos,Vezzoli C.;Kohtala C.;Srinivasan A.;Xin L. Aguinaldo dos Santos;Liliane Iten Chaves;Leonardo A. G. Castillo;Carla. R. P. Gómez;Viviane G. A. Nunes;Priscilla R. Lepre;Rita C. Engler;Suzana B. Martins
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1056751,2014,La fabbrica del Rinascimento. Frédéric Spitzer mercante d'arte e collezionista nell'Europa e delle nuove nazioni,"Cordera, Paola"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1056752,2010,"Codex Atlanticus. L’architettura, le feste e gli apparati. Disegni di Leonardo dal Codice Atlantico",Cordera Paola
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1057651,2016,Nutrirsi per immagini. Scritti di Alberto Veca per la gola,giovanni baule;valeria bucchetti;alberto capatti;giulio ceppi;claudio cerritelli;elisabetta longari;giacomo mojoli;ida regalia
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1057654,2018,Idea and the matter,Marinela ferrara;giulio ceppi
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1057656,2018,Scollamenti temporali,Giulio ceppi
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1057657,2015,L'isola rovescia,Giulio Ceppi
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1058800,2018,MakeToCare. An ecosystem of actors and user-centred solutions for innovation in the healthcare sector,Maffei S.;Bianchini M.;Parini B.;Delli Zotti
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1063169,2018,Handbook of Research on Form and Morphogenesis in Modern Architectural Contexts,"Alessio Erioli;Maria Voyatzaki;Dimitris Gourdoukis;Fabio Bianconi;Marco Filippucci;Matteo Margutti;Margherita Stramaccia;Roberto Naboni;Ingrid Paoletti;Tommaso Empler;Mauro Chiarella;Matias Dalla Costa;Alessandro Luigini;Starlight Vattano;Andrea Vanossi;Ioanna Symeonidou;Domenico D’Uva;LO TURCO, MASSIMILIANO;BAUSOLA PAGLIERO, YOSEPH;Alessandro Buffi;Buthayna Hasan Eilouti;Giuseppe Amoruso;Giuseppe Fallacara;Maurizio Barberio;Pierpaolo Ruttico;Stefano Converso;Simone Giostra;Vito Sirago"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1065369,2018,TRANSMEDIA DESIGN FRAMEWORK. Design-Oriented Approach to Transmedia Practice,M. Ciancia
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1065599,2018,Monoloco stories,Barbara Anna
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/242790,2006,Organizzazione e gestione della comunicazione nella pubblica amministrazione,"FIGIANI, MAURIZIO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/242900,2006,Trans-Alps: a trasnport model to support the traffic management,"R. Arditi;R. Javicoli;MAJA, ROBERTO;PONTI, MARCO;SALA, GABRIELLA;STUDER, LUCA PASINO;VERONESI, ELEONORA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/243936,2005,L’uso della falsa prospettiva come strumento di gestione degli spazi architettonici. La prospettiva nella scenografia di Europa riconosciuta,"BREVI, FAUSTO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/245822,2005,Requisiti ecosistemici degli edifici residenziali. L'esperienza di Bovisa 90 - La Casa ecologica.,"S. Pangrazzi;PIARDI, SILVIA ELVIRA MARIA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/246723,2005,"Design e Metaprogetto. Teorie, strumenti, pratiche","COLLINA, LUISA MARIA VIRGINIA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/247603,2007,Moda e design: il progetto dell'eccellenza,"CAPPELLIERI, ALBA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/248949,2006,Esercizi di stile,"FERRARIS, SILVIA DEBORAH;MAIOCCHI, MARCO MARIA;M. Romero"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/250425,2005,Movie Design. Scenari progettuali per il design della comunicazione audiovisiva e multimediale,"GALBIATI, MARIA LUISA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/250878,2007,Sinestesia e progetto,"RICCO', DINA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/253331,2005,Come inventare e progettare alla maniera di Poe. Filosofia della composizione,"BONFANTINI, MASSIMO ACHILLE;G. Proni;TERENZI, MARINA TATIANA;ZINGALE, SALVATORE"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/255346,2004,La progettazione web. Il design per la rete tra esperienza e interfacce,"BRUGNOLI, GIANLUCA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/255516,2005,Costruire imbarcazioni da diporto. Esperienze in cantiere.,"PIARDI, SILVIA ELVIRA MARIA;RATTI, ANDREA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/255694,2007,Una politica per i trasporti italiani,"BERIA, PAOLO;ERBA, STEFANO;PONTI, MARCO GUIDO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/256327,2007,Eucip - EUCIP - Guida alla certificazione per il professionista IT,"G. Bigini;BRAMBILLA, MARCO;CAPPIELLO, CINZIA;PLEBANI, PIERLUIGI;RIZZO, FRANCESCA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/256421,2007,Design e innovazione. Strumenti e pratiche per la ricerca applicata,"CELASCHI, FLAVIANO;DESERTI, ALESSANDRO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/257899,2004,E-content design - orizzonti di ricerca per la multimedialita' interattiva,"M. Aureggi;BERTOLO, MARESA;PILLAN, MARGHERITA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/262352,2005,DESIGN PER LA COMPETITIVITÀ. GUIDA PER L’INNOVAZIONE DEL PRODOTTO CALZATURIERO,"SIMONELLI, GIULIANO"
