dc.type.full,dc.identifier.uri,dc.date.issued,dc.title,dc.authority.people
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/540876,1998,convegno,"DOMINONI, ANNALISA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/559292,1998,convegno,"A. ANTONINI;ROVETTA, ALBERTO;R. FARIELLO;M. BARICHELLA;CANINA, MARIA RITA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/689025,1998,convegno,"RICCO', DINA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/502876,1999,convegno,"ROVETTA, ALBERTO;F. LORINI;CANINA, MARIA RITA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/538955,1999,convegno,"ROVETTA, ALBERTO;F. LORINI;CANINA, MARIA RITA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/538956,1999,convegno,"ROVETTA, ALBERTO;CANINA, MARIA RITA;F. LORINI"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/538957,1999,convegno,"R. PEGORARO;ROVETTA, ALBERTO;F. LORINI;CANINA, MARIA RITA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/503427,2000,convegno,"RICCO', DINA;ANCESCHI G."
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/535927,2000,convegno,"PARENTE, MARINA;CRISTALLO V;MORONE A."
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/537871,2000,convegno,"COSTA, FIAMMETTA CARLA ENRICA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/537872,2000,convegno,"COSTA, FIAMMETTA CARLA ENRICA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/538489,2000,convegno,"BRUNO, DAVIDE MARIA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/542495,2000,convegno,"MAJA, ROBERTO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/558511,2000,convegno,"PIZZOCARO, SILVIA LUISA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/558588,2000,convegno,"MASCHI, SIMONA;PENATI, ANTONELLA VALERIA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/558648,2000,convegno,"PIZZOCARO, SILVIA LUISA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/558805,2000,convegno,"DOMINONI, ANNALISA;TRABUCCO, FRANCESCO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/558903,2000,convegno,"CHIAPPONI, MEDARDO;COSTA, FIAMMETTA CARLA ENRICA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/881676,2000,convegno,"FERABOLI, MARIA TERESA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/243026,2001,convegno,"P. Allara;G. Campa;CANINA, MARIA RITA;S. Della;ROVETTA, ALBERTO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/245203,2001,convegno,"PONTI, MARCO GUIDO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/245750,2001,convegno,"DOMINONI, ANNALISA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/261093,2001,convegno,"OBERTI, ILARIA;PIARDI, SILVIA ELVIRA MARIA;RATTI, ANDREA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/262620,2001,convegno,"DOMINONI, ANNALISA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/267912,2001,convegno,"PONTI, MARCO GUIDO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/272263,2001,convegno,"PONTI, MARCO GUIDO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/272264,2001,convegno,"MALGIERI, PATRIZIA;PONTI, MARCO GUIDO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/274019,2001,convegno,"BERTOLA, PAOLA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/502852,2001,convegno,"ROVETTA, ALBERTO;CANINA, MARIA RITA;PAOLO ALLARA;GIOVANNI CAMPA;SERGIO DELLA SANTINA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/509650,2001,convegno,"DOMINONI, ANNALISA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/535926,2001,convegno,"PARENTE, MARINA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/538953,2001,convegno,"ROVETTA, ALBERTO;CANINA, MARIA RITA;P. ALLARA;G. CAMPA;S. DELLA SANTINA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/538954,2001,convegno,"ROVETTA, ALBERTO;CANINA, MARIA RITA;R. PEGORARO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/542474,2001,convegno,"DE LEO G.;CAPRILE, ELENA;GOBETTI M.;MAJA, ROBERTO;SACCHI M."
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/542819,2001,convegno,"CALABI, DANIELA ANNA;CLAUDIO R. BOER;STEFANO MOTTURA;MARCO SACCO;GIAN PAOLO VIGANO'"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/548858,2001,convegno,"ROVETTA, ALBERTO;CANINA, MARIA RITA;G. CAMPA;S. DELLA SANTINA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/558019,2001,convegno,"BAGLIONI, ADRIANA;OBERTI, ILARIA;RATTI, ANDREA;PIARDI, SILVIA ELVIRA MARIA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/561304,2001,convegno,"OBERTI, ILARIA;PIARDI, SILVIA ELVIRA MARIA;RATTI, ANDREA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/685049,2001,convegno,"C. Chesi;RIZZO, FRANCESCA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/687798,2001,convegno,"RIZZO, FRANCESCA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/691085,2001,convegno,"E. Balletto;B. Barone;CECONELLO, MAURO ATTILIO;A. D’andrea;L. Dell’Anna;S. Di Marco;A. Dominici;C. Giacoma;F. Mari;F. Miglietta;G. Nicolini;S. Piovano;L. Pozzi;M. Solinas"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/240871,2002,convegno,"PONTI, MARCO GUIDO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/242655,2002,convegno,"DOMINONI, ANNALISA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/242754,2002,convegno,"FIGIANI, MAURIZIO;MACCHIA, CESIRA ASSUNTA;RAVETTA, FRANCESCA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/242773,2002,convegno,"ARQUILLA, VENANZIO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/245478,2002,convegno,"BOGHETICH, GIANGIUSEPPE MIDA;CIUCCARELLI, PAOLO;INNOCENTI, PERLA;VIDARI, FEDERICO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/245732,2002,convegno,"DOMINONI, ANNALISA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/254988,2002,convegno,"SIMONELLI, GIULIANO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/258466,2002,convegno,"INGARAMO, MATTEO ORESTE"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/259159,2002,convegno,"FIGIANI, MAURIZIO;MACCHIA, CESIRA ASSUNTA;RAVETTA, FRANCESCA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/264804,2002,convegno,"MERONI, ANNA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/264813,2002,convegno,"CECONELLO, MAURO ATTILIO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/268718,2002,convegno,"PONTI, MARCO GUIDO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/270550,2002,convegno,"COSTA, FIAMMETTA CARLA ENRICA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/274021,2002,convegno,"FIGIANI, MAURIZIO;MACCHIA, CESIRA ASSUNTA;RAVETTA, FRANCESCA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/535552,2002,convegno,"STUDER, LUCA PASINO;MARCHIONNI, GIOVANNA;MAJA, ROBERTO;VESCIA G."
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/538491,2002,convegno,"BOGHETICH, GIANGIUSEPPE MIDA;CIUCCARELLI, PAOLO;INNOCENTI, PERLA;VIDARI, FEDERICO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/539754,2002,convegno,"BERTOLA, PAOLA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/539794,2002,convegno,"BERTOLA, PAOLA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/541017,2002,convegno,"MANGIAROTTI, RAFFAELLA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/542462,2002,convegno,"ARDITI R.;CHARBONNIER P.;MAJA, ROBERTO;STUDER, LUCA PASINO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.2 Abstract in Atti di convegno,http://hdl.handle.net/11311/689394,2002,convegno,"RICCO', DINA;S. Guerini"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/242604,2003,convegno,"BIAMONTI, ALESSANDRO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/242605,2003,convegno,"BIAMONTI, ALESSANDRO"
