dc.type.full,dc.identifier.uri,dc.language.iso,dc.date.issued,dc.type.referee,dc.type.circulation,dc.publisher.name,dc.publisher.country,dc.publisher.place,dc.subject.keywords,item.collection,item.openaireRights,dc.authority.people,
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1008379,eng;spa,2016,-,-,-,-,-,"OMA, Koolhaas, Venezia, Fondaco dei Tedeschi",01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,1,"IRACE, FULVIO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1008383,eng,2016,Esperti anonimi,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,2,"COLOMBO, SARA;RAMPINO, LUCIA ROSA ELENA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1008679,eng,2017,Esperti anonimi,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,2,"MARANI, PIETRO;BORA, Giulio"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1009997,eng,2017,Comitato scientifico,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,2,"Smith, Paul;MORTATI, MARZIA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1010141,chi,2016,Comitato scientifico,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,2,"GUERRINI, LUCA;GEROSA, GIULIA MARIA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1012448,eng,2016,-,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,3,"FASSI, DAVIDE;GALLUZZO, LAURA;DE ROSA, ANNALINDA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1012519,eng;ita,2016,Comitato scientifico,-,-,-,-,"design della comunicazione, grafica, branding, narrazione, informazione digitale",01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,1,"GUIDA, FRANCESCO ERMANNO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1013175,ita,2017,-,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,2,"PALMIERI, STEFANIA;Amandolese, Daniela"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1013976,eng,2017,Esperti anonimi,-,-,-,-,materials experience; sustainability; aesthetic pleasure; sensorial experience; unity-in-variety,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,3,"Sauerwein, Marita;Karana, Elvin;ROGNOLI, VALENTINA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1014373,ita,2016,-,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,1,"CEPPI, GIULIO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1014375,ita,2017,-,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,1,"CEPPI, GIULIO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1016034,eng,2016,Comitato scientifico,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,3,"CRIPPA, DAVIDE;DI PRETE, BARBARA;LONARDO, EMILIO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1017175,eng,2017,-,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,1,"GADDI, ROSSANA"
