dc.type.full,dc.identifier.uri,dc.language.iso,dc.date.issued,dc.type.referee,dc.type.circulation,dc.publisher.name,dc.publisher.country,dc.publisher.place,dc.relation.medium,dc.title,dc.subject.keywordsita,dc.subject.keywords,item.collection,item.openaireRights,dc.description.numberofauthors,dc.authority.people
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1036475,ita,2017,Nessuno,-,Franco Angeli,ITA,Milano,STAMPA,Il designer in azienda. Il viaggio d'esplorazione di un giovane designer in una PMI no-design,-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,2,F. Bianco;L. Rampino
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1037393,ita,2017,Comitato scientifico,-,Maggioli Editore,-,Santarcangelo di Romagna,-,Interior(c)ity. Il design di interni urbani pres-agisce storie nuove.,-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,1,A. Rebaglio
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1038437,eng;ita,2015,-,-,Marsilio Editori,ITA,Venezia,STAMPA,GIOIELLI IN TAVOLA | FOOD JEWELLERY,-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,2,L. Tenuta;V. Vecchi
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1038440,eng;ita,2015,-,-,MARSILIO EDITORI,ITA,VENEZIA,STAMPA,SKIN: LA SUPERFICIE DEL GIOIELLO | SKIN: THE SURFACE OF THE JEWEL,-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,1,L. TENUTA
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1038441,eng;ita,2016,-,-,MARSILIO EDITORI,ITA,VENEZIA,-,IL GIOIELLO E IL VIAGGIO | JEWELLERY AND JOURNEY,-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,1,L. TENUTA
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1039133,eng,2015,Comitato scientifico,-,SPRINGER,-,-,-,Designing Pilot Projects as Boundary Objects. A Brazilian Case Study in the Promotion of Sustainable Design,-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,2,"F. Zurlo;DOS GUIMARAES ALVIM NUNES, VIVIANE"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1039811,eng,2017,Comitato scientifico,-,Springer,-,-,STAMPA,Designing better services. A strategic approach from design to evaluation,-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,3,F. Foglieni;B. Villari;S. Maffei
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1039820,ita,2017,-,-,Libraccio Editore srl,ITA,MIlano,STAMPA,MakeToCare. Un ecosistema di attori e soluzioni user-centered per l'innovazione nel campo dell'healthcare,-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/openAccess,4,"Maffei, Stefano;Bianchini, Massimo;Parini, Barbara;DELLI ZOTTI, ELISA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1041104,eng;ita,2018,Comitato scientifico,-,Silvana Editoriale,ITA,Milano,STAMPA,"Catene:Gioielli tra storia, funzione e ornamento. Chains: jewellery in history, function and ornament",-,"Jewellery design, Chains, History of Jewellery, Alba Cappellieri, design del Gioiello, Gioiello, Accessorio Moda, Storia del Gioiello, Innovation",03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,1,"Cappellieri, Alba"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1041106,eng;ita,2017,Comitato scientifico,-,Silvana Editoriale,ITA,Milano,STAMPA,"Gioielli Funzionali, Functional Jewellery",-,"Jewellery, Design, Functional Jewellery, Design del gioiello, gioiello funzionale, innovazione gioiello, Jewellery Innovation, Alba Cappellieri",03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,1,Cappellieri Alba
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1044114,ita,2017,Esperti anonimi,-,Società editrice il Mulino spa,ITA,Bologna,STAMPA,Dalla molecola al paziente. La biomedicina nella società contemporanea,-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/openAccess,1,"Crabu, Stefano"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1044392,eng,2018,Esperti anonimi,-,Springer,CHE,Cham,STAMPA,Location-Based Mobile Games. Design Perspectives,-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,2,"Spallazzo, Davide;Mariani, Ilaria"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1044670,ita,2017,Comitato scientifico,-,Mimesis,ITA,Sesto San Giovanni (Milano),-,Design e rito. La cultura del progetto per il patrimonio rituale contemporaneo,-,"Design, Rito, Design for Cultural Heritage, Design and Humanities",03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,2,G. Pils;R. Trocchianesi
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1044702,eng,2018,Esperti anonimi,-,Springer - Politecnico di Milano,CHE,Cham,STAMPA,"Materials that Move. Smart Materials, Intelligent Design",-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,2,M. Bengisu;M. Ferrara
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1045755,ita,2018,Nessuno,-,New Press Edizioni srl,ITA,Cermenate (CO),ELETTRONICO,Laboratori d'arredo. Didattica e progetti di design tra tradizione e innovazione,"didattica, design, disegno industriale, arredo, mobile, cucina",-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/openAccess,5,R. de Paolis;M. S. Tresoldi;G. Buratti;L. Dellera;E. Lupidi
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1045761,ita,2000,Nessuno,-,POLI.design,ITA,Milano,STAMPA,Furniture e Textile design. Ricerca applicata e formazione come strategie per l'area comasca,-,"industria tessile, distretti industriali, arredo, disegno industriale",03.1 Monografia o trattato scientifico,info:eu-repo/semantics/openAccess,3,R. de Paolis;A. Deserti;F. Celaschi
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1045958,eng;ita,2012,Esperti non anonimi,-,Mandragora s.r.l.,ITA,Firenze,-,Benedetto Luti: l'ultimo maestro,"Benedetto Luti, Arte, Pittura, Settecento, Firenze, Roma, collezionismo, catalogo ragionato, Medici, Arcadia",-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,1,Rodolfo Maffeis
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1047608,ita,2018,Esperti non anonimi,-,FrancoAngeli,ITA,milano,STAMPA,Design & Alzheimer,"Design, alzheimer, terapie non farmacologiche,",-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/openAccess,1,"alessandro, biamonti"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1048748,eng,2018,Esperti anonimi,-,Franco Angeli,ITA,Milano,ELETTRONICO,Evolving Perspectives in Product Design. From Mass Production to Social Awareness,-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,1,Lucia Rampino
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1049832,eng,2018,Esperti non anonimi,-,Franco Angeli,ITA,Milano,ELETTRONICO,MASSIVE CODESIGN,-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/openAccess,3,"Meroni Anna;SELLONI, DANIELA;ROSSI, MARTINA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1051184,ita,2018,Esperti non anonimi,-,Gruppo del Colore - Associazione Italiana Colore,ITA,Milano,STAMPA,"Il Design dell’illuminazione: dalla cultura del progetto, al colore, al CAD","Lighting, Color, Design, Visual Perception, CAD, Cultural Heritage",-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,1,M. Rossi
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1051292,ita,2018,Comitato scientifico,-,Mandragora,ITA,Firenze,-,FASHIONabilities. Pianificare e gestire i processi di progettazione del prodotto moda,-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,3,Bertola P.;Colombi C.;Vacca F.
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1051311,ita,2018,Esperti anonimi,-,Maggioli,ITA,-,-,SPAZIO AL CIBO. IL RUOLO DEL DESIGN NEL PROGETTO DELL’ALTA CUCINA,-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,1,B Di Prete
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1054512,ita,2018,Nessuno,-,Lupetti Editori di Comunicazione srl,ITA,Milano,STAMPA,"Idee in movimento, il valore economico dell'innovazione",-,"design, innovazione, economia, marketing",03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,1,Marco Turinetto
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1054598,ita,2007,Comitato scientifico,-,Tecniche Nuove,ITA,ITA,STAMPA,EUCIP Guida alla certificazione per professionisti IT,-,certificazione eucip,03.1 Monografia o trattato scientifico,none,4,G. BIGINI;M. BRAMBILLA;CAPPIELLO C;F. RIZZO
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1056583,eng,2018,Comitato scientifico,-,Springer,GBR,Londra,STAMPA,Designing Sustainable Energy for All. Sustainable Product-Service System Design Applied to Distributed Renewable Energy,-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/openAccess,7,Vezzoli C.;Ceschin F.;Osanjo L.;M’Rithaa M. K.;Moalosi R.;Nakazibwe V.;Diehl J. C.
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1056593,por,2018,Comitato scientifico,-,Editora insight,BRA,Curitiba,STAMPA,Sistema Produto+Serviço Sustentável: Fundamentos,-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/openAccess,11,Vezzoli C.;Kohtala C.;Srinivasan A.;Xin L. Aguinaldo dos Santos;Liliane Iten Chaves;Leonardo A. G. Castillo;Carla. R. P. Gómez;Viviane G. A. Nunes;Priscilla R. Lepre;Rita C. Engler;Suzana B. Martins
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1056751,ita,2014,Comitato scientifico,-,Bononia University Press,ITA,Bologna,STAMPA,La fabbrica del Rinascimento. Frédéric Spitzer mercante d'arte e collezionista nell'Europa e delle nuove nazioni,-,-,03.1 Monografia o trattato scientifico,none,1,"Cordera, Paola"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1056752,eng;ita,2010,-,-,DeAgostini,ITA,Novara,STAMPA,"Codex Atlanticus. L’architettura, le feste e gli apparati. Disegni di Leonardo dal Codice Atlantico",-,-,03.1 Monografia o trattato scientifico,none,1,Cordera Paola
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1057651,ita,2016,-,-,ListLab,-,-,-,Nutrirsi per immagini. Scritti di Alberto Veca per la gola,-,-,03.1 Monografia o trattato scientifico,none,8,giovanni baule;valeria bucchetti;alberto capatti;giulio ceppi;claudio cerritelli;elisabetta longari;giacomo mojoli;ida regalia
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1057654,eng,2018,-,-,LIST Lab,-,-,-,Idea and the matter,-,-,03.1 Monografia o trattato scientifico,none,2,Marinela ferrara;giulio ceppi
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1057656,ita,2018,-,-,Magonza,-,-,-,Scollamenti temporali,-,-,03.1 Monografia o trattato scientifico,none,1,Giulio ceppi
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1057657,ita,2015,-,-,Esperia,-,-,-,L'isola rovescia,-,-,03.1 Monografia o trattato scientifico,none,1,Giulio Ceppi
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1058800,eng,2018,-,-,Libraccio,ITA,Milano,-,MakeToCare. An ecosystem of actors and user-centred solutions for innovation in the healthcare sector,-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/openAccess,4,Maffei S.;Bianchini M.;Parini B.;Delli Zotti
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1063169,eng,2018,Esperti anonimi,-,IGI Global,USA,"Hershey, PA",STAMPA,Handbook of Research on Form and Morphogenesis in Modern Architectural Contexts,-,-,03.1 Monografia o trattato scientifico,none,28,"Alessio Erioli;Maria Voyatzaki;Dimitris Gourdoukis;Fabio Bianconi;Marco Filippucci;Matteo Margutti;Margherita Stramaccia;Roberto Naboni;Ingrid Paoletti;Tommaso Empler;Mauro Chiarella;Matias Dalla Costa;Alessandro Luigini;Starlight Vattano;Andrea Vanossi;Ioanna Symeonidou;Domenico D’Uva;LO TURCO, MASSIMILIANO;BAUSOLA PAGLIERO, YOSEPH;Alessandro Buffi;Buthayna Hasan Eilouti;Giuseppe Amoruso;Giuseppe Fallacara;Maurizio Barberio;Pierpaolo Ruttico;Stefano Converso;Simone Giostra;Vito Sirago"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1065369,eng,2018,Esperti non anonimi,-,FrancoAngeli,ITA,Milano,ELETTRONICO,TRANSMEDIA DESIGN FRAMEWORK. Design-Oriented Approach to Transmedia Practice,-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,1,M. Ciancia
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1065599,eng,2018,-,-,Triennale,-,-,-,Monoloco stories,-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,1,Barbara Anna
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/242790,ita,2006,-,nazionale,Moretti & Vitali editori s.r.l.,-,Bergamo,-,Organizzazione e gestione della comunicazione nella pubblica amministrazione,-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,1,"FIGIANI, MAURIZIO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/242900,-,2006,-,internazionale,SINA spa,-,Milano,-,Trans-Alps: a trasnport model to support the traffic management,-,-,03.1 Monografia o trattato scientifico,none,7,"R. Arditi;R. Javicoli;MAJA, ROBERTO;PONTI, MARCO;SALA, GABRIELLA;STUDER, LUCA PASINO;VERONESI, ELEONORA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/243936,-,2005,-,nazionale,Edizioni Poli.Design,-,Milano,-,L’uso della falsa prospettiva come strumento di gestione degli spazi architettonici. La prospettiva nella scenografia di Europa riconosciuta,-,-,03.1 Monografia o trattato scientifico,none,1,"BREVI, FAUSTO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/245822,ita,2005,-,nazionale,Clup,-,Milano,-,Requisiti ecosistemici degli edifici residenziali. L'esperienza di Bovisa 90 - La Casa ecologica.,-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,2,"S. Pangrazzi;PIARDI, SILVIA ELVIRA MARIA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/246723,ita,2005,-,nazionale,Edizioni Poli.Design,ITA,Milano,-,"Design e Metaprogetto. Teorie, strumenti, pratiche",-,-,03.1 Monografia o trattato scientifico,none,1,"COLLINA, LUISA MARIA VIRGINIA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/247603,-,2007,-,nazionale,Franco Angeli,-,Milano,-,Moda e design: il progetto dell'eccellenza,-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,1,"CAPPELLIERI, ALBA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/248949,-,2006,-,nazionale,Clup,-,Milano,-,Esercizi di stile,-,-,03.1 Monografia o trattato scientifico,none,3,"FERRARIS, SILVIA DEBORAH;MAIOCCHI, MARCO MARIA;M. Romero"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/250425,-,2005,-,nazionale,Edizioni Poli.Design,-,Milano,-,Movie Design. Scenari progettuali per il design della comunicazione audiovisiva e multimediale,-,-,03.1 Monografia o trattato scientifico,none,1,"GALBIATI, MARIA LUISA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/250878,-,2007,-,nazionale,AIAP,-,Roma,-,Sinestesia e progetto,-,-,03.1 Monografia o trattato scientifico,none,1,"RICCO', DINA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/253331,-,2005,-,nazionale,Moretti Honegger,-,Bergamo,-,Come inventare e progettare alla maniera di Poe. Filosofia della composizione,-,-,03.1 Monografia o trattato scientifico,none,4,"BONFANTINI, MASSIMO ACHILLE;G. Proni;TERENZI, MARINA TATIANA;ZINGALE, SALVATORE"
