dc.type.full,dc.identifier.uri,dc.language.iso,dc.date.issued,dc.type.referee,dc.type.circulation,dc.publisher.name,dc.publisher.place,dc.publisher.country,dc.relation.ispartofbook,item.journal.title,dc.relation.medium,dc.relation.conferenceplace,dc.relation.conferencename,,dc.subject.keywords,item.collection,item.openaireRights,dc.description.numberofauthors,dc.authority.people
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/547883,eng,2008,-,internazionale,-,-,-,-,-,-,Brussels,Conference of the Sustainable Consumption Research Exchange (SCORE!): Sustainable Consumption and Production: framework for action,,-,04.1 Contributo in Atti di convegno,none,5,"W. Thorstem;F. Jegou;MANZINI, EZIO;S. Giradi;CIPOLLA, CARLA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/547945,eng,2008,-,internazionale,-,-,-,-,-,-,Seul,"Proceding, Seoul Design Conference 2008",,-,04.1 Contributo in Atti di convegno,none,2,"MURANO, FRANCESCO;Seung Hyun Woo"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/547955,eng;ita,2008,-,internazionale,Poli.DEsign,-,-,-,-,-,Milano,Designing designers 2007,,-,04.1 Contributo in Atti di convegno,none,1,"GALBIATI, MARIA LUISA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/547991,eng,2008,-,internazionale,-,-,ESP,-,-,-,"Valencia, Spagna","INTED 2008 - International Technology, Education and Development Conference",,eLearning; sistema penitenziario minorile; formazione a distanza; corsi professionalizzanti.,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"F. Concia;PILLAN, MARGHERITA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/548975,eng,2008,-,internazionale,-,-,-,CISAP3. Proceedings of the 3/rd int. Conference on safety and environmental in process industry,-,-,Roma (Italia),3rd International Conference on Safety & Environment in Process Industry,,-,04.1 Contributo in Atti di convegno,none,4,"MANCA, DAVIDE;RAINOLDI, GIOVANNI;MAJA, ROBERTO;S. Sacco"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/549649,eng,2008,-,internazionale,-,-,-,Dare to Desire - Design and Emotion Conference,-,-,Hong Kong,Design and Emotion - Dare to desire,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,4,"SALVIA, GIUSEPPE;ROGNOLI, VALENTINA;GAMBARDELLA, FRANCESCA;LEVI, MARINELLA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/549770,eng,2008,-,internazionale,-,-,-,2 n d  I n t e r n a t i o n a l  Wo r k s h o p  o n  Ma t e r i a l s & S e n s a t i o n s,-,-,"Pau, France",Materials and Sensations,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,4,"SALVIA, GIUSEPPE;GAMBARDELLA, FRANCESCA;ROGNOLI, VALENTINA;LEVI, MARINELLA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/550148,eng,2008,-,nazionale,-,-,-,-,-,-,Sassari,"TRASPORTI, AMBIENTE, TERRITORIO: LA RICERCA DI UN NUOVO EQUILIBRIO. X Riunione SIET",,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"BERIA, PAOLO;PONTI, MARCO GUIDO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/550378,eng,2008,-,internazionale,Allemandi,Torino,ITA,Changing the Change proceedings,-,-,Torino,Changing the Change. An international conference on the role and potential of design research in the transition towards sustainability,,Sustainability; Design research,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,"COLLINA, LUISA MARIA VIRGINIA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/550827,eng,2008,-,internazionale,-,-,-,-,-,-,Graz (Austria),IV International BCI Workshop,,-,04.1 Contributo in Atti di convegno,none,4,"PEREGO, PAOLO;MAGGI, LUCA;PARINI, SERGIO;ANDREONI, GIUSEPPE"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/550828,eng,2008,-,internazionale,-,-,-,-,-,-,Graz (Austria),IV International BCI Workshop,,-,04.1 Contributo in Atti di convegno,none,4,"MAGGI, LUCA;PARINI, SERGIO;PEREGO, PAOLO;ANDREONI, GIUSEPPE"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/551526,eng,2008,-,internazionale,-,-,-,-,-,-,Torino,Changing the change,,-,04.1 Contributo in Atti di convegno,none,1,"CIPOLLA, CARLA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563659,eng,2008,-,internazionale,-,-,USA,-,-,-,"Yilan, Taiwan","Internatiomal Conference on Mobile Technology, Applications, And Systems",,Interaction design; smart penn; user experience,04.1 Contributo in Atti di convegno,none,2,"TINAULI, MUSSTANSER;PILLAN, MARGHERITA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563682,eng,2008,-,internazionale,-,Torino,ITA,Changing the change proceedings,-,-,Torino,"Changing the change. Design, Visions, Proposals and Tools",,-,04.1 Contributo in Atti di convegno,none,1,"QUAGGIOTTO, MARCO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/627765,eng,2008,"Sì, ma tipo non specificato",internazionale,DMI – the Design Management Institute,-,-,-,-,-,"Cergy-Pontoise, Paris, France","Design Thinking:  New Challenges for Designers, Managers and Organizations",,-,04.1 Contributo in Atti di convegno,none,4,"E. Baglieri;S. Zamboni;R. Secchi;RAMPINO, LUCIA ROSA ELENA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/632785,spa,2008,-,internazionale,-,-,-,-,-,-,La Habana Cuba,XII Congreso de la Sociedad Iberoamericana de Grafica Digital SIGraDI 2008,,"Urban Image, Digital Photography, Interactive
Panorama.",04.1 Contributo in Atti di convegno,none,2,"AMORUSO, GIUSEPPE;M. Chiarella"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/664860,eng,2008,Esperti anonimi,internazionale,DMI – the Design Management Institute,Boston,USA,"Design Thinking: New Challenges for Designers, Managers, Organizations",-,ELETTRONICO,"Cergy-Pontoise, France","Design Thinking: New Challenges for Designers, Managers, Organizations",,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"ZURLO, FRANCESCO;CAUTELA, CABIRIO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/693064,eng,2008,"Sì, ma tipo non specificato",internazionale,-,-,-,-,-,-,Milano,Places & Themes of Interiors – Contemporary Research Worldwide,,-,04.1 Contributo in Atti di convegno,none,1,"GEROSA, GIULIA MARIA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/693264,eng,2008,"Sì, ma tipo non specificato",internazionale,ACM New York,-,USA,Proceedings of the Participatory Design Conference (PDC),-,ELETTRONICO,Bloomington,Participatory Design Conference,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,4,"K. Battarbee;A. Botero;T. Mattelmaki;RIZZO, FRANCESCA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/968580,eng,2008,Esperti anonimi,internazionale,-,-,ITA,Changing the Change Proceedings,-,-,Torino,Changing the Change,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/openAccess,3,"SANGIORGI, DANIELA;Hemment, Drew;Buscher, Monika"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/997178,ita,2008,-,internazionale,-,-,-,"Terre di mare: nautica, viaggi e incontri dall'antichità all'epoca moderna",-,-,"la spezia, 20/06/2008","Terre di mare: nautica, viaggi e incontri dall'antichità all'epoca moderna",,-,04.1 Contributo in Atti di convegno,none,1,"PIARDI, SILVIA ELVIRA MARIA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/1030661,eng,2009,-,internazionale,International Institute of Informatics and Systemics IIIS,-,USA,IMETI 2009 Proceedings Volume 1,-,-,"Orlando, FLorida, USA",IMETI 2009 - The 2nd International Multi-Conference on Engineering and Technological Innovation,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,4,"CIASTELLARDI, MATTEO;De KERCKHOVE, DERRICK CLAUDE FREDERIC;Miranda de Almedia, Cristina;Cruciani, Andrea"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/1031398,eng,2009,-,internazionale,INTERNATIONAL ASSOCIATION OF SOCIETIES OF DESIGN RESEARCH,-,-,IASDR 2009 Proceedings. Design. Rigor & Relevance - INTERNATIONAL ASSOCIATION OF SOCIETIES OF DESIGN RESEARCH,-,-,Seoul,IASDR 2009,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,4,"CIASTELLARDI, MATTEO;De KERCKHOVE, DERRICK CLAUDE FREDERIC;Miranda de Almeida, Cristina;Cruciani, Andrea"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/1049503,ita,2009,-,nazionale,-,-,ITA,"Identità, innovazione e nuovi equilibri: il progetto di riqualificazione della stazione metropolitana Garibaldi a Milano",-,STAMPA,Triennale di Milano,"Identità, innovazione e nuovi equilibri: il progetto di riqualificazione della stazione metropolitana Garibaldi a Milano",,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,DAvide Bruno
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/545414,eng,2009,-,internazionale,"Association of Technology, Education and Development (IATED)",Valencia,ESP,Proceedings of INTED2009 Conference,-,-,Valencia,"INTED 2009. International Technology, Education and Development Conference",,design research; open innovation; strategic design,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,"DOMINONI, ANNALISA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/545988,eng,2009,-,internazionale,-,-,ESP,-,-,-,Valencia,"International Technology, Education and Development Conference",,Strategic design; service design; global integration; SMEs; peer production; local vs global,04.1 Contributo in Atti di convegno,none,3,"SIMONELLI, GIULIANO;ARQUILLA, VENANZIO;MORTATI, MARZIA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/545989,eng,2009,-,internazionale,-,-,CHN,-,-,-,Pechino,Design2Business 2009 Tsinghua International Design Management Symposium,,design; internationalization; SMEs; peer production; local vs global; strategic design,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"SIMONELLI, GIULIANO;ARQUILLA, VENANZIO;MORTATI, MARZIA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/546107,eng,2009,-,internazionale,-,Springer Berlin / Heidelberg,USA,"Digital Human Modeling Second International Conference, ICDHM 2009, Held as Part of HCI International 2009, San Diego, CA, USA, July 19-24, 2009. Proceedings",LECTURE NOTES IN COMPUTER SCIENCE,-,San Diego (USA),2nd International Conference HCI/ICDHM,,"proactive ergonomics; ergonomic index; movement and posture 
analysis; occupational biomechanics; assessment technique; joint discomfort",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,7,"ANDREONI, GIUSEPPE;MAZZOLA, MARCO;O. Ciani;M. Zambetti;ROMERO, MAXIMILIANO ERNESTO;COSTA, FIAMMETTA CARLA ENRICA;PREATONI, EZIO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/546108,eng,2009,-,internazionale,-,Limerick (Ireland),IRL,Proceedings of the XXVII International Conference on Biomechanics in Sports,-,-,Limerick (Ireland),XXVII International Congress on Biomechanics in Sports,,joint coupling; countermovement jump; performance monitoring,04.1 Contributo in Atti di convegno,none,4,"PREATONI, EZIO;E. Devodier;ANDREONI, GIUSEPPE;RODANO, RENATO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/546620,eng,2009,-,internazionale,-,-,-,-,-,-,Aberdeen - Scotland,Design Connexity,,Design directory; Shared platform; Design community; Social network; Design system,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,4,"SIMONELLI, GIULIANO;ARQUILLA, VENANZIO;CASTELLI, ANTONELLA;SAMMICHELI, MARCO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/547263,eng,2009,Esperti anonimi,internazionale,"McMaster University, Dept. of Civil Engineering, Toronto, ON",Toronto,CAN,"Proceedings 11th Canadian Masonry Symposium : Toronto, Ontario, Canada, May 31st - June 3rd, 2009",-,STAMPA,"Toronto, Ontario",11th Canadian Masonry Symposium,,flat-jack test,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,4,"CARDANI, GIULIANA;BINDA, LUIGIA;CONDOLEO, PAOLA;ANZANI, ANNA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/547302,eng,2009,Comitato scientifico,internazionale,-,"Seoul, Korea",KOR,Proceedings of IASDR '09: Design / Rigor & Relevance,-,-,"Seoul, South Corea",2009 IASDR Conference: Design / Rigor & Relevance,,design methodology; ethnography; dialogue; knowledge tools; knowledge sharing,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/openAccess,2,"VALSECCHI, FRANCESCA;CIUCCARELLI, PAOLO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/548384,eng,2009,-,internazionale,Electrotechnical Association of Slovenia,Ljubljana,SVN,ISEP 2009 - ble Transport and Mobility,-,-,Ljubljana,ISEP 2009- Sustainble trasport and mobility,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"STUDER, LUCA PASINO;PONTI, MARCO;MARCHIONNI, GIOVANNA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/560448,eng,2009,-,internazionale,-,Barcelona,-,EDULEARN09 Proceedings,-,-,Barcelona,Edulearn09,,Inductive teaching; materials; sensoriality; product design,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"FERRARIS, SILVIA DEBORAH;ROGNOLI, VALENTINA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/561415,eng,2009,-,internazionale,-,-,-,-,-,-,"Coex, Seoul, Korea",IASDR 2009: INTERNATIONAL ASSOCIATION OF SOCIETIES OF DESIGN RESEARCH 2009 - Design | Rigor & Relevance,,SME (Small and Medium Enterprises); University; designers; design knowledge,04.1 Contributo in Atti di convegno,none,3,"ARQUILLA, VENANZIO;SEMINARA, DANIELA MARIA ROSA;CASTELLI, ANTONELLA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/561523,eng,2009,Esperti anonimi,internazionale,Maggioli,Bologna,ITA,Designing Designers: Where Does Light Move To?,-,STAMPA,Milano,Designing Designers,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,"ROSSI, MAURIZIO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/561524,eng;ita,2009,-,nazionale,-,-,-,Colore e colorimetria: contributi monodisciplinari Vol. V,-,-,Palermo,V Conferenza Nazionale del Gruppo del Colore,,"Prodotto, Luce, Colore, Misura, Fotometria, Colorimetria",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"SINISCALCO, ANDREA;MUSANTE, FULVIO;ROSSI, MAURIZIO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/561525,eng,2009,-,internazionale,"Swiss Design Network, Et al. Editore",-,CHE,Multiple Ways to Design Research - Research cases that reshape the design discipline,-,-,Lugano,Multiple Ways to Design Research Symposium 2009,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"ROSSI, MAURIZIO;SINISCALCO, ANDREA;ZANOLA, FABIO DONATO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/561533,eng,2009,-,nazionale,-,-,-,-,-,-,siena,Conferenza Nazionale AIRO,,-,04.1 Contributo in Atti di convegno,none,4,"CICCARELLI, DIEGO;COLORNI VITALE, ALBERTO;Alessandro Luè;Roberto Nocerino"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/561534,eng,2009,-,internazionale,-,-,-,-,-,-,padova,XIII EURO Working Group on Trasportation Meeting,,-,04.1 Contributo in Atti di convegno,-,2,"Alessandro Luè;COLORNI VITALE, ALBERTO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/561539,eng,2009,-,internazionale,-,-,-,-,-,-,parigi,8th Cologne-Twente Workshop on Graphs and Combinatorial Optimization,,-,04.1 Contributo in Atti di convegno,none,4,"BRUGLIERI, MAURIZIO;COLORNI VITALE, ALBERTO;A, Luè"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/561705,eng,2009,-,internazionale,-,-,-,-,-,-,gdansk - polonia,Convegno EDEN,,-,04.1 Contributo in Atti di convegno,-,4,"COLORNI VITALE, ALBERTO;SANCASSANI, SUSANNA;S. Azzali;A. Tomasini"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/561706,ita,2009,-,nazionale,-,-,-,-,-,-,Salerno,Convegno Sie-L Crui,,-,04.1 Contributo in Atti di convegno,none,1,"COLORNI VITALE, ALBERTO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/562012,eng,2009,-,internazionale,-,-,-,2nd Easyway Annual Forum on Its for the Tern,-,-,Vienna,2nd Easyway Annual Forum on Its for the Tern,,-,04.1 Contributo in Atti di convegno,none,4,"STUDER, LUCA PASINO;MARCHIONNI, GIOVANNA;PONTI, MARCO;SCARINCI, RICCARDO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/562455,ita,2009,-,internazionale,Gangemi,Roma,ITA,Documentare il Contemporaneo. Archivi e Musei di Architettura,-,-,"MAXXI, Museo nazionale delle arti del XXI secolo, Roma",Documentare il Contemporaneo. Archivi e Musei di Architettura,,-,04.1 Contributo in Atti di convegno,none,1,"CIAGA', GRAZIELLA LEYLA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/562520,eng,2009,-,internazionale,-,Santarcangelo di Romagna (Rn),-,Designing Designers: were does light move to? Lighting Design Innovation Scenarios International Conference of University Courses in Design 2009. Edited by Maurizio Rossi,-,-,Milano,Designing Designers,,Luce; Ganzfeld; Light; Wilson; Design Designers,04.1 Contributo in Atti di convegno,none,1,"MURANO, FRANCESCO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563106,eng,2009,-,internazionale,-,valencia,ESP,-,-,-,valencia,inted 2009,,-,04.1 Contributo in Atti di convegno,none,1,"PALMIERI, STEFANIA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563107,eng,2009,-,internazionale,-,valencia,ESP,-,-,-,valencia,inted 2009,,-,04.1 Contributo in Atti di convegno,none,2,"LAVIZZARI, FRANCESCA;PALMIERI, STEFANIA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563117,eng,2009,-,internazionale,-,Seoul,KOR,Proceedings of IASDR - International Association pf Societies of Design Research,-,ELETTRONICO,Seul,IASDR,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/openAccess,3,"CAUTELA, CABIRIO;RIZZO, FRANCESCA;ZURLO, FRANCESCO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563239,eng,2009,-,internazionale,-,Salford,GBR,Design2Business 2009. Proceedings of the Tsinghua International Design Management Symposium,-,-,Pechino,Design2Business,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,"RAMPINO, LUCIA ROSA ELENA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563240,eng,2009,-,internazionale,-,MADRID,ESP,ICERI 2009 PROCEEDINGS,-,-,MADRID,"INTERNATIONAL CONFERENCE OF EDUCATION, RESEARCH AND INNOVATION",,-,04.1 Contributo in Atti di convegno,none,1,"VIGNATI, ARIANNA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563241,eng,2009,-,internazionale,-,Salford,GBR,Design2Business 2009. Proceedings of the Tsinghua International Design Management Symposium,-,-,Pechino,Design2Business 2009,,-,04.1 Contributo in Atti di convegno,none,4,"E. Baglieri;S. Zamboni;R. Secchi;RAMPINO, LUCIA ROSA ELENA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563332,eng,2009,-,internazionale,-,-,-,Multiple Ways to Design Research,-,-,Lugano - Svizzera,Multiple Ways to Design Research. Research cases that reshape the design discipline,,-,04.1 Contributo in Atti di convegno,none,1,"GUERRINI, LUCA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563340,eng,2009,-,internazionale,-,-,-,"Proceedings of the International Conference “Design2Business”, Thingua International Design Mangement Symposiom, Beijing, 24-26/04/2009",-,-,Pechino,Design2Business,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,"FERRARIS, SILVIA DEBORAH"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563343,eng,2009,-,internazionale,-,-,ESP,0,-,-,Valencia,"International Technology, Education and Development Conference",,didattica; comunicazione; colore; suono,04.1 Contributo in Atti di convegno,none,1,"BISSON, MARIO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563349,eng,2009,"Sì, ma tipo non specificato",internazionale,IATED,"Valencia, Spain",ESP,INTED2009 Proceedings,-,-,Valencia,"3rd International Technology, Education and Development Conference",,Education; Innovation; Research projects; Teaching Methodologies; Academic experiences; Practice contributions; Environmental Design; Basic Design,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"BISSON, MARIO;CALABI, DANIELA ANNA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563354,eng,2009,"Sì, ma tipo non specificato",internazionale,"IATED. International Association of Technology, Education and Development","Barcellona, Spain",ESP,EDULEARN09 Proceedings,-,-,"Barcellona, Spain",International Conference on Education and New Learning Technologies,,"Basic Design; vision workshop; design course; Gestalt
psychology",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"BISSON, MARIO;CALABI, DANIELA ANNA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563372,eng,2009,-,internazionale,-,-,-,-,-,-,"Lugano, Svizzera","Multiple Ways to Design Research, SwissDesignNetwork Symposium 2009",,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"CANINA, MARIA RITA;FERRARO, VENERE"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563373,eng,2009,-,internazionale,-,-,-,-,-,-,"Oslo, Norway",pHealth 2009 - The 6th international workshop on Wearable Micro and Nanosystems for Personalised Health,,-,04.1 Contributo in Atti di convegno,none,2,"CANINA, MARIA RITA;FERRARO, VENERE"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563374,eng,2009,-,internazionale,-,-,-,-,-,-,"Oslo, Norway",pHealth 2009 - The 6th international workshop on Wearable Micro and Nanosystems for Personalised Health,,-,04.1 Contributo in Atti di convegno,none,6,"FERRARO, VENERE;M. Pacelli;CANINA, MARIA RITA;R. Paradiso;D. De Rossi;P. Bonato"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563418,eng,2009,-,internazionale,-,-,-,-,-,-,"São Paulo, Brasile",2nd International Symposium on Sustainable Design (II ISSD),,-,04.1 Contributo in Atti di convegno,none,1,"VEZZOLI, CARLO ARNALDO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563450,eng,2009,-,internazionale,-,Milano,ITA,Multiple ways to Design Research,-,-,Lugano,Multiple ways to Design Research,,craft technique; textile and fashion; craft design,04.1 Contributo in Atti di convegno,none,1,"VACCA, FEDERICA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563452,ita;eng,2009,-,internazionale,-,-,-,-,-,-,Napoli,Macef Med. Mostra-Convegno per lo sviluppo dell'innovazione,,-,04.1 Contributo in Atti di convegno,none,1,"PARENTE, MARINA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563496,eng,2009,-,internazionale,-,-,-,Proceedings of the 4th International Conference on Life Cycle Management,-,-,"Cape Town, South Africa",4th International Conference on Life Cycle Management,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"VEZZOLI, CARLO ARNALDO;CESCHIN, FABRIZIO;M. M'Rithaa"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563502,ita,2009,-,internazionale,-,-,-,-,-,-,Genova,XXXVI Congresso Nazionale LIMPE,,-,04.1 Contributo in Atti di convegno,none,6,"M. Bernabei;PREATONI, EZIO;PICCINI, LUCA;M. Mendez;M. Porta;ANDREONI, GIUSEPPE"
