dc.identifier.uri,item.collection
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/263349
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/269762
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,http://hdl.handle.net/11311/274050
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504646
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504696
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504751
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504928
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504930
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504931
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/505477
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/532518
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/544141
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/545409
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/545462
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/548218
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/554500
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/555764
