title,year,authors
Fun by design: the game design activity and its iterative process as (playful) learning practices,2016,Mariani ilaria
The pragmatism as a semiotic route to designing: understanding the inferential logics of sense attribution,2016,Zingale salvatore;Domingues machado melo felipe
Pegaso fit for future.,2015,Guarneri maria renata;Andreoni giuseppe
Nuovi sistemi di salute personale: dalla ricerca al mercato,2012,Andreoni giuseppe
Defining requirements and related methods for designing sensorized garments,2016,Andreoni giuseppe;Standoli carlo emilio;Perego paolo
L’informazione mediata. il processo d’interazione nella cultura del testo,2016,Ciastellardi matteo
Antropometria,2009,Andreoni giuseppe;Pizzagalli manuela
Biomeccanica occupazionale,2009,Andreoni giuseppe
Augmented reality for collaborative media,2016,Ciastellardi matteo
The empowering of the personal and situated dimensions of knowledge: web 2.0 and internet of things,2012,Ciastellardi matteo
Education overload. mcluhan and the quest for new patterns in the era of total surround.,2013,Ciastellardi matteo
Re-cognizing mcluhan’s critical thought,2011,Ciastellardi matteo
From media literacy to transmedia literacy. an afterword,2013,Ciastellardi matteo
Turismo spaziale,2015,Dominoni annalisa
Designing from the unfamiliar: how designing for space and extreme environments can generate spin-off and innovate product strategies,2015,Dominoni annalisa
For designers with their head beyond the clouds,2015,Dominoni annalisa
Dispositivo educativo interattivo,2016,Ferraro venere
Negative experiences as learning trigger: a play experience empirical research on a game for social change case study,2016,Mariani ilaria
Design per la sostenibilità ambiantale. progettare il ciclo di vita dei prodotti.,2017,Vezzoli carlo arnaldo
Cross fertilization: um direcionamento para a inovação,2016,Conti giovanni maria
Antonio balestra e la gioventù romana.,2016,Maffeis rodolfo
«quasi dentatae rotae»: leonardo disegna la luna,2015,Maffeis rodolfo
L'equivoco del sole immobile: cosmologia di leonardo tra disegni e testi,2015,Maffeis rodolfo
Gioco tattile per non vedenti,2016,Ferraro venere
