title,year,authors,internalAuthors,externalAuthors
Exploring aesthetic interactions through prototyping. the role of experiential prototype in design  knowledge generation,2015,Bordegoni monica;Colombo sara;Pillan margherita;Rampino lucia rosa elena,Bordegoni monica;Colombo sara;Pillan margherita;Rampino lucia rosa elena
Translating place identity into transmedia communication systems: communication design process and methods,2016,Scuri sabrina;Chiodo elisa;Calabi daniela anna,Scuri sabrina;Chiodo elisa;Calabi daniela anna
Texture e testo. un processo traduttivo,2016,Calabi daniela anna,Calabi daniela anna
Design for hospitable interiors: open-ended design solution for welcoming diversity,2014,Giunta elena enrica;Gerosa giulia maria,Giunta elena enrica;Gerosa giulia maria
"L’oggetto del progetto. saggi, dialoghi e lezioni di semiotica intorno al design e all’inventiva progettuale",2015,Zingale salvatore;Bonfantini massimo achille,Zingale salvatore;Bonfantini massimo achille
Crescere con il territorio: il rapporto città-commercio dall'antichità al ixx secolo,2016,Gerosa giulia maria,Gerosa giulia maria
Raccontarsi nel territorio: la nascita del negozio moderno,2016,Gerosa giulia maria,Gerosa giulia maria
Recupero e trasformazione urbana,2016,Gerosa giulia maria,Gerosa giulia maria
Rifunzionalizzazione e metamorfosi,2016,Gerosa giulia maria,Gerosa giulia maria
Design: dall’oggetto al progetto,2015,Zingale salvatore,Zingale salvatore
'this is my design'. lo spazio dell’abduzione nella progettualità,2015,Zingale salvatore,Zingale salvatore
The consequences of things. the semiotics and the pragmatistic route to designing,2015,Zingale salvatore;Domingues machado melo felipe,Zingale salvatore;Domingues machado melo felipe
Per natura e per cultura. semiotica ecologica e wayfinding,2015,Zingale salvatore,Zingale salvatore
Il gioco dialogico nella comunicazione sociale. schemi semiotici e casi studio,2015,Zingale salvatore;Progetto grafico  ,Zingale salvatore;Progetto grafico  
Semiotica del progetto: la via pragmatista,2016,Zingale salvatore;Rivista italiana di filosofia del linguaggio  ,Zingale salvatore;Rivista italiana di filosofia del linguaggio  
Qual semiótica para o design? a via pragmatista e a construção de una semiótica do projeto,2016,Zingale salvatore,Zingale salvatore
What semiotic for design? the pragmatist way and the construction of a project’s semiotic,2016,Zingale salvatore,Zingale salvatore
Design as translation activity: a semiotic overview,2016,Zingale salvatore;Proceedings of drs  ,Zingale salvatore;Proceedings of drs  
Come una traduzione. la traduzione del senso nel design,2016,Zingale salvatore,Zingale salvatore
Il design e le scienze umane. temi per una scienza dialogica,2016,Zingale salvatore,Zingale salvatore
L’osservazione semiotica,2016,Zingale salvatore,Zingale salvatore
"Innamoramento e abduzione. il progetto, l’imprevisto, l’improvviso",2016,Zingale salvatore,Zingale salvatore
Semiotics and global products design,2014,Zingale salvatore;Domingues machado melo felipe;Dijon de moraes,Zingale salvatore;Domingues machado melo felipe,Dijon de moraes
A new mathematical programming model for the green vehicle routing problem,2016,Bruglieri maurizio;Mancini simona;Pezzella ferdinando;Pisacane ornella;Electronic notes in discrete mathematics  ,Bruglieri maurizio;Electronic notes in discrete mathematics  ,Mancini simona;Pezzella ferdinando;Pisacane ornella
