title,year,authors
EARTHSPLOITATION. GAME DESIGN RESEARCH AND EXPERIMENTATION FOR FOOD SUSTAINABILITY,2015,Bertolomaresa;Marianiilaria;Ruffinogiulia
EARTHSPLOITATION. GAME DESIGN RESEARCH AND EXPERIMENTATION FOR FOOD SUSTAINABILITY,2015,Bertolomaresa;Marianiilaria;Ruffinogiulia
EARTHSPLOITATION. GAME DESIGN RESEARCH AND EXPERIMENTATION FOR FOOD SUSTAINABILITY,2015,Bertolomaresa;Marianiilaria;Ruffinogiulia
