dc.identifier.uri,item.collection
http://hdl.handle.net/11311/1007039,02.1 Contributo in Volume
http://hdl.handle.net/11311/1007045,05.1 Brevetto
http://hdl.handle.net/11311/1007047,02.1 Contributo in Volume
http://hdl.handle.net/11311/1007078,02.1 Contributo in Volume
http://hdl.handle.net/11311/1007145,04.1 Contributo in Atti di convegno
http://hdl.handle.net/11311/1007206,03.1 Monografia o trattato scientifico
http://hdl.handle.net/11311/1007266,02.1 Contributo in Volume
http://hdl.handle.net/11311/1007267,02.1 Contributo in Volume
http://hdl.handle.net/11311/1007354,02.1 Contributo in Volume
http://hdl.handle.net/11311/1007414,04.1 Contributo in Atti di convegno
http://hdl.handle.net/11311/1007415,04.1 Contributo in Atti di convegno
http://hdl.handle.net/11311/1007416,04.1 Contributo in Atti di convegno
http://hdl.handle.net/11311/1007502,02.1 Contributo in Volume
http://hdl.handle.net/11311/1007532,01.1 Articolo in Rivista
http://hdl.handle.net/11311/1007626,03.1 Monografia o trattato scientifico
http://hdl.handle.net/11311/1007675,02.1 Contributo in Volume
http://hdl.handle.net/11311/1008095,02.1 Contributo in Volume
http://hdl.handle.net/11311/1008143,04.1 Contributo in Atti di convegno
http://hdl.handle.net/11311/1008145,04.1 Contributo in Atti di convegno
http://hdl.handle.net/11311/1008146,01.1 Articolo in Rivista
http://hdl.handle.net/11311/1008150,01.1 Articolo in Rivista
http://hdl.handle.net/11311/1008379,01.1 Articolo in Rivista
http://hdl.handle.net/11311/1008383,01.1 Articolo in Rivista
http://hdl.handle.net/11311/1008679,01.1 Articolo in Rivista
http://hdl.handle.net/11311/1008787,02.1 Contributo in Volume
http://hdl.handle.net/11311/1008788,02.1 Contributo in Volume
http://hdl.handle.net/11311/1008789,02.1 Contributo in Volume
http://hdl.handle.net/11311/1008790,03.1 Monografia o trattato scientifico
http://hdl.handle.net/11311/1008866,02.1 Contributo in Volume
http://hdl.handle.net/11311/1009204,04.1 Contributo in Atti di convegno
http://hdl.handle.net/11311/1009513,04.1 Contributo in Atti di convegno
http://hdl.handle.net/11311/1009808,04.1 Contributo in Atti di convegno
http://hdl.handle.net/11311/1009996,03.1 Monografia o trattato scientifico
http://hdl.handle.net/11311/1009997,01.1 Articolo in Rivista
http://hdl.handle.net/11311/1010141,01.1 Articolo in Rivista
http://hdl.handle.net/11311/1010369,06.1 Curatela
http://hdl.handle.net/11311/1010387,02.1 Contributo in Volume
http://hdl.handle.net/11311/1010663,02.1 Contributo in Volume
http://hdl.handle.net/11311/1010664,03.1 Monografia o trattato scientifico
http://hdl.handle.net/11311/1010984,02.1 Contributo in Volume
http://hdl.handle.net/11311/1010985,02.1 Contributo in Volume
http://hdl.handle.net/11311/1010986,02.1 Contributo in Volume
http://hdl.handle.net/11311/1010987,02.1 Contributo in Volume
http://hdl.handle.net/11311/1010988,02.1 Contributo in Volume
http://hdl.handle.net/11311/1010989,02.1 Contributo in Volume
http://hdl.handle.net/11311/1011006,02.1 Contributo in Volume
http://hdl.handle.net/11311/1011007,02.1 Contributo in Volume
http://hdl.handle.net/11311/1011008,02.1 Contributo in Volume
http://hdl.handle.net/11311/1011010,02.1 Contributo in Volume
http://hdl.handle.net/11311/1011064,02.1 Contributo in Volume
http://hdl.handle.net/11311/1011065,02.1 Contributo in Volume
http://hdl.handle.net/11311/1011066,02.1 Contributo in Volume
http://hdl.handle.net/11311/1011067,02.1 Contributo in Volume
http://hdl.handle.net/11311/1011853,05.1 Brevetto
http://hdl.handle.net/11311/1012447,04.1 Contributo in Atti di convegno
http://hdl.handle.net/11311/1012448,01.1 Articolo in Rivista
http://hdl.handle.net/11311/1012519,01.1 Articolo in Rivista
http://hdl.handle.net/11311/1013039,02.1 Contributo in Volume
http://hdl.handle.net/11311/1013175,01.1 Articolo in Rivista
http://hdl.handle.net/11311/1013178,04.1 Contributo in Atti di convegno
http://hdl.handle.net/11311/1013183,04.1 Contributo in Atti di convegno
http://hdl.handle.net/11311/1013187,04.1 Contributo in Atti di convegno
http://hdl.handle.net/11311/1013189,04.1 Contributo in Atti di convegno
http://hdl.handle.net/11311/1013190,04.1 Contributo in Atti di convegno
