dc.publisher.place,dc.type.referee,dc.publisher.country,item.collection,item.openaireRights,dc.subject.keywordsita,dc.language.iso,dc.subject.keywords,dc.identifier.uri,dc.date.issued,dc.type.full,dc.relation.ispartofbook,item.journal.title,dc.title,dc.relation.medium,dc.description.numberofauthors,dc.publisher.name,dc.authority.people,dc.type.circulation
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,-,eng,wearable systems; textile sensors; ergonomics; human factors; sensorized clothes; smart textiles; sensor design,http://hdl.handle.net/11311/1006165,2016,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,SENSORS,Defining Requirements and Related Methods for Designing Sensorized Garments,-,3,-,"ANDREONI, GIUSEPPE;STANDOLI, CARLO EMILIO;PEREGO, PAOLO",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,-,eng,-,http://hdl.handle.net/11311/1006915,2016,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,INTERNATIONAL JOURNAL OF GAME-BASED LEARNING,Negative Experiences as Learning Trigger: A Play Experience Empirical Research on a Game for Social Change Case Study,ELETTRONICO,2,-,"MARIANI, ILARIA;Gandolfi, Enrico",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,-,por,"design, moda, arquitetura, cross fertilization, inovação",http://hdl.handle.net/11311/1006959,2016,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,Congresso Brasileiro de Pesquisa e Desinvolvimento em design,CROSS FERTILIZATION: UM DIRECIONAMENTO PARA A INOVAÇÃO,ELETTRONICO,2,-,"Souza, Patrícia de Mello;CONTI, GIOVANNI MARIA",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng,-,http://hdl.handle.net/11311/1007532,2016,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,TOUCHPOINT,Design Doing: The service designer role in a society where everybody designs,-,1,-,"ROSSI, MARTINA",-
-,Esperti anonimi,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,-,ita,-,http://hdl.handle.net/11311/1008146,2016,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,MD JOURNAL,Superfici Imperfette,-,2,-,"PARISI, STEFANO;ROGNOLI, VALENTINA",-
-,Esperti anonimi,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,-,ita,-,http://hdl.handle.net/11311/1008150,2017,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,MD JOURNAL,"ICS_Materials: materiali interattivi, connessi e smart",ELETTRONICO,3,-,"ROGNOLI, VALENTINA;FERRARA, MARIA RITA;ARQUILLA, VENANZIO",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,"OMA, Koolhaas, Venezia, Fondaco dei Tedeschi",eng;spa,-,http://hdl.handle.net/11311/1008379,2016,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,ARQUITECTURA VIVA,"Comercio con la historia. OMA, Fondaco dei Tedeschi in Venice",STAMPA,1,-,"IRACE, FULVIO",-
-,Esperti anonimi,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng,-,http://hdl.handle.net/11311/1008383,2016,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,INTERNATIONAL JOURNAL OF ARTS AND TECHNOLOGY,Telling without talking: dynamic products’ potential for non-verbal communication,ELETTRONICO,2,-,"COLOMBO, SARA;RAMPINO, LUCIA ROSA ELENA",-
-,Esperti anonimi,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng,-,http://hdl.handle.net/11311/1008679,2017,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,THE BURLINGTON MAGAZINE,Milan 1630: the festivities to celebrate the birth of Prince Balthasar of Spain and an invention by Leonardo da Vinci,-,2,-,"MARANI, PIETRO;BORA, Giulio",-
-,Comitato scientifico,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng,-,http://hdl.handle.net/11311/1009997,2017,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,INTERNATIONAL JOURNAL OF RAPID MANUFACTURING,Commons people: additive manufacturing enabled collaborative commons production (by design),-,2,-,"Smith, Paul;MORTATI, MARZIA",-
-,Comitato scientifico,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,-,chi,-,http://hdl.handle.net/11311/1010141,2016,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,ZHUANGSHI,Updating the Tradition: Italian Design in the First Decade of the New Century,STAMPA,2,-,"GUERRINI, LUCA;GEROSA, GIULIA MARIA",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng,-,http://hdl.handle.net/11311/1012448,2016,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,PAD,CampUS: co-designing spaces for urban agriculture with local communities,ELETTRONICO,3,-,"FASSI, DAVIDE;GALLUZZO, LAURA;DE ROSA, ANNALINDA",-
-,Comitato scientifico,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng;ita,"design della comunicazione, grafica, branding, narrazione, informazione digitale",http://hdl.handle.net/11311/1012519,2016,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,DIID. DISEGNO INDUSTRIALE INDUSTRIAL DESIGN,"Comunicare il viaggio: dalla guida al blog, dalla propaganda al branding",STAMPA,1,-,"GUIDA, FRANCESCO ERMANNO",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,ita,-,http://hdl.handle.net/11311/1013175,2017,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,LUCE E DESIGN,Le aziende e la ricerca. Quando università e impresa fanno squadra,-,2,-,"PALMIERI, STEFANIA;Amandolese, Daniela",-
-,Esperti anonimi,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,-,eng,materials experience; sustainability; aesthetic pleasure; sensorial experience; unity-in-variety,http://hdl.handle.net/11311/1013976,2017,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,SUSTAINABILITY,Revived Beauty: Research into Aesthetic Appreciation of Materials to Valorise Materials from Waste,ELETTRONICO,3,-,"Sauerwein, Marita;Karana, Elvin;ROGNOLI, VALENTINA",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,-,ita,-,http://hdl.handle.net/11311/1014373,2016,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,L'IMPRESA,Blue economy dentro casa,STAMPA,1,-,"CEPPI, GIULIO",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,-,ita,-,http://hdl.handle.net/11311/1014375,2017,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,L'IMPRESA,"Il "" diritto al piacere"", una sfida per il paese",-,1,-,"CEPPI, GIULIO",-
