dc.publisher.place,dc.type.referee,dc.publisher.country,item.collection,item.openaireRights,dc.subject.keywordsita,dc.language.iso,dc.subject.keywords,dc.identifier.uri,dc.date.issued,dc.type.full,dc.relation.ispartofbook,item.journal.title,dc.title,dc.relation.medium,dc.description.numberofauthors,dc.publisher.name,dc.authority.people,dc.type.circulation
-,"Sì, ma tipo non specificato",-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng,-,http://hdl.handle.net/11311/242895,2006,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,JOURNAL OF CLEANER PRODUCTION,Life Cycle Design: from general methods to product type specific guidelines and checklists. A method adopted to develop a set of guidelines/checklist handbook for the eco-efficient design of NECTA vending machines,-,2,-,"VEZZOLI, CARLO ARNALDO;SCIAMA, DALIA",internazionale
Milano,-,-,-,none,-,-,-,http://hdl.handle.net/11311/242947,2007,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,LINEA GRAFICA,E' il margine che fa la pagina. Stampa come design. Atlanti per la comunicazione del territorio,-,1,Progetto editrice,"BAULE, GIOVANNI",internazionale
Napoli,-,-,01.1 Articolo in Rivista,none,-,-,-,http://hdl.handle.net/11311/242993,2007,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,OP. CIT.,Quando i designer erano architetti,-,1,-,"CAPPELLIERI, ALBA",nazionale
-,-,-,01.1 Articolo in Rivista,none,-,ita,Lighting design; interior design; hotel design,http://hdl.handle.net/11311/243892,2007,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,SUITE,Luce e Ospitalità,-,1,-,"SCULLICA, FRANCESCO",nazionale
-,-,-,-,none,-,-,-,http://hdl.handle.net/11311/243994,2005,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,JE-LKS. JOURNAL OF E-LEARNING AND KNOWLEDGE SOCIETY,Dai learning objects ai learning objectives,-,1,-,"COLORNI VITALE, ALBERTO",internazionale
Firenze,"Sì, ma tipo non specificato",-,01.1 Articolo in Rivista,none,-,-,-,http://hdl.handle.net/11311/244220,2006,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,GUD. GENOVA UNIVERSITÀ DESIGN,"Il progetto al centro, per una identità senza marca",-,1,Alinea,"GUIDA, FRANCESCO ERMANNO",nazionale
Roma,-,-,01.1 Articolo in Rivista,none,-,-,-,http://hdl.handle.net/11311/244283,2005,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,DISEGNARE IDEE IMMAGINI,Il cantiere di restauro virtualizzato,-,3,Gangemi,"BREVI, FAUSTO;CECCARELLI, NICOLO';GAIANI, MARCO",internazionale
Milano,-,-,01.1 Articolo in Rivista,none,-,-,-,http://hdl.handle.net/11311/244373,2006,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,LINEA GRAFICA,Un supporto versatile,-,1,Progetto Editrice,"BUCCHETTI, VALERIA LUISA",internazionale
-,-,-,01.1 Articolo in Rivista,none,-,-,Bruno Morassutti; Serramenti,http://hdl.handle.net/11311/244715,2003,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,SERRAMENTI E FALEGNAMERIA,L'uso del legno nell'opera di un progettista,-,1,-,"SCULLICA, FRANCESCO",nazionale
Milano,-,-,01.1 Articolo in Rivista,none,-,-,-,http://hdl.handle.net/11311/244764,2007,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,NAUTECH,Professionisti non per caso,-,3,Tecniche Nuove,"RATTI, ANDREA;G. Schelotto;P. Virgolini",nazionale
Milano,-,-,01.1 Articolo in Rivista,none,-,-,-,http://hdl.handle.net/11311/244901,2005,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,-,Dopo Proposte,-,1,Edinterni,"DELL'ACQUA BELLAVITIS, ARTURO",internazionale
-,-,-,-,none,-,-,-,http://hdl.handle.net/11311/245001,2006,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,RACCOLTA VINCIANA,Leonardo dipinge il Cenacolo. Ancora sull’immagine del Vinciano nel XIX secolo,-,1,-,"CORDERA, PAOLA",internazionale
-,Esperti anonimi,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng,-,http://hdl.handle.net/11311/245119,2006,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,INTERNATIONAL JOURNAL OF SUSTAINABILITY IN HIGHER EDUCATION,"Campus: ""lab"" and ""window"" for sustainable design research and education. The DECOS educational network experience",-,2,Emerald Group Publishing Limited,"DE SOUSA PENIN, LARA;VEZZOLI, CARLO ARNALDO",internazionale
Milano,-,-,-,none,-,-,-,http://hdl.handle.net/11311/245238,2007,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,HOME,Contract Design. Strategia e promozione,-,1,Edinterni,"DELL'ACQUA BELLAVITIS, ARTURO",nazionale
-,-,-,01.1 Articolo in Rivista,none,-,-,-,http://hdl.handle.net/11311/245329,2002,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,-,Aeroporti e controllo del traffico aereo,-,1,F. Angeli,"PONTI, MARCO GUIDO",nazionale
-,-,ITA,01.1 Articolo in Rivista,none,-,ita,-,http://hdl.handle.net/11311/245595,2003,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,T&T. TRASPORTI E TERRITORIO,Analisi costi - benefici dell'introduzione di un veicolo elettrico per la distribuzione urbana delle merci,-,3,-,"BRAMBILLA, MARCO GIOVANNI;ERBA, STEFANO;PONTI, MARCO GUIDO",nazionale
Milano,-,-,-,none,-,-,-,http://hdl.handle.net/11311/245607,2006,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,LINEA GRAFICA,Imballaggi inclusivi,-,1,Progetto Editrice,"BUCCHETTI, VALERIA LUISA",internazionale
-,-,-,01.1 Articolo in Rivista,none,-,ita,INF,http://hdl.handle.net/11311/245829,2001,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,ALTA FREQUENZA - RIVISTA DI ELETTRONICA,Politecnico Innovazione:un Consorzio per agevolare il trasferimento tecnologico alle PMI,-,2,-,"BRACCHI, GIAMPIO;CAMPODALL'ORTO, SERGIO",nazionale
-,Nessuno,-,-,none,-,ita;eng,-,http://hdl.handle.net/11311/246586,2004,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,LINEA GRAFICA,Imagina,-,1,-,"PIREDDA, FRANCESCA",internazionale
Milano,-,ITA,01.1 Articolo in Rivista,none,-,-,-,http://hdl.handle.net/11311/246675,2007,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,LINEA GRAFICA,Geografie della comunicazione,-,1,Progetto Editrice Srl,"QUAGGIOTTO, MARCO",internazionale
-,-,-,01.1 Articolo in Rivista,none,-,-,-,http://hdl.handle.net/11311/246919,2006,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,TILE ITALIA,MIPA tra tradizione e innovazione,-,2,Tile Edizioni,"ARQUILLA, VENANZIO;MAFFEI, STEFANO",nazionale
-,-,-,-,none,-,-,-,http://hdl.handle.net/11311/246964,2003,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,PIANETA INOSSIDABILI,Dai grattacieli di New York alle Petronas della Malesia,-,1,-,"ROGNOLI, VALENTINA",nazionale
-,-,-,01.1 Articolo in Rivista,none,-,-,-,http://hdl.handle.net/11311/247100,2006,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,T&T. TRASPORTI E TERRITORIO,L'evoluzione del trasporto passeggeri in Europa: una ricerca problematica,-,2,-,"C. Libè;PONTI, MARCO GUIDO",nazionale
Milano,-,-,-,none,-,-,-,http://hdl.handle.net/11311/247129,2007,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,LINEA GRAFICA,Scenari per la web tv,-,1,Progetto Editrice,"GALBIATI, MARIA LUISA",internazionale
-,-,-,-,none,-,-,-,http://hdl.handle.net/11311/247222,2002,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,TRASPORTI,"Tpl, i sussidi al 70% dei costi non sono una scelta scontata",-,1,-,"PONTI, MARCO GUIDO",nazionale
Milano,-,-,01.1 Articolo in Rivista,none,-,-,-,http://hdl.handle.net/11311/247307,2005,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,IL PROGETTISTA INDUSTRIALE,Usabilità design. Design delle interfacce: comunicazione uomo - macchina. L'ergonomia al servizio del design,-,1,Tecniche Nuove,"COSTA, FIAMMETTA CARLA ENRICA",nazionale
Milano,-,-,01.1 Articolo in Rivista,none,-,-,-,http://hdl.handle.net/11311/247498,2004,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,LINEA GRAFICA,Spazi del gusto,-,1,Progetto Editrice,"BUCCHETTI, VALERIA LUISA",internazionale
-,-,-,-,none,-,-,-,http://hdl.handle.net/11311/248076,2002,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,MONDO LEGNO,Prodotti strutturali in legno ricomposto,-,1,-,"PIARDI, SILVIA ELVIRA MARIA",nazionale
roma,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng;ita,-,http://hdl.handle.net/11311/248103,2007,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,DIID. DISEGNO INDUSTRIALE INDUSTRIAL DESIGN,La stanza delle cose che succedono - Albesani Multisentory Room,-,1,cangemi,"BIAMONTI, ALESSANDRO",nazionale
-,-,-,01.1 Articolo in Rivista,none,-,-,-,http://hdl.handle.net/11311/248126,2001,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,MODO,Un modello di successo,-,1,-,"SIMONELLI, GIULIANO",internazionale
Rimini,-,-,-,none,-,-,-,http://hdl.handle.net/11311/248150,2007,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,CASA FUTURA,La Casa Spaziale. Le esperienze dello SpaceLab del Politecnico di Milano,-,2,Maggioli,"FERRARIS, SILVIA DEBORAH;TRABUCCO, FRANCESCO",nazionale
Milano,-,-,01.1 Articolo in Rivista,none,-,-,-,http://hdl.handle.net/11311/248165,2004,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,LINEA GRAFICA,Metaimballaggi,-,1,Progetto Editrice,"BUCCHETTI, VALERIA LUISA",internazionale
-,-,-,-,none,-,-,-,http://hdl.handle.net/11311/248218,2007,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,LUCE E DESIGN,Un apparecchio wall-washer con un LED,-,2,Tecniche Nuove,"F. Procaccini;ROSSI, MAURIZIO",nazionale
-,Nessuno,-,01.1 Articolo in Rivista,none,-,ita,-,http://hdl.handle.net/11311/248221,2004,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,SUITE,Hotel Litta Palace,-,1,-,"SCULLICA, FRANCESCO",nazionale
Milano,-,-,01.1 Articolo in Rivista,none,-,-,-,http://hdl.handle.net/11311/248273,2005,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,LINEA GRAFICA,Caratteri postdigitali. Blog visuali. Etiche della comunicazione. Scenari per l’interazione. L’immagine a pezzi. Una scena ri-composta,-,1,Progetto Editrice s.r.l.,"BAULE, GIOVANNI",internazionale
Roma,-,-,-,none,-,-,-,http://hdl.handle.net/11311/248448,2002,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,TERRA MARE CIELO,La liberalizzazione innominata,-,1,Federtrasporto,"PONTI, MARCO GUIDO",nazionale
-,-,-,-,none,-,ita,-,http://hdl.handle.net/11311/248612,2003,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,U & C. UNIFICAZIONE E CERTIFICAZIONE,"Benessere, igiene e salute dell'utenza. La qualità dell'aria intern",-,1,-,"PIARDI, SILVIA ELVIRA MARIA",nazionale
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,-,materioteca; sensorialità,http://hdl.handle.net/11311/248613,2004,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,IL GIORNALE DELL'ARCHITETTURA,Non c'è designer senza materioteca,-,1,-,"ROGNOLI, VALENTINA",nazionale
Milano,-,-,-,none,-,-,-,http://hdl.handle.net/11311/248694,2003,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,DISEGNO E DESIGN DIGITALE,Rappresentazione virtuale: interfacce e tecniche d'interazione,-,1,Edizioni Poli.Design,"CECONELLO, MAURO ATTILIO",nazionale
Faenza,-,-,01.1 Articolo in Rivista,none,-,-,-,http://hdl.handle.net/11311/248704,2007,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,AE ARCHAEDILIA,Un intervento di design urbano a Milano,-,1,Edizione Il sole 24 ore,"PICCINNO, GIOVANNA",nazionale
Milano,-,-,-,none,-,-,-,http://hdl.handle.net/11311/248747,2005,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,LINEA GRAFICA,Archivi della memoria e del futuro. Le belle figure. Il web illustrato,-,1,Progettoeditrice,"BAULE, GIOVANNI",internazionale
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,-,packaging; sensorialità,http://hdl.handle.net/11311/249162,2004,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,KOSMETICA,Il packaging parla al cervello e al cuore del consumatore,-,1,-,"ROGNOLI, VALENTINA",nazionale
Milano,-,-,01.1 Articolo in Rivista,none,-,-,-,http://hdl.handle.net/11311/249214,2002,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,LINEA GRAFICA,Movie Design,-,1,Progetto editrice,"GALBIATI, MARIA LUISA",internazionale
-,-,-,-,none,-,-,-,http://hdl.handle.net/11311/249268,2001,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,TECNICA OSPEDALIERA,Il settore e i prodotti biomedici,-,1,-,"COSTA, FIAMMETTA CARLA ENRICA",nazionale
-,-,-,-,none,-,-,-,http://hdl.handle.net/11311/249320,2006,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,HOME,I nuovi scenari del tessile,-,1,Edinterni,"DELL'ACQUA BELLAVITIS, ARTURO",nazionale
Milano,-,-,-,none,-,-,-,http://hdl.handle.net/11311/249363,2006,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,DESIGN VIEW. MAGAZINE DELLA RETE NAZIONALE DI RICERCA SISTEMA DESIGN ITALIA,Pomellato,-,1,Edizioni Poli.Design,"CAPPELLIERI, ALBA",nazionale
Bergamo,-,-,01.1 Articolo in Rivista,none,-,-,-,http://hdl.handle.net/11311/249379,2006,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,ERGONOMIA,Sulla metropoli. Città infinita o fine della città?,-,2,Moretti&Vitali,"M. Bonfantini;ZINGALE, SALVATORE",nazionale
Rimini,-,-,-,none,-,-,-,http://hdl.handle.net/11311/249542,2003,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,PAESAGGIO URBANO,Una finestra sul mondo: Earthviewer 3D,-,1,Maggioli Editore,"CECONELLO, MAURO ATTILIO",nazionale
Milano,-,-,01.1 Articolo in Rivista,none,-,-,-,http://hdl.handle.net/11311/249717,2001,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,LINEA GRAFICA,Icone incontaminate,-,1,Progetto Editrice,"BUCCHETTI, VALERIA LUISA",internazionale
-,-,-,01.1 Articolo in Rivista,none,-,ita;eng,furniture design; prodotto d'arredo,http://hdl.handle.net/11311/249798,2005,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,THE JOURNAL OF DESIGN,STORIA E MEMORIA NELL’ARREDO ITALIANO,-,1,-,"SCULLICA, FRANCESCO",internazionale
-,-,-,-,none,-,-,-,http://hdl.handle.net/11311/250063,2001,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,OFFICE LAYOUT,Le biblioteche pubbliche: spazi del sapere tra ricerca e progetto,-,1,-,"INGARAMO, MATTEO ORESTE",internazionale
-,-,-,-,none,-,-,-,http://hdl.handle.net/11311/250069,2006,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,4OR,An effective and fast heuristic for the Dial-a-ride problem,-,2,-,"COLORNI VITALE, ALBERTO;R. Wolfler",internazionale
Varese,-,-,01.1 Articolo in Rivista,none,-,-,-,http://hdl.handle.net/11311/250317,2005,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,FOOD PACKAGES,Per una visione strategica della sostenibilità,-,1,Artek,"MERONI, ANNA",nazionale
Pisa,-,ITA,-,none,-,-,-,http://hdl.handle.net/11311/250787,2002,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,INTERNATIONAL JOURNAL OF TRANSPORT ECONOMICS,Evaluation of transport infrastructure project beyond cost - benefit analysis. An application to Barcellona’s 4th ring road. A comment,-,1,Istituti Editoriali e poligrafici internazionali,"PONTI, MARCO GUIDO",nazionale
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,-,-,http://hdl.handle.net/11311/250882,2007,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,ABITARE,"Teresa, paladina del manifesto/Teresa, champion of the poster",-,1,-,"PIAZZA, MARIO",internazionale
-,-,-,01.1 Articolo in Rivista,none,-,-,-,http://hdl.handle.net/11311/251138,2007,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,LUCE E DESIGN,"Wassily, per una nuova sostenibilità della luce negli uffici",-,2,Tecniche Nuove,"BOSSI, ELISA;ROSSI, MAURIZIO",nazionale
-,-,ITA,01.1 Articolo in Rivista,none,-,ita,-,http://hdl.handle.net/11311/251616,2003,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,ECONOMIA PUBBLICA,Le tariffe dei trasporti pubblici e dei sussidi,-,3,F. Angeli,"PONTI, MARCO GUIDO;BRAMBILLA, MARCO GIOVANNI;ERBA, STEFANO",nazionale
Milano,-,-,01.1 Articolo in Rivista,none,-,-,-,http://hdl.handle.net/11311/251780,2003,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,DISEGNO E DESIGN DIGITALE,Tecniche di Rappresentazione per il Disegno Industriale: il Tradizionale e il Virtuale,-,1,Edizioni Poli.Design,"BREVI, FAUSTO",nazionale
-,-,-,-,none,-,ita;eng,-,http://hdl.handle.net/11311/251791,2007,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,L'ARCA INTERNATIONAL,Immagina 2007,-,1,-,"DOMINONI, ANNALISA",-
Milano,-,-,-,none,-,-,-,http://hdl.handle.net/11311/251913,2004,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,LINEA GRAFICA,Oggetti dalla rete,-,1,Progetto editrice,"BAULE, GIOVANNI",internazionale
-,-,-,01.1 Articolo in Rivista,none,-,-,-,http://hdl.handle.net/11311/252061,2001,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,ORTOPEDICI E SANITARI,"Il settore economico ""protesi e ausili"".",-,1,-,"COSTA, FIAMMETTA CARLA ENRICA",nazionale
Milano,"Sì, ma tipo non specificato",-,-,none,-,-,-,http://hdl.handle.net/11311/252063,2007,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,LINEA GRAFICA,Segnali sulle superfici,-,1,Progetto editrice,"GUIDA, FRANCESCO ERMANNO",internazionale
-,-,-,01.1 Articolo in Rivista,none,-,-,-,http://hdl.handle.net/11311/252164,2002,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,SLOW,Il pensiero alimentare. Food Designer,-,1,-,"MERONI, ANNA",internazionale
-,-,-,01.1 Articolo in Rivista,none,-,-,-,http://hdl.handle.net/11311/252213,2006,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,LINEA GRAFICA,Comunicazione instabile. Webzine per la grafica,-,1,-,"BAULE, GIOVANNI",internazionale
Milano,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng;ita,-,http://hdl.handle.net/11311/252240,2006,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,LINEA GRAFICA,Prodotti non prodotti,STAMPA,1,Progetto Editrice,"BUCCHETTI, VALERIA LUISA",internazionale
-,-,-,-,none,-,-,-,http://hdl.handle.net/11311/252260,2006,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,TRASPORTI & CULTURA,Le maggiori critiche economiche all'Alta Velocità italiana,-,1,-,"PONTI, MARCO GUIDO",nazionale
Milano,"Sì, ma tipo non specificato",ITA,01.1 Articolo in Rivista,none,-,eng;ita,-,http://hdl.handle.net/11311/252342,2006,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,LINEA GRAFICA,Segnale di luce,-,1,Progetto editrice,"GUIDA, FRANCESCO ERMANNO",internazionale
Milano,-,-,-,none,-,-,-,http://hdl.handle.net/11311/252758,2005,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,IL PROGETTISTA INDUSTRIALE,Codesigning: dallo User centred allo User driver design. User Centred Design e usabilità. Le norme ergonomiche: vincolo o opportunità per il designer?,-,1,Tecniche Nuove,"COSTA, FIAMMETTA CARLA ENRICA",nazionale
Milano,-,ITA,01.1 Articolo in Rivista,none,-,-,-,http://hdl.handle.net/11311/252861,2005,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,LINEA GRAFICA,Visioni di altri mondi,-,1,Progetto Editrice Srl,"QUAGGIOTTO, MARCO",internazionale
Milano,-,-,-,none,-,-,-,http://hdl.handle.net/11311/253253,2005,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,IL PROGETTISTA INDUSTRIALE,Design ergonomico e mezzi di trasporto. Design e innovazione tecnologica: vincolo o opportunità per il designer. Design dei beni strumentali,-,1,Tecniche Nuove,"COSTA, FIAMMETTA CARLA ENRICA",nazionale
-,-,-,-,none,-,-,-,http://hdl.handle.net/11311/253614,2003,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,PIANETA INOSSIDABILI,Enzo Mari: Una impronta nel disegno industriale,-,1,-,"ROGNOLI, VALENTINA",nazionale
-,-,-,01.1 Articolo in Rivista,none,-,-,-,http://hdl.handle.net/11311/253882,2006,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,-,Passato presente e futuro del Design,-,1,-,"DELL'ACQUA BELLAVITIS, ARTURO",nazionale
-,Nessuno,-,01.1 Articolo in Rivista,none,-,ita,-,http://hdl.handle.net/11311/253891,2003,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,SUITE,Cosmo Hotel Palace,-,2,-,"SCULLICA, FRANCESCO;SIMONELLI, GIULIANO",nazionale
-,-,-,01.1 Articolo in Rivista,none,-,eng;ita,forniture design; prodotto d'arredo,http://hdl.handle.net/11311/254981,2005,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,THE JOURNAL OF DESIGN,L’ARREDO ITALIANO FRA DOMESTICO E CONTRACT,-,1,-,"SCULLICA, FRANCESCO",internazionale
-,-,ITA,-,none,-,ita,-,http://hdl.handle.net/11311/255014,2006,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,FOOD PACKAGES,Design per la sostenibilità ambientale degli imballaggi,-,2,edizioni artek,"L. Orbetegli;VEZZOLI, CARLO ARNALDO",nazionale
-,-,ITA,01.1 Articolo in Rivista,none,-,-,Wayfinding; design,http://hdl.handle.net/11311/255060,2007,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,PROGETTO GRAFICO,Wayfinding al Politecnico di Milano,-,1,AIAP,"CIUCCARELLI, PAOLO",nazionale
-,-,-,-,none,-,-,-,http://hdl.handle.net/11311/255070,2002,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,TRASPORTI,Ma la ricetta della commissione non cancellarà il protezionismo,-,1,-,"PONTI, MARCO GUIDO",nazionale
Milano,-,ITA,01.1 Articolo in Rivista,none,-,-,-,http://hdl.handle.net/11311/255130,2007,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,DOMUS,Esperanto,-,2,Editoriale Domus SpA,"BOERI, STEFANO;PIAZZA, MARIO",internazionale
-,-,-,-,none,-,-,-,http://hdl.handle.net/11311/255533,2001,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,TECNICA OSPEDALIERA,Analisi economico-industriale del settore sanitario,-,1,-,"COSTA, FIAMMETTA CARLA ENRICA",nazionale
-,-,-,01.1 Articolo in Rivista,none,-,ita,hotel design; design degli interni; interior design,http://hdl.handle.net/11311/255546,2007,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,SUITE,Contemporaneità Partenopa,-,1,-,"SCULLICA, FRANCESCO",nazionale
Faenza,-,-,-,none,-,-,-,http://hdl.handle.net/11311/255599,2006,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,AE ARCHAEDILIA,Progetto design. Oggetti di >segnati,-,1,-,"PICCINNO, GIOVANNA",nazionale
Milano,-,-,01.1 Articolo in Rivista,none,-,-,-,http://hdl.handle.net/11311/255612,2004,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,COMPLESSITÀ E SOSTENIBILITÀ,Note sui materiali pubblicati,-,1,Edizioni Poli.Design,"NEBULONI, ATTILIO",nazionale
Milano,-,-,01.1 Articolo in Rivista,none,-,-,-,http://hdl.handle.net/11311/255702,2004,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,LINEA GRAFICA,Discipline del packaging design,-,1,Progetto editrice,"BUCCHETTI, VALERIA LUISA",internazionale
Milano,-,-,-,none,-,-,-,http://hdl.handle.net/11311/255747,2001,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,LINEA GRAFICA,La rete della spesa,-,1,Progetto Editrice,"BUCCHETTI, VALERIA LUISA",internazionale
Milano,-,-,01.1 Articolo in Rivista,none,-,-,-,http://hdl.handle.net/11311/255960,2005,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,LINEA GRAFICA,Muratore e l’archetipo del graphic designer. Vent’anni in linea con la grafica. Archivi della memoria e del futur,-,1,Progetto Editrice,"BAULE, GIOVANNI",internazionale
Milano,-,-,-,none,-,-,-,http://hdl.handle.net/11311/255993,2003,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,LINEA GRAFICA,"Musei immaginari (Artefatti di identità, Segni dal flusso, Scritture mobili)",-,1,Progetto editrice,"BAULE, GIOVANNI",nazionale
-,-,-,-,none,-,-,-,http://hdl.handle.net/11311/256134,2002,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,IL SOLE 24 ORE,Merci su ferrovia in cerca di progetto,-,2,-,"A. Boitani;PONTI, MARCO GUIDO",nazionale
-,-,-,01.1 Articolo in Rivista,none,-,-,-,http://hdl.handle.net/11311/256229,2001,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,HABITAT UFFICIO,Dall'arredare l'ufficio all'attrezzare il lavoro,-,1,-,"INGARAMO, MATTEO ORESTE",internazionale
Milano,-,-,01.1 Articolo in Rivista,none,-,-,-,http://hdl.handle.net/11311/256621,2006,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,LINEA GRAFICA,Segnali d’arte,-,1,Progetto Editrice,"GUIDA, FRANCESCO ERMANNO",internazionale
