dc.relation.medium,dc.date.issued,dc.type.full,dc.type.circulation,dc.relation.ispartofbook,item.collection,dc.publisher.place,dc.identifier.uri,dc.publisher.country,dc.title,dc.relation.conferenceplace,dc.subject.keywords,dc.description.numberofauthors,item.openaireRights,dc.language.iso,dc.publisher.name,dc.relation.conferencename,dc.description.allpeople,dc.subject.keywordsita
-0,2008,07 ALTRO::07.03 Design,-0,-0,07.03 Design,-0,http://hdl.handle.net/11311/958787,-0,"L'abbraccio di Vienna. Klimt, Schiele e i capolavori del Belvedere",-0,-0,1,info:eu-repo/semantics/openAccess,eng;ita,-0,-0,R.Gaddi,-0
-0,2008,07 ALTRO::07.05 Esposizione,-0,Casa per tutti. Abitare la città globale,07.05 Esposizione,Milano,http://hdl.handle.net/11311/881650,ITA,"Case rapide, prefabbricate, smontabili",-0,-0,1,info:eu-repo/semantics/closedAccess,ita;eng,ELECTA MONDADORI,-0,Feraboli M.T.,-0
-0,2008,07 ALTRO::07.06 Mostra,-0,-0,07.06 Mostra,-0,http://hdl.handle.net/11311/692358,-0,"Mostra: Studio Museo Achille Castiglioni, presso Shiodome Italia Creative Center, Tokyo",-0,Studio Museo Achille Castiglioni; ricerca d.cult; Triennale di Miano; design per i beni culturali,3,info:eu-repo/semantics/closedAccess,eng;jpn,-0,-0,S. Annicchiarico; M. Parente; A. Seassaro,-0
-0,2008,07 ALTRO::07.06 Mostra,-0,-0,07.06 Mostra,-0,http://hdl.handle.net/11311/925758,-0,"""FABIO NOVEMBRE. Insegna anche a me la libertà delle rondini"".",-0,-0,1,-0,ita;eng,-0,-0,Beppe Finessi,-0
-0,2008,07 ALTRO::07.12 Altro,nazionale,articolo su: www.laVoce.info,07.12 Altro,-0,http://hdl.handle.net/11311/534030,-0,Una grande opera. Tutta da valutare,-0,-0,2,info:eu-repo/semantics/closedAccess,ita,-0,-0,M. PONTI; P. BERIA,-0
-0,2008,07 ALTRO::07.12 Altro,-0,-0,07.12 Altro,-0,http://hdl.handle.net/11311/546339,-0,L’evoluzione dei Musei con l’Information and Communication Technology,-0,-0,5,info:eu-repo/semantics/closedAccess,-0,-0,-0,M. Canina; I. Celino; E. Frumento; A. Pagani; N. Simeoni,-0
-0,2008,07 ALTRO::07.12 Altro,-0,-0,07.12 Altro,-0,http://hdl.handle.net/11311/546700,-0,Enografie. Il design racconta i vini del Piemonte.,-0,-0,2,none,-0,-0,-0,Giovanni Baule; Valeria Bucchetti,-0
-0,2008,07 ALTRO::07.12 Altro,-0,-0,07.12 Altro,-0,http://hdl.handle.net/11311/546702,-0,Interazioni grafico-strutturali,-0,-0,1,-0,-0,-0,-0,Valeria Bucchetti,-0
-0,2008,07 ALTRO::07.12 Altro,-0,-0,-0,-0,http://hdl.handle.net/11311/546712,-0,Superfici (tra vista e tatto),-0,-0,1,none,-0,-0,-0,Valeria Bucchetti,-0
-0,2008,07 ALTRO::07.12 Altro,-0,-0,-0,-0,http://hdl.handle.net/11311/547523,-0,Ottimizzazione della raccolta dei Rifiuti di Apparecchiature Elettriche ed Elettroniche (RAEE),-0,-0,4,none,-0,-0,-0,Maurizio Bruglieri; Fabiano Cattaneo; Andrea Colombo; Alberto Colorni,-0
-0,2008,07 ALTRO::07.12 Altro,-0,-0,07.12 Altro,-0,http://hdl.handle.net/11311/548205,-0,Enografie: il design dei percorsi narrativi,-0,-0,1,-0,-0,-0,-0,Giovanni Baule,-0
-0,2008,07 ALTRO::07.12 Altro,-0,-0,07.12 Altro,-0,http://hdl.handle.net/11311/548276,-0,Il futuro dell’e-learning è già passato,-0,-0,3,-0,-0,-0,-0,A. Colorni; S. Sancassani; L. Leita,-0
-0,2008,07 ALTRO::07.12 Altro,-0,-0,-0,-0,http://hdl.handle.net/11311/548486,-0,"Benefits and problems of e-learning, UE Committee on Culture Science and Education, Realising the full potential of e-learning at all levels of education.",-0,-0,1,-0,-0,-0,-0,Alberto Colorni Vitale,-0
-0,2008,07 ALTRO::07.12 Altro,-0,-0,07.12 Altro,-0,http://hdl.handle.net/11311/550760,-0,A passo lento nel tunnel,-0,-0,2,-0,-0,-0,-0,Grimaldi R.; Ponti M.,-0
-0,2008,07 ALTRO::07.12 Altro,-0,-0,07.12 Altro,-0,http://hdl.handle.net/11311/550761,-0,E sulla Milano-Venezia i conti non tornano,-0,-0,2,-0,-0,-0,-0,Grimaldi R.; Ponti M.,-0
-0,2008,07 ALTRO::07.12 Altro,-0,-0,-0,-0,http://hdl.handle.net/11311/560608,-0,piattaforma LeNS,-0,-0,1,none,-0,-0,-0,Vezzoli C.,-0
-0,2008,07 ALTRO::07.12 Altro,nazionale,-0,07.12 Altro,-0,http://hdl.handle.net/11311/634054,-0,Leggere il contesto per orientare il progetto. Metodologie e approcci per la produzione e visualizzazione di conoscenza ad orientamento della pratica progettuale nel design della moda.,-0,-0,1,info:eu-repo/semantics/closedAccess,-0,-0,-0,Colombi Chiara,-0
-0,2008,07 ALTRO::07.12 Altro,-0,-0,07.12 Altro,-0,http://hdl.handle.net/11311/689350,-0,Occasioni di complessità sostenibile / Opportunities of sustainable complexity - Complessità e sostenibilià: il territorio e l'architettura n. 05,-0,-0,5,none,-0,-0,-0,G. Padovano; C. Blasi; A. Nebuloni; I. Anastasio; V. Arrigoni,-0
-0,2008,07 ALTRO::07.12 Altro,-0,-0,07.12 Altro,-0,http://hdl.handle.net/11311/689353,-0,Gli spazi della complessità / The spaces of complexity - Complessità e sostenibilià: il territorio e l'architettura n. 06,-0,-0,5,none,-0,-0,-0,G. Padovano; C. Blasi; A. Nebuloni; I. Anastasio; V. Arrigoni,-0
-0,2008,07 ALTRO::07.12 Altro,-0,-0,07.12 Altro,-0,http://hdl.handle.net/11311/689354,-0,Tendenze della ricerca universitaria - Complessità e sostenibilià: il territorio e l'architettura n. 07,-0,-0,5,none,-0,-0,-0,G. Padovano; C. Blasi; A. Nebuloni; I. Anastasio; V. Arrigoni,-0
-0,2008,07 ALTRO::07.12 Altro,-0,-0,07.12 Altro,-0,http://hdl.handle.net/11311/689355,-0,Oltre l'architettura convenzionale / Beyond conventional architecture - Complessità e sostenibilià: il territorio e l'architettura n. 08,-0,-0,5,none,-0,-0,-0,G. Padovano; C. Blasi; A. Nebuloni; I. Anastasio; V. Arrigoni,-0
-0,2008,07 ALTRO::07.12 Altro,-0,-0,07.12 Altro,-0,http://hdl.handle.net/11311/689358,-0,Nuovi spazi interattivi / New interactive spaces - Complessità e sostenibilià: il territorio e l'architettura n. 09,-0,-0,5,none,-0,-0,-0,G. Padovano; C. Blasi; A. Nebuloni; I. Anastasio; V. Arrigoni,-0
-0,2008,07 ALTRO::07.13 Progetti,-0,-0,07.13 Progetti,-0,http://hdl.handle.net/11311/550298,-0,Progettazione della comunicazione visiva e degli apparati comunicativi per il Museo Nazionale Archeologico di Taranto,Taranto,Identità visiva; segnaletica informativa e di orientamento; sito web,5,info:eu-repo/semantics/closedAccess,ita,"Impresa Garibaldi srl, Bari",ad invito,"arch. Francesco E. Guida (art direction);

Carla De Luca; Giovanni Dema; Nicola Scotto di Carlo; Jaana Zammer (collaboratori).",-0
-0,2008,07 ALTRO::07.13 Progetti,-0,-0,-0,-0,http://hdl.handle.net/11311/640520,-0,Ponte di accesso al Triennale Design Museum,Milano,-0,1,none,ita,Fondazione Europea Guido Venosta,Il Ponte,M. De Lucchi,-0
-0,2008,07 ALTRO::07.13 Progetti,-0,-0,-0,-0,http://hdl.handle.net/11311/667391,-0,Concorso Internazionale di Progettazione a Grado Unico Ristretto: “Amamontagnola” Roma.,"Roma, Italia",-0,6,none,ita,AMA - Comune di Roma,Concorso Internazionale di Progettazione a Grado Unico Ristretto,E. Avallone; G. Forte; M. Musmeci; S. Orsi;  G. Pierluisi; A. Sciolari,-0
-0,2009,07 ALTRO::07.06 Mostra,-0,-0,07.06 Mostra,-0,http://hdl.handle.net/11311/758847,-0,Time To Design,-0,-0,2,-0,-0,-0,-0,G. Gerosa; M. Berghinz,-0
-0,2009,07 ALTRO::07.06 Mostra,-0,-0,07.06 Mostra,-0,http://hdl.handle.net/11311/758848,-0,Opening Soon,-0,-0,3,none,-0,-0,-0,G. Gerosa; L. Collina; A. Branzi,-0
-0,2009,07 ALTRO::07.06 Mostra,-0,-0,07.06 Mostra,-0,http://hdl.handle.net/11311/924756,-0,PAOLO ULIAN 1990-2009,-0,-0,1,-0,eng;ita,-0,-0,Beppe Finessi,-0
-0,2009,07 ALTRO::07.06 Mostra,-0,-0,07.06 Mostra,-0,http://hdl.handle.net/11311/925361,-0,ANGELO MANGIAROTTI SCOLPIRE/COSTRUIRE,-0,-0,1,-0,eng;ita,-0,-0,Beppe Finessi,-0
-0,2009,07 ALTRO::07.06 Mostra,-0,-0,07.06 Mostra,-0,http://hdl.handle.net/11311/925756,-0,ALESSANDRO MENDINI,-0,-0,1,-0,ita;eng,-0,-0,Beppe Finessi,-0
-0,2009,07 ALTRO::07.06 Mostra,-0,-0,-0,-0,http://hdl.handle.net/11311/925757,-0,PIO MANZU'. Quando il mondo era moderno.,-0,-0,3,none,eng;ita,-0,-0,Giacinto Di Pietrantonio; Enrico Leonardo Fagone; Beppe Finessi,-0
-0,2009,07 ALTRO::07.12 Altro,-0,-0,07.12 Altro,-0,http://hdl.handle.net/11311/563684,-0,Propsettive di design per i servizi Mobile secondo l'approccio User Centred,-0,-0,2,none,-0,-0,-0,M. Pillan ; F. Rizzo,-0
-0,2009,07 ALTRO::07.12 Altro,internazionale,-0,-0,-0,http://hdl.handle.net/11311/564940,-0,Design Per. L'ambiente,-0,-0,2,none,-0,-0,-0,Guida F.E.; Chia G.,-0
-0,2009,07 ALTRO::07.12 Altro,internazionale,-0,-0,-0,http://hdl.handle.net/11311/565390,-0,The Identity of Cultural Heritages between Real and Virtual. New Languages and Virtuous Devices in the Age of Transition.,-0,-0,1,none,-0,-0,-0,Guida F.E.,-0
-0,2009,07 ALTRO::07.13 Progetti,-0,-0,-0,-0,http://hdl.handle.net/11311/1019069,-0,Freesbe: Free sound diffusion,New York,-0,4,none,eng,R/GA,R/GA Mobile Music Challenge,"Mauri, Michele; Desiato, Andrea; Paolo, Dusi; Napoli, Mauro",-0
-0,2009,07 ALTRO::07.13 Progetti,-0,-0,07.13 Progetti,-0,http://hdl.handle.net/11311/563693,-0,Citymurmur,"New Orleans, Louisiana, USA",Media; news; city; cartography; mapping; communication design; urban space,7,none,eng,SIGGRAPH 2009,Emerging Technologies,M. Quaggiotto; G. Caviglia; M. Graffieti; S. Granados Lopez; D. Guido; D. Ricci; G. Scagnetti,-0
-0,2009,07 ALTRO::07.13 Progetti,-0,-0,07.13 Progetti,-0,http://hdl.handle.net/11311/564313,-0,DRM - Design Research Maps,Milano,Design Research; Maps; Academic Design Research,4,none,ita;eng,ADI - Associazione per l Disegno Industriale,ADI INDEX 2000 - Compasso d'Oro,P. Bertola; S. maffei; M. Bianchini; B. Villari,-0
-0,2009,07 ALTRO::07.13 Progetti,-0,-0,-0,-0,http://hdl.handle.net/11311/640516,-0,"Il Ponte della Pace, Tbilisi (Georgia)",-0,-0,1,none,ita,-0,-0,M. De Lucchi,-0
-0,2009,07 ALTRO::07.13 Progetti,-0,-0,-0,-0,http://hdl.handle.net/11311/693509,-0,Mediterranean Design. Tra presente e futuro,on line - Turchia,Design; Mediterraneo; visul design; product design; fotografia; designer,2,none,ita;eng,PAD magazine online,Mediterranean Design. Tra presente e futuro,M. Ferrara; C. Ferrara (coordinatori),-0
-0,2010,07 ALTRO::07.03 Design,-0,-0,07.03 Design,-0,http://hdl.handle.net/11311/958788,-0,Rubens e i fiamminghi,-0,-0,1,info:eu-repo/semantics/openAccess,ita;eng,-0,-0,R.Gaddi,-0
-0,2010,07 ALTRO::07.06 Mostra,-0,-0,-0,-0,http://hdl.handle.net/11311/758842,-0,BiNOMi – Biennale Nord Ovest Milano,-0,-0,1,none,-0,-0,-0,G. Gerosa,-0
-0,2010,07 ALTRO::07.06 Mostra,-0,-0,07.06 Mostra,-0,http://hdl.handle.net/11311/924758,-0,GIOVANNI LEVANTI,-0,-0,1,-0,eng;ita,-0,-0,Beppe Finessi,-0
-0,2010,07 ALTRO::07.12 Altro,nazionale,-0,07.12 Altro,-0,http://hdl.handle.net/11311/574586,-0,Nel tunnel dell'Alta Velocità,-0,alta velocità; ferrovie; analisi costi benefici; ex-post,3,info:eu-repo/semantics/closedAccess,-0,-0,-0,P. Beria; R. Grimaldi; M. Ponti,-0
-0,2010,07 ALTRO::07.12 Altro,nazionale,-0,07.12 Altro,-0,http://hdl.handle.net/11311/582027,-0,L'impatto delgi ITS per la riduzione di CO2,-0,-0,3,info:eu-repo/semantics/closedAccess,-0,-0,-0,L. Studer; V. Mauro; et al.,-0
-0,2010,07 ALTRO::07.12 Altro,internazionale,-0,-0,-0,http://hdl.handle.net/11311/583074,-0,Italian Light Contract,-0,-0,1,none,-0,-0,-0,M. Turinetto,-0
-0,2010,07 ALTRO::07.12 Altro,internazionale,-0,07.12 Altro,-0,http://hdl.handle.net/11311/585672,-0,Choosing between ecology awareness and business,-0,-0,1,-0,-0,-0,-0,M. TURINETTO,-0
-0,2010,07 ALTRO::07.12 Altro,internazionale,-0,-0,-0,http://hdl.handle.net/11311/585673,-0,Light for a new product identity,-0,-0,1,none,-0,-0,-0,M. TURINETTO,-0
-0,2010,07 ALTRO::07.12 Altro,internazionale,-0,07.12 Altro,-0,http://hdl.handle.net/11311/585674,-0,"Lighting ethics, enviroment",-0,-0,1,-0,-0,-0,-0,M. TURINETTO,-0
-0,2010,07 ALTRO::07.12 Altro,internazionale,-0,-0,-0,http://hdl.handle.net/11311/585675,-0,"Individualised Consumption: is the future industry ready for a complex, higly-differentiated market ?",-0,-0,1,none,-0,-0,-0,M. TURINETTO,-0
-0,2010,07 ALTRO::07.12 Altro,internazionale,-0,07.12 Altro,-0,http://hdl.handle.net/11311/585676,-0,On living well in today's enviroments,-0,-0,1,-0,-0,-0,-0,M. TURINETTO,-0
-0,2010,07 ALTRO::07.12 Altro,nazionale,-0,07.12 Altro,-0,http://hdl.handle.net/11311/692963,-0,A Moda projectada,-0,-0,1,info:eu-repo/semantics/closedAccess,-0,-0,-0,CHIARA COLOMBI,-0
-0,2010,07 ALTRO::07.13 Progetti,-0,-0,07.13 Progetti,-0,http://hdl.handle.net/11311/583357,-0,100 virtuous cities,Italia,-0,3,none,eng;ita;chi,Ministero per l'Innovazione e la Pubblica Amministrazione,Italia degli Innovatori,G. Piccinno; E. Lega; D. Fassi,-0
-0,2010,07 ALTRO::07.13 Progetti,-0,-0,07.13 Progetti,-0,http://hdl.handle.net/11311/583358,-0,100 virtuous cities,Roma,-0,3,none,eng;ita,ADI Associazione per il Disegno Industriale,Premio Compasso d'Oro,G. Piccinno; E. Lega; D. Fassi,-0
-0,2010,07 ALTRO::07.13 Progetti,-0,-0,07.13 Progetti,-0,http://hdl.handle.net/11311/640515,-0,Parquet Medoc,Roma,product design,1,info:eu-repo/semantics/closedAccess,ita,Governo Italiano,Premio Nazionale per l’Innovazione,M. De Lucchi,-0
-0,2010,07 ALTRO::07.13 Progetti,-0,-0,07.13 Progetti,-0,http://hdl.handle.net/11311/662288,-0,Il progetto illuminotecnico per la Mostra di Hopper a Roma,Roma,Illuminotecnica; Illuminazione Opere d'Arte; Edward Hopper,1,info:eu-repo/semantics/closedAccess,ita,Fondazione Roma,di idee,F.Murano,-0
-0,2010,07 ALTRO::07.13 Progetti,-0,-0,-0,-0,http://hdl.handle.net/11311/693098,-0,"CONCORSO D’IDEE

PER LA PROGETTAZIONE DI PIAZZA XX SETTEMBRE E DEGLI SPAZI ANNESSI",Sarnico,-0,4,none,ita,"COMUNE DI SARNICO

Provincia di Bergamo",CONCORSO D’IDEE,G. Gerosa; D. Fumagalli; G. Lassandro; D. Prinzo,-0
-0,2010,07 ALTRO::07.13 Progetti,-0,-0,07.13 Progetti,-0,http://hdl.handle.net/11311/693100,-0,Concorso di idee finalizzato all’acquisizione di una proposta ideativa in merito alla riqualificazione della piazza Sennorigau in Villagrande Strisaili,Villagrande Strisaili (OG),-0,4,-0,ita,Comune di Villagrande Strisaili,idee finalizzato all’acquisizione di una proposta ideativa in merito alla riqualificazione della piazza Sennorigau in Villagrande Strisaili,G. Gerosa; G. LAssandro; D. Fumagalli; D. Prinzo,-0
-0,2011,07 ALTRO::07.03 Design,-0,-0,07.03 Design,-0,http://hdl.handle.net/11311/958783,-0,Boldini e la Belle Epoque,-0,-0,1,info:eu-repo/semantics/openAccess,ita;eng,-0,-0,R.Gaddi,-0
-0,2011,07 ALTRO::07.06 Mostra,-0,-0,07.06 Mostra,-0,http://hdl.handle.net/11311/766135,-0,Autoproduzioni Italiane,-0,-0,3,none,eng;ita,"Galleria Subalterno1, Via Conte Rosso 22, MIlano",-0,S. Maffei; A. Gianni; P. Bolzan,-0
-0,2011,07 ALTRO::07.06 Mostra,-0,-0,-0,-0,http://hdl.handle.net/11311/924757,-0,DI VASO IN FIORE,-0,-0,1,none,-0,-0,-0,Beppe Finessi,-0
-0,2011,07 ALTRO::07.12 Altro,nazionale,-0,07.12 Altro,-0,http://hdl.handle.net/11311/583475,-0,L’unità d’Italia: testimonianze risorgimentalinei musei e nel territorio della Toscana,-0,unità; risorgimento; arte,1,info:eu-repo/semantics/closedAccess,-0,-0,-0,A.Mazzanti,-0
-0,2011,07 ALTRO::07.12 Altro,internazionale,-0,07.12 Altro,-0,http://hdl.handle.net/11311/586879,-0,"Arena Models. Deliverable 2.1 for Periheria project, Grant Agreement number: 271015",-0,-0,2,none,-0,-0,-0,Concilio G.; Rizzo F.,-0
-0,2011,07 ALTRO::07.12 Altro,-0,-0,07.12 Altro,-0,http://hdl.handle.net/11311/586880,-0,Deliverable 2.1: Scenarios description. Deliverable for the European Project Life 2.0 LIFE 2.0Geographical positioning services to support independent living and social interaction of elderly people ICT-PSP-270965,-0,-0,3,none,-0,-0,-0,Rizzo F.; Costa F.; Oliva S.,-0
-0,2011,07 ALTRO::07.12 Altro,internazionale,-0,07.12 Altro,-0,http://hdl.handle.net/11311/605088,-0,Esposizione personale: PARIS_PLIS  Gabriele Pierluisi a cura di Martina Cavallarin.  Parigi dal 03-02-2011 al 03-03-2011,-0,città; paesaggio urbano; design; paesaggio; pittura; pittura digitale; spazio; 3D e 2D.,1,info:eu-repo/semantics/closedAccess,-0,-0,-0,gabriele pierluisi,-0
-0,2011,07 ALTRO::07.12 Altro,internazionale,-0,07.12 Altro,-0,http://hdl.handle.net/11311/631194,-0,Good Idea + Good Design = Good Service ? Learning how to evaluate Service Design,-0,-0,3,none,-0,-0,-0,S. Maffei; E. Pacenti; B. Villari,-0
-0,2011,07 ALTRO::07.12 Altro,internazionale,-0,07.12 Altro,-0,http://hdl.handle.net/11311/634053,-0,Natural Fashion. From symbolic to cognitive innovation through crafts and design,-0,-0,1,info:eu-repo/semantics/closedAccess,-0,-0,-0,COLOMBI CHIARA,-0
-0,2011,07 ALTRO::07.12 Altro,nazionale,-0,07.12 Altro,-0,http://hdl.handle.net/11311/644331,-0,"Brevetto, Design e ""forma del tempo"". I brevetti nella storia del design italiano",-0,-0,1,info:eu-repo/semantics/closedAccess,-0,-0,-0,G. Bosoni,-0
-0,2011,07 ALTRO::07.12 Altro,-0,-0,07.12 Altro,-0,http://hdl.handle.net/11311/660634,-0,Dust: A Visualization Tool Supporting Parents’ School-Choice Evaluation Process,-0,cartography; Data visualization; Decision Support Systems; Open Data,6,info:eu-repo/semantics/closedAccess,-0,-0,-0,Matteo Azzi; Giorgio Caviglia; Donato Ricci; Paolo Ciuccarelli; Emanuele Bonetti; Loredana Bontempi,-0
-0,2011,07 ALTRO::07.12 Altro,nazionale,-0,07.12 Altro,-0,http://hdl.handle.net/11311/693234,-0,NUTRIRE MILANO. Seconda annualità del progetto - Relazione al bilancio.,-0,Service Design; Strategic Design; Sustainable development,9,none,-0,-0,-0,A. Meroni; G. Simeone; M. Corubolo; D. Cantu; F. Piredda; A. Arossa; P. Bolzacchini; A. Cecchini; E. Nasuelli,-0
-0,2011,07 ALTRO::07.12 Altro,internazionale,-0,07.12 Altro,-0,http://hdl.handle.net/11311/693286,-0,Smart Citizens community directory. Deliverable 3.1.1 Progetto europeo Peripheria,-0,-0,3,none,-0,-0,-0,G. Concilio; F. Rizzo; et. alii,-0
-0,2011,07 ALTRO::07.12 Altro,internazionale,-0,07.12 Altro,-0,http://hdl.handle.net/11311/693292,-0,Sociable Housing,-0,Service Design,2,none,-0,-0,-0,A. Meroni; G. Ferri,-0
-0,2011,07 ALTRO::07.13 Progetti,-0,-0,07.13 Progetti,-0,http://hdl.handle.net/11311/634267,-0,"Per l'Esposizione, mi raccomando...! Milano e l’Esposizione internazionale del Sempione del 1906 nei documenti del Castello Sforzesco",Milano,-0,3,none,ita,La mostra è stata patrocinata dagli Istituti del Castello Sforzesco e finanziata dalla Fondazione CARIPLO,La ricerca e la mostra sono state selezionate da Fondazione Cariplo per il suo finannziamento,"G. Botti;
P. Cordera;
G. Ricci",-0
-0,2011,07 ALTRO::07.13 Progetti,-0,-0,07.13 Progetti,-0,http://hdl.handle.net/11311/640521,-0,Uffici del Triennale Design Museum,Milano,-0,1,-0,ita,US-Ufficiostile,US-Award,M. De Lucchi,-0
-0,2011,07 ALTRO::07.13 Progetti,-0,-0,07.13 Progetti,-0,http://hdl.handle.net/11311/641342,-0,Filiali Superflash Intesa Sanpaolo,Milano,-0,1,-0,ita,US-Ufficiostile,US-Award,M. De Lucchi,-0
-0,2011,07 ALTRO::07.13 Progetti,-0,-0,07.13 Progetti,-0,http://hdl.handle.net/11311/667212,-0,Housing Contest - Bando europeo per la formazione di un Repertorio di progetti per edifici residenziali ad alte prestazioni e basso costo,Milano,-0,14,none,ita,"Assimpredil Ance , Federlegnoarredo , INARCH Lombardia , Ordine degli architetti pianificatori paesaggisti e conservatori della provincia di Milano , Comune di Milano",europeo,O.E. Bellini ; A. Scoccimarro ; L. Daglio ; G. Dall'o' ; L. Sarto ; N. Sanna ; E. Pili ; A. Morettini ; S. Lugano ; DLC s.r.l. ; L. Collina ; G. Gerosa ; T. Belletti ; P. Catena,-0
-0,2011,07 ALTRO::07.13 Progetti,-0,-0,07.13 Progetti,-0,http://hdl.handle.net/11311/693096,-0,"Concorso nazionale per ""INTERVENTI DI RIQUALIFICAZIONE PAESAGGISTICO – AMBIENTALE ED ARCHITETTONICA DEL PIAZZALE SCOGLI ROSSI AD ARBATAX""",Arbatax,-0,6,none,ita,"CITTA DI TORTOLI’

PROVINCIA OGLIASTRA",Concorso nazionale per INTERVENTI DI RIQUALIFICAZIONE PAESAGGISTICO – AMBIENTALE ED ARCHITETTONICA DEL PIAZZALE SCOGLI ROSSI AD ARBATAX,L. Daglio; G. Gerosa; D. Fumagalli; G. Lassandro; A. Loi; G. Lanzarotti,-0
-0,2011,07 ALTRO::07.13 Progetti,-0,-0,07.13 Progetti,-0,http://hdl.handle.net/11311/693500,-0,"Design Mediterraneo | Mediterranean Design, 2011",on line - premiazione a Barcelona,Design; Mediterraneo; product design; visual design; fotografia; scenari futuri; sviluppo economico,2,info:eu-repo/semantics/closedAccess,ita;spa;eng,PAD magazine (www.palermodesign.it),"Design Mediterraneo | Mediterranean Design, 2011",M. Ferrara; A. Calvera (coordinatori),-0
-0,2011,07 ALTRO::07.13 Progetti,-0,-0,07.13 Progetti,-0,http://hdl.handle.net/11311/765540,-0,"Servizi alla visita dell'area archeologica di competenza SAR, Roma",-0,-0,1,info:eu-repo/semantics/closedAccess,ita,-0,-0,M. De Lucchi,-0
STAMPA,2011,07 ALTRO::07.13 Progetti,-0,-0,07.13 Progetti,-0,http://hdl.handle.net/11311/766431,-0,"Design sul filo della tradizione. Strategie e strumenti di valorizzazione di competenze e culture locali 



Design on the thread of tradition. Strategies and instruments to exploit local skills and culture in the textile industry",MILANO / ROMA,design; craft; material culture; local know how; knowledge-based production; production of value,1,info:eu-repo/semantics/closedAccess,eng;ita,ADI - Associazione Design Italiano,TARGA GIOVANI – XXII COMPASSO D'ORO ADI 2011,"Vacca, Federica",-0
-0,2011,07 ALTRO::07.13 Progetti,-0,-0,07.13 Progetti,-0,http://hdl.handle.net/11311/959229,-0,Progetto dell'identità visiva per il centocinquantesimo anniversario del Politecnico di Milano.,Milano,Brand design; Corporate Identity; immagine coordinata per territorio e istituzioni culturali; politecnico di milano,1,info:eu-repo/semantics/closedAccess,ita,Politecnico di Milano,Identità visiva,Umberto Tolino,-0
-0,2012,07 ALTRO::07.03 Design,-0,Street Furniture. Premio Lissone Design 2011,07.03 Design,-0,http://hdl.handle.net/11311/703930,-0,Green Connection,-0,-0,5,none,eng,-0,-0,Arianna Vignati; Alberto Manzoni; Valentina Lollio; Valentina Rivieccio; Marina Caramagno,-0
-0,2012,07 ALTRO::07.03 Design,-0,-0,07.03 Design,-0,http://hdl.handle.net/11311/958789,-0,La dinastia Brueghel,-0,-0,1,info:eu-repo/semantics/closedAccess,-0,-0,-0,R.Gaddi,-0
-0,2012,07 ALTRO::07.03 Design,-0,-0,07.03 Design,-0,http://hdl.handle.net/11311/958793,-0,Brueghel. Meraviglie dell'arte fiamminga,-0,-0,1,info:eu-repo/semantics/openAccess,ita;eng,-0,-0,R.Gaddi,-0
-0,2012,07 ALTRO::07.04 Performance,-0,-0,07.04 Performance,-0,http://hdl.handle.net/11311/731383,-0,ARPA DI LUCE,-0,-0,3,info:eu-repo/semantics/closedAccess,-0,-0,-0,Francesco Murano; Gianpietro Grossi; Pietro Pirelli,-0
-0,2012,07 ALTRO::07.04 Performance,-0,-0,07.04 Performance,-0,http://hdl.handle.net/11311/731384,-0,ARPA DI LUCE ALLA NOTTE DEI RICERCATORI A MANTOVA,-0,-0,3,info:eu-repo/semantics/closedAccess,-0,-0,-0,Francesco Murano; Gianpietro Grossi; Pietro Pirelli,-0
-0,2012,07 ALTRO::07.06 Mostra,-0,-0,-0,-0,http://hdl.handle.net/11311/686870,-0,Fabio Bortolani. My way,-0,-0,1,none,-0,-0,-0,S. Maffei,-0
-0,2012,07 ALTRO::07.06 Mostra,-0,-0,07.06 Mostra,-0,http://hdl.handle.net/11311/692658,-0,"Censimento delle architetture Liberty nel territorio di Varese, Area nord, sentiero 10",-0,-0,5,info:eu-repo/semantics/closedAccess,-0,-0,-0,Anzani A.; Condoleo P.; Baila A.; Caramel C.; Guarisco M,-0
-0,2012,07 ALTRO::07.06 Mostra,-0,-0,-0,-0,http://hdl.handle.net/11311/731377,-0,LUCI SULLE MURA,-0,-0,1,none,-0,-0,-0,Francesco Murano,-0
-0,2012,07 ALTRO::07.06 Mostra,-0,-0,07.06 Mostra,-0,http://hdl.handle.net/11311/766134,-0,Analogico/Digitale,-0,-0,2,none,eng;ita,"Galleria Subalterno1, Via Conte Rosso 22, MIlano",-0,S. Maffei; S. Micelli; P. Bolzan; M. Pirovano; A. Gianni,-0
-0,2012,07 ALTRO::07.08 Prototipo d'arte e relativi progetti,-0,-0,07.08 Prototipo d'arte e relativi progetti,-0,http://hdl.handle.net/11311/731378,-0,Magic Thinks,-0,MATERIALI FOTOLUMINESCENTI,2,info:eu-repo/semantics/closedAccess,-0,-0,-0,Murano F.; Fenoglio N.,-0
-0,2012,07 ALTRO::07.08 Prototipo d'arte e relativi progetti,-0,-0,07.08 Prototipo d'arte e relativi progetti,-0,http://hdl.handle.net/11311/731385,-0,LASER PENDULUM,-0,-0,3,info:eu-repo/semantics/closedAccess,-0,-0,-0,Francesco Murano; Gianpietro Grossi; Pietro Pirelli,-0
