dc.relation.medium,dc.date.issued,dc.type.full,dc.type.circulation,dc.relation.ispartofbook,item.collection,dc.publisher.place,dc.identifier.uri,dc.publisher.country,dc.title,dc.relation.conferenceplace,dc.subject.keywords,dc.description.numberofauthors,item.openaireRights,dc.language.iso,dc.publisher.name,dc.relation.conferencename,dc.description.allpeople,dc.subject.keywordsita
-0,2000,07 ALTRO::07.12 Altro,internazionale,-0,-0,Santangelo di Romagna,http://hdl.handle.net/11311/693554,ITA,“Sentieri nell’arte”. Arte ambientale in Toscana,-0,arte ambientata; arte ambientale; scultura in spazi aperti,1,none,ita,Maggioli,-0,A.Mazzanti,-0
-0,2000,07 ALTRO::07.13 Progetti,-0,-0,07.13 Progetti,-0,http://hdl.handle.net/11311/667413,-0,Concorso internazionale in due fasi “Ampliamento della Galleria Comunale d'Arte Moderna e Contemporanea. Ex-Fabbrica Peroni” a Roma.,"Roma, Italia",-0,6,-0,ita,Comune di Roma,Concorso internazionale in due fasi,E. Avallone; L. Montuori; R. Petrachi; S. Orsi; G. Pierluisi; A. Sciolari,-0
-0,2001,07 ALTRO::07.12 Altro,nazionale,La Repubblica Salute anno 7 n. 286,-0,-0,http://hdl.handle.net/11311/533557,-0,Gamba “intelligente” cambia il passo secondo il terreno,-0,-0,3,none,ita,-0,-0,M. CANINA; GENNARO VERNI; PIERLUIGI VALENTINI,-0
-0,2001,07 ALTRO::07.13 Progetti,-0,-0,-0,-0,http://hdl.handle.net/11311/640519,-0,Stampante Ink Jet Artjet 10 (XP 30),Milano,-0,1,none,ita;eng,ADI - Associazione per il Disegno Industriale,Compasso d'Oro,M. De Lucchi,-0
-0,2001,07 ALTRO::07.13 Progetti,-0,-0,07.13 Progetti,-0,http://hdl.handle.net/11311/667409,-0,"Concorso Internazionale Europan 6, “Urbanità europea e progetti strategici”, Sito di Massa, Italia.","Massa, Italia",-0,7,-0,ita,Europan Italia e Comune di Massa.,Concorso Internazionale di progettazione Europan 6,E. Avallone; L. Montuori; M. Musmeci; R. Petrachi; S. Orsi; G. Pierluisi; A. Sciolari,-0
-0,2001,07 ALTRO::07.13 Progetti,-0,-0,-0,-0,http://hdl.handle.net/11311/667411,-0,Concorso internazionale di progettazione “Tre Parcheggi di scambio” Roma Nuovo Salario.,"Roma, Italia",-0,7,none,ita,S.T.A. Comune di Roma,Concorso internazionale di progettazione,E. Avallone; M. Fegiz; F. Galdo; M. Musmeci; S. Orsi;  G. Pierluisi; A. Sciolari.,-0
STAMPA,2002,07 ALTRO::07.03 Design,-0,Blue Industries,07.03 Design,2002,http://hdl.handle.net/11311/1049491,ITA,"Blue Industries: Dove nasce il futuro: design, innovazione e impresa",-0,-0,1,info:eu-repo/semantics/closedAccess,ita,Lugo Editore,-0,"Bruno, DAVIDE MARIA",-0
-0,2002,07 ALTRO::07.12 Altro,internazionale,"DILABB, PRESENTAZIONE DEL SISTEMA DEL LABORATORI DELLA FACOLTA DEL DESIGN",-0,-0,http://hdl.handle.net/11311/533384,-0,DILABB,-0,-0,2,none,-0,-0,-0,M. GALBIATI; FRANCESCO GALLI,-0
-0,2002,07 ALTRO::07.12 Altro,nazionale,-0,-0,-0,http://hdl.handle.net/11311/570634,-0,I grandi progetti infrastrutturali: divergenze sui criteri di valutazione,-0,-0,2,-0,-0,-0,-0,M. Ponti; A. Boitani,-0
-0,2002,07 ALTRO::07.12 Altro,nazionale,-0,07.12 Altro,-0,http://hdl.handle.net/11311/570636,-0,La lezione del ponte sullo Stretto,-0,-0,2,-0,-0,-0,-0,M. Ponti; A. Boitani,-0
-0,2002,07 ALTRO::07.12 Altro,nazionale,-0,07.12 Altro,-0,http://hdl.handle.net/11311/570656,-0,Il federalismo stradale: Procedure e prime applicazioni legislative.,-0,-0,3,-0,-0,-0,-0,C. Borgnolo; M. Ponti; F. Torta.,-0
-0,2002,07 ALTRO::07.12 Altro,nazionale,-0,07.12 Altro,-0,http://hdl.handle.net/11311/691093,-0,"Nuove tecnologie, multimedia e standard grafici per la rappresentazione digitale del territorio",-0,-0,1,info:eu-repo/semantics/closedAccess,-0,-0,-0,M. Ceconello,-0
-0,2002,07 ALTRO::07.13 Progetti,-0,-0,07.13 Progetti,-0,http://hdl.handle.net/11311/665920,-0,Contratto di quartiere San Giuseppe Baia del Re di Piacenza. Il controllo di qualità e la flessibilità nel progetto di riqualificazione,Piacenza,Contratto di quartiere; Edilizia residenziale pubblica; Sistemi di qualità,13,none,ita,Comune di Piacenza,"Contratto di ricerca per ""Contratto di quartiere San Giuseppe Baia del Re di Piacenza. Il controllo di qualità e la flessibilità nel progetto di riqualificazione""",F. Schiaffonati; A. Scoccimarro; D. Fanzini; C. Bianchi; A. Cavalleri; L. Collina; M. Corò; L. Daglio; A. Fantini; E. Ginelli; E. Mussinelli; M. Sancito; F. Vitola,-0
