dc.type.referee,item.collection,dc.subject.keywords,dc.language.iso,dc.description.numberofauthors,dc.title,dc.description.allpeople,dc.relation.medium,dc.publisher.name,dc.publisher.country,dc.date.issued,dc.identifier.uri,dc.subject.keywordsita,item.openaireRights,dc.type.full,dc.publisher.place,dc.type.circulation
-0,03.1 Monografia o trattato scientifico,-0,ita,1,Mappe dell’innovazione. Il cambiamento tra tecnica economia e società,A. PENATI,-0,ETAS,ITA,1999,http://hdl.handle.net/11311/505564,-0,-0,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,-0
-0,-0,Sinestesia; sensorialità; design,-0,1,Sinestesie per il design. Le interazioni sensoriali nell'epoca dei multimedia,D. RICCO',-0,Etas,ITA,1999,http://hdl.handle.net/11311/506019,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,-0
-0,-0,-0,ita,1,"Aspetti dell'organizzazione della tutela dei beni architettonici in Italia e Francia, Dottorato di ricerca in Conservazione dei Beni architettonici (10. ciclo A.A. 1995-1998); coordinatrice T. K. Kirova, tutor A. Bellini, co-tutor F. Irace, Politecnico di Milano, Università degli studi di Cagliari, Università degli studi di Genova, Università degli studi di Reggio Calabria, 1999",G. L. Ciagà,-0,Politecnico di Milano,ITA,1999,http://hdl.handle.net/11311/692869,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,internazionale
Nessuno,03.1 Monografia o trattato scientifico,"industria tessile, distretti industriali, arredo, disegno industriale",ita,3,Furniture e Textile design. Ricerca applicata e formazione come strategie per l'area comasca,"de Paolis, R.; Deserti, A.; Celaschi, F.",STAMPA,POLI.design,ITA,2000,http://hdl.handle.net/11311/1045761,-0,info:eu-repo/semantics/openAccess,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,-0
-0,-0,-0,-0,1,Edmund Husserl. Fenomenologia e teoria della conoscenza,P. VOLONTE',-0,Bompiani,-0,2000,http://hdl.handle.net/11311/504084,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,nazionale
-0,03.1 Monografia o trattato scientifico,-0,ita,1,LETTURE DINAMICHE DELL'ARTE CON LE TECNOLOGIE DIGITALI. ELEMENTI DI REGIA PER LA PRODUZIONE DI FILM D'ARTE,M. GALBIATI,-0,GUERINI STUDIO,ITA,2000,http://hdl.handle.net/11311/504474,-0,-0,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,nazionale
-0,03.1 Monografia o trattato scientifico,-0,-0,1,Automobile: glossario dello stile,M. TURINETTO,-0,Giorgio Nada Editore,ITA,2000,http://hdl.handle.net/11311/504928,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,nazionale
-0,03.1 Monografia o trattato scientifico,-0,-0,3,Il  Design per i Distretti industriali,G. SIMONELLI; MAFFEI S.; (A CURA DI),-0,POLI.design Editore,ITA,2000,http://hdl.handle.net/11311/504995,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,-0
-0,-0,-0,ita,2,Didattica&design. Prodotti e processi formativi nell'università che cambia,A. PENATI; ALBERTO SEASSARO,-0,polidesign,CHE,2000,http://hdl.handle.net/11311/505562,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,nazionale
Nessuno,03.1 Monografia o trattato scientifico,"design tessile, distretti industriali, seta",ita,2,"Design & distretto tessile comasco. Casi studio nel polo del lusso: cravatta, arredo, moda.","DE PAOLIS, Roberto; E., Redaelli",STAMPA,POLI.design,ITA,2000,http://hdl.handle.net/11311/505604,-0,info:eu-repo/semantics/openAccess,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,nazionale
