dc.type.referee,item.collection,dc.subject.keywords,dc.language.iso,dc.description.numberofauthors,dc.title,dc.description.allpeople,dc.relation.medium,dc.publisher.name,dc.publisher.country,dc.date.issued,dc.identifier.uri,dc.subject.keywordsita,item.openaireRights,dc.type.full,dc.publisher.place,dc.type.circulation
-0,03.1 Monografia o trattato scientifico,-0,-0,1,La cultura del tessuto dalle origini al design contemporaneo,M. SOLDATI,-0,POLI.DESIGN,ITA,2004,http://hdl.handle.net/11311/532684,-0,-0,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,nazionale
-0,03.1 Monografia o trattato scientifico,-0,-0,1,Il design delle superfici. I modelli digitali per il disegno industriale,F. Brevi,-0,Poli.Design,-0,2004,http://hdl.handle.net/11311/554460,-0,-0,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,nazionale
-0,03.1 Monografia o trattato scientifico,-0,ita,4,L' impresa dell'innovazione. La gestione strategica della tecnologia nelle Pmi,R. Verganti; M. Calderini; P. Garrone; S. Palmieri,-0,Il Sole 24 Ore,ITA,2004,http://hdl.handle.net/11311/554500,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,internazionale
-0,03.1 Monografia o trattato scientifico,titanio; anodizzazione; design; colore,ita,3,"Titaniocromie, il titanio e i suoi colori",B. Del Curto; M. Pedeferri; V. Rognoli,STAMPA,Epitesto,ITA,2004,http://hdl.handle.net/11311/554510,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,nazionale
-0,03.1 Monografia o trattato scientifico,-0,-0,1,Il consumatore che innova,S. Palmieri,-0,Il Sole 24 Ore,-0,2004,http://hdl.handle.net/11311/554525,-0,-0,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,nazionale
-0,03.1 Monografia o trattato scientifico,-0,-0,2,Textile: design e tecnologia,R. Frassine; M.G. Soldati,-0,Poli.Design,-0,2004,http://hdl.handle.net/11311/554540,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,nazionale
-0,-0,-0,ita,1,Ricerca progettuale e innovazione: metodi e strumenti del design per innovare i prodotti a media complessità,L. Rampino,-0,ARACNE editrice,ITA,2004,http://hdl.handle.net/11311/554576,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,Roma,nazionale
-0,03.1 Monografia o trattato scientifico,Design; territorio; marketing territoriale; sviluppo urbano; attrattività; valore; soddisfazione; fiducia.,eng;ita,1,Design e Territorio /Design and Territory,G. Piccinno,-0,Abitare Segesta,ITA,2004,http://hdl.handle.net/11311/564064,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,-0
-0,03.1 Monografia o trattato scientifico,arte ambientale; site specific; environment art; scultura ambientata; land art,ita,4,Sentieri nell'arte Il contemporaneo nel paesaggio toscano,A.Mazzanti; E.Crispolti; Bruno Corà; G.Pettena,STAMPA,Maschietto Editore,ITA,2004,http://hdl.handle.net/11311/641736,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,Firenze,-0
-0,03.1 Monografia o trattato scientifico,design; valorizzazione dei beni culturali,ita,2,Design & Beni culturali. La cultura del progetto nella valorizzazione dei beni culturali.,F. Celaschi; R. Trocchianesi,-0,Polidesign,ITA,2004,http://hdl.handle.net/11311/667654,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,-0
-0,-0,-0,eng;ita,3,MOBILE EMBODIMENTS_New convergences in mobile telephony,G.Ceppi; A.Cervini; J.Kayser,-0,Interaction Design Institute Ivrea,-0,2004,http://hdl.handle.net/11311/692134,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,-0,-0
-0,03.1 Monografia o trattato scientifico,-0,ita,2,Trasparenza e prospettiva,G.L. Ciagà; F. Irace,-0,Bolis Edizioni,ITA,2004,http://hdl.handle.net/11311/692339,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,Azzano S. Paolo (BG),-0
Comitato scientifico,03.1 Monografia o trattato scientifico,-0,ita,2,Senza padroni. Storia di un'esperienza cooperativa: il Consorzio Etruria,"Feraboli, MARIA TERESA; Bianchi, R.",STAMPA,Edizioni Giunti,ITA,2004,http://hdl.handle.net/11311/881668,Edilizia popolare; edilizia pubblica; archivi di impresa; ricostruzione edilizia,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,Firenze,-0
-0,-0,-0,-0,1,L’uso della falsa prospettiva come strumento di gestione degli spazi architettonici. La prospettiva nella scenografia di Europa riconosciuta,F. Brevi,-0,Edizioni Poli.Design,-0,2005,http://hdl.handle.net/11311/243936,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,nazionale
-0,03.1 Monografia o trattato scientifico,-0,ita,2,Requisiti ecosistemici degli edifici residenziali. L'esperienza di Bovisa 90 - La Casa ecologica.,S. Pangrazzi; S. Piardi,-0,Clup,-0,2005,http://hdl.handle.net/11311/245822,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,nazionale
-0,-0,-0,ita,1,"Design e Metaprogetto. Teorie, strumenti, pratiche",L. Collina,-0,Edizioni Poli.Design,ITA,2005,http://hdl.handle.net/11311/246723,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,nazionale
-0,-0,-0,-0,1,Movie Design. Scenari progettuali per il design della comunicazione audiovisiva e multimediale,M. Galbiati,-0,Edizioni Poli.Design,-0,2005,http://hdl.handle.net/11311/250425,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,nazionale
-0,03.1 Monografia o trattato scientifico,-0,-0,4,Come inventare e progettare alla maniera di Poe. Filosofia della composizione,M. Bonfantini; G. Proni; M. Terenzi; S. Zingale,-0,Moretti Honegger,-0,2005,http://hdl.handle.net/11311/253331,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,Bergamo,nazionale
-0,03.1 Monografia o trattato scientifico,-0,-0,2,Costruire imbarcazioni da diporto. Esperienze in cantiere.,S. Piardi; A. Ratti,-0,Clup,-0,2005,http://hdl.handle.net/11311/255516,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,nazionale
-0,-0,-0,-0,1,DESIGN PER LA COMPETITIVITÀ. GUIDA PER L’INNOVAZIONE DEL PRODOTTO CALZATURIERO,G. Simonelli,-0,Edizioni Poli.Design,-0,2005,http://hdl.handle.net/11311/262352,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,nazionale
-0,-0,-0,-0,4,Progettazione ecocompatibile dell'architettura,GROSSO M.; PERETTI S.; S. PIARDI; SCUDO G.,-0,Sistemi Editoriali Esselibri,ITA,2005,http://hdl.handle.net/11311/504444,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,NAPOLI,nazionale
-0,03.1 Monografia o trattato scientifico,-0,ita,1,MOVIE DESIGN. SCENARI PROGETTUALI PER IL DESIGN DELLA COMUNICAZIONE AUDIOVISIVA E MULTIMEDIALE,M. GALBIATI,-0,POLIDESIGN,ITA,2005,http://hdl.handle.net/11311/504475,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,nazionale
-0,03.1 Monografia o trattato scientifico,-0,-0,1,"Learning design by design Experience, Poli.design Editore, Milano 2005",D. BRUNO,-0,Poli.design,-0,2005,http://hdl.handle.net/11311/504751,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,internazionale
-0,03.1 Monografia o trattato scientifico,-0,ita,2,BioDesign: il corpo come luogo del progetto,M. CANINA; F. VICENTINI,-0,Aracne Editrice,ITA,2005,http://hdl.handle.net/11311/504819,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,ROMA,nazionale
-0,03.1 Monografia o trattato scientifico,-0,ita,1,Biorobotica: verso l'Hi Tech design,M. CANINA,-0,Aracne Editrice,-0,2005,http://hdl.handle.net/11311/504820,-0,-0,03 LIBRO::03.1 Monografia o trattato scientifico,ROMA,nazionale
-0,03.1 Monografia o trattato scientifico,packaging; storia; linguaggi; progetto,ita,1,"Packaging design. Storia, linguaggi, progetto",V. BUCCHETTI,-0,FrancoAngeli,ITA,2005,http://hdl.handle.net/11311/505477,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,nazionale
-0,03.1 Monografia o trattato scientifico,-0,-0,4,Progettazione ecocompatibile dell' architettura,M.Grosso; G. Peretti; S. Piardi; G. Scudo,-0,Sistemi Editoriali Esselibri,-0,2005,http://hdl.handle.net/11311/505772,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,Napoli,nazionale
-0,03.1 Monografia o trattato scientifico,Trasporti; Sicurezza; Merci pericolose; Monitoraggio,ita,1,Specifiche del server della Sala Operativa,R. MAJA,-0,"Politecnico di Milano, Dipartimento IN.D.A.CO.",-0,2005,http://hdl.handle.net/11311/548337,-0,-0,03 LIBRO::03.1 Monografia o trattato scientifico,-0,-0
-0,03.1 Monografia o trattato scientifico,materiali; espressivo-sensoriale; sensi; design,ita,2,Materiali per il design: espressività e sensorialità,V. ROGNOLI; M. LEVI,STAMPA,Polipress,ITA,2005,http://hdl.handle.net/11311/553786,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,nazionale
-0,03.1 Monografia o trattato scientifico,-0,-0,1,Be different: il valore attrattivo del brand design nelle imprese moda,M. Turinetto,-0,Poli.Design,-0,2005,http://hdl.handle.net/11311/553816,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,nazionale
-0,03.1 Monografia o trattato scientifico,-0,-0,2,L’invasione degli Infoprodotti. Riflessioni di design per una tecnologia domotica dal volto umano,S. Ferraris; M. Maiocchi,-0,Aracne,ITA,2005,http://hdl.handle.net/11311/629009,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,Roma,nazionale
-0,03.1 Monografia o trattato scientifico,-0,-0,1,Habitability in space: Design for Microgravity,S. Ferraris,-0,Aracne,-0,2005,http://hdl.handle.net/11311/629010,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,-0,internazionale
-0,03.1 Monografia o trattato scientifico,-0,ita,2,"Modello, informatica e progetto di architettura","Crippa, Davide; DI PRETE, Barbara",-0,Clup (ristampa 2016 Maggioli),-0,2005,http://hdl.handle.net/11311/989813,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,-0
-0,03.1 Monografia o trattato scientifico,-0,ita,1,Organizzazione e gestione della comunicazione nella pubblica amministrazione,M. Figiani,-0,Moretti & Vitali editori s.r.l.,-0,2006,http://hdl.handle.net/11311/242790,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,Bergamo,nazionale
-0,03.1 Monografia o trattato scientifico,-0,-0,7,Trans-Alps: a trasnport model to support the traffic management,R. Arditi; R. Javicoli; R. Maja; M. Ponti; G. Sala; L. Studer; E. Veronesi,-0,SINA spa,-0,2006,http://hdl.handle.net/11311/242900,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,internazionale
-0,-0,-0,-0,3,Esercizi di stile,S. Ferraris; M. Maiocchi; M. Romero,-0,Clup,-0,2006,http://hdl.handle.net/11311/248949,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,nazionale
-0,03.1 Monografia o trattato scientifico,-0,-0,2,RURAL LANDSCAPE AND ARCHITECTURAL QUALITY Raccomandazioni per una nuova qualità urbana,G. AMORUSO; R. MINGUCCI,-0,Patron Editore,ITA,2006,http://hdl.handle.net/11311/504160,-0,-0,03 LIBRO::03.1 Monografia o trattato scientifico,BOLOGNA,-0
-0,-0,-0,-0,2,L'Architettura dei Fari Italiani / The Architecture of Italian Lighthouses,C. BARTOLOMEI; G. AMORUSO,-0,Alinea Editrice,ITA,2006,http://hdl.handle.net/11311/504161,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,FIRENZE,-0
-0,03.1 Monografia o trattato scientifico,-0,ita,2,variazioni sul colore,"Bisson, Mario; Cristina, Boeri",-0,franco angeli,ITA,2006,http://hdl.handle.net/11311/504297,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,nazionale
-0,03.1 Monografia o trattato scientifico,"Animazione interattiva

Computer Grafica

Programmazione

Multimedia",ita,4,Flash! Percorso guidato per le animazioni interattive,M. BERTOLO; DE LUCA V; GRASSI A; LOCHIS G,-0,Pearson,ITA,2006,http://hdl.handle.net/11311/504646,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,nazionale
-0,03.1 Monografia o trattato scientifico,Design; Strategia d'impresa,ita,2,Relazioni produttive. Design e strategia nell'impresa contemporanea,C. Cautela; F.Zurlo,-0,Aracne,ITA,2006,http://hdl.handle.net/11311/547971,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,Roma,-0
-0,03.1 Monografia o trattato scientifico,-0,ita,4,Il trasporto delle merci pericolose in galleria,R. MAJA; G. RAINOLDI; D. ROMANÒ; R. SALIMBENI,-0,Politecnico di Milano - Dipartimento IN.D.A.CO.,-0,2006,http://hdl.handle.net/11311/548312,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,-0
-0,-0,Trasporti; Reti europee; Costi di trasporto; Sostenibilità; Tariffazione,eng,2,External Cost Assessment In Transalpine Corridors,R. MAJA; D. ROMANÒ,-0,"Politecnico di Milano, Dipartimento IN.D.A.CO.",-0,2006,http://hdl.handle.net/11311/548326,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,-0,-0
-0,03.1 Monografia o trattato scientifico,design; conoscenza; metodologia,ita,2,Sistemi conoscitivi per il design: una proposta metodologica,P. Ciuccarelli; P. Innocenti,-0,Poli.Design,ITA,2006,http://hdl.handle.net/11311/554463,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,nazionale
-0,03.1 Monografia o trattato scientifico,-0,eng,2,Invisibile  Architecure. Experiencing Places through the Sense of Smell,A. Barbara; A. Perliss,-0,SKIRA,ITA,2006,http://hdl.handle.net/11311/570239,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,milano,-0
-0,-0,-0,ita,2,Architetture invisibili. L'esperienza dei luoghi attraverso gli odori,Barbara A.; Perliss A.,-0,SKIRA,ITA,2006,http://hdl.handle.net/11311/570240,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,milano,-0
-0,03.1 Monografia o trattato scientifico,-0,eng,2,Invisible Architectures. Invisibili. Experiencing Places through the Sense of Smell,A. BARBARA; A. PERLISS,-0,SKIRA,ITA,2006,http://hdl.handle.net/11311/641536,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,milano,-0
-0,03.1 Monografia o trattato scientifico,Housing Contemporary Interiors,eng,3,Advanced Living Scenarios. Contemporary trends.,G. Bosoni; M. Manfredini; S. Piardi,-0,Virus Ed.,-0,2006,http://hdl.handle.net/11311/659934,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,-0
-0,03.1 Monografia o trattato scientifico,design; comunicazione; identità urbana,ita,7,Visual and Haptic Urban Design,M. Bisson; C. Boeri; D. Calabi; M. Ceconello; M. Parente; R. Trocchianesi; G. Vignati,-0,Libreria Clup,ITA,2006,http://hdl.handle.net/11311/667651,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,-0
-0,03.1 Monografia o trattato scientifico,-0,ita,3,"Esercizi di stile, Esperimenti di trasposizione stilistica nel 

design della comunicazione.",M. Romero; M. Maiocchi; S. Ferraris,STAMPA,Libreria Clup,ITA,2006,http://hdl.handle.net/11311/686482,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,-0,-0
Comitato scientifico,03.1 Monografia o trattato scientifico,certificazione eucip,ita,4,EUCIP Guida alla certificazione per professionisti IT,"Bigini, G.; Brambilla, M.; C, Cappiello; Rizzo, F.",STAMPA,Tecniche Nuove,ITA,2007,http://hdl.handle.net/11311/1054598,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,ITA,-0
-0,03.1 Monografia o trattato scientifico,-0,-0,1,Moda e design: il progetto dell'eccellenza,A. Cappellieri,-0,Franco Angeli,-0,2007,http://hdl.handle.net/11311/247603,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,nazionale
-0,-0,-0,-0,1,Sinestesia e progetto,D. Ricco',-0,AIAP,-0,2007,http://hdl.handle.net/11311/250878,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,Roma,nazionale
-0,03.1 Monografia o trattato scientifico,-0,ita,3,Una politica per i trasporti italiani,P. Beria; S. Erba; M. Ponti,-0,Laterza,ITA,2007,http://hdl.handle.net/11311/255694,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,Roma,nazionale
-0,03.1 Monografia o trattato scientifico,INF,eng,5,Eucip - EUCIP - Guida alla certificazione per il professionista IT,G. Bigini; M. Brambilla; C. Cappiello; P. Plebani; F. Rizzo,-0,Tecniche Nuove,-0,2007,http://hdl.handle.net/11311/256327,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,-0,nazionale
-0,03.1 Monografia o trattato scientifico,-0,-0,2,Design e innovazione. Strumenti e pratiche per la ricerca applicata,F. Celaschi; A. Deserti,-0,Carocci Editore,-0,2007,http://hdl.handle.net/11311/256421,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,Roma,nazionale
-0,03.1 Monografia o trattato scientifico,-0,ita,3,Textile Design,R. Frassine; M. Rubertelli; M. Soldati,-0,Franco Angeli,-0,2007,http://hdl.handle.net/11311/265843,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,-0
-0,03.1 Monografia o trattato scientifico,-0,-0,2,Durabilità e scadenza nella comunicazione di prodotto,V. Bucchetti; E. Ciravegna,-0,Dativo Editore,-0,2007,http://hdl.handle.net/11311/274056,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,nazionale
-0,03.1 Monografia o trattato scientifico,design management; design thinking; design tools; metaprogetto,-0,1,Strumenti di design management,C. Cautela,-0,Franco Angeli,ITA,2007,http://hdl.handle.net/11311/274063,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,nazionale
-0,03.1 Monografia o trattato scientifico,-0,ita;chi;eng,2,Design per la sostenibilità ambientale. Design for environmental sustainability,C. Vezzoli; E. Manzini,-0,"Zanichelli, National Defence Industry Press, Springer",ITA,2007,http://hdl.handle.net/11311/274069,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,"Bologna, Pechino, Londra",nazionale
-0,03.1 Monografia o trattato scientifico,-0,-0,5,Next architetti. Paesaggi ralazionali,E. Avallone; G. Forte; S. Orsi; G. Pierluisi; A. Sciolari,-0,Edilstampa,-0,2007,http://hdl.handle.net/11311/274272,-0,-0,03 LIBRO::03.1 Monografia o trattato scientifico,Roma,nazionale
-0,03.1 Monografia o trattato scientifico,-0,-0,2,Rethinking the city. Projects for a new urban quality La rappresentazione del paesaggio urbano,G. AMORUSO; R. MINGUCCI,-0,Alinea Editrice,ITA,2007,http://hdl.handle.net/11311/504162,-0,-0,03 LIBRO::03.1 Monografia o trattato scientifico,FIRENZE,-0
-0,-0,-0,-0,3,Innovazione e Riqualificazione Urbana,R. MINGUCCI; C. BARTOLOMEI; G. AMORUSO,-0,IAL Emilia Romagna,ITA,2007,http://hdl.handle.net/11311/504163,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,BOLOGNA,-0
-0,03.1 Monografia o trattato scientifico,-0,-0,2,"L'Architettura dei Fari Italiani - The Architecture of Italian Lighthouses. Sardegna, vol. 3",C. BARTOLOMEI; G. AMORUSO,-0,Alinea Editrice,ITA,2007,http://hdl.handle.net/11311/504164,-0,-0,03 LIBRO::03.1 Monografia o trattato scientifico,FIRENZE,-0
-0,03.1 Monografia o trattato scientifico,-0,ita,1,Moda e Design: il progetto dell'eccellenza,A. CAPPELLIERI,-0,Franco Angeli,ITA,2007,http://hdl.handle.net/11311/504586,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,nazionale
-0,03.1 Monografia o trattato scientifico,-0,ita,1,"Gioiello Italiano Contemporaneo, tecniche e materiali tra arte e design",A. CAPPELLIERI,-0,Skira,ITA,2007,http://hdl.handle.net/11311/504588,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,nazionale
-0,-0,-0,ita,3,Sussidiario di semiotica. In dieci lezioni e duecento immagini,S. ZINGALE; BONFANTINI M.A; BRAMATI J,-0,ATì,ITA,2007,http://hdl.handle.net/11311/504726,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,nazionale
-0,-0,-0,ita,2,Durabilità e scadenza nella comunicazione di prodotto,V. BUCCHETTI; CIRAVEGNA ERIK,-0,DATIVO,ITA,2007,http://hdl.handle.net/11311/505478,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,nazionale
-0,03.1 Monografia o trattato scientifico,-0,-0,2,Introduzione ai sistemi di trasporto,BERIA P; PONTI M.,-0,Pitagora,ITA,2007,http://hdl.handle.net/11311/546153,-0,-0,03 LIBRO::03.1 Monografia o trattato scientifico,BOLOGNA,nazionale
-0,03.1 Monografia o trattato scientifico,Trasporti; Sicurezza; Merci pericolose; Monitoraggio,ita,4,Individuazione degli itinerari Origine-Destinazione di maggior interesse per la sperimentazione,R. MAJA; G. RAINOLDI; G. MARCHIONNI; D. ROMANÒ,-0,"Politecnico di Milano, Dipartimento IN.D.A.CO.",-0,2007,http://hdl.handle.net/11311/548352,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,-0,-0
-0,03.1 Monografia o trattato scientifico,DESIGN; FASHION; RETAIL; ACCESSORIES,ita,1,MODA E DESIGN: IL PROGETTO DELL'ECCELLENZA,A.CAPPELLIERI,-0,FRANCO ANGELI,-0,2007,http://hdl.handle.net/11311/549773,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,-0
-0,03.1 Monografia o trattato scientifico,-0,eng,1,ANTONIO CITTERIO: ARCHITECTURE AND DESIGN,A.CAPPELLIERI,-0,SKIRA,-0,2007,http://hdl.handle.net/11311/549780,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,-0
-0,-0,-0,eng,1,"System design for sustainability. Theory, methods and tools for a sustainable “satisfaction-system” design",C. Vezzoli,-0,Maggioli,ITA,2007,http://hdl.handle.net/11311/551556,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,internazionale
-0,-0,Relazionale; progetto; architettura; design; paesaggio; disegni; progetti; nextarchitetti,eng;ita,5,Nextarchitetti. Paesaggi relazionali.,E. Avallone; G. Forte; S. Orsi; G. Pierluisi; A. Sciolari,-0,Edilstampa,-0,2007,http://hdl.handle.net/11311/572194,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,Roma,-0
-0,03.1 Monografia o trattato scientifico,-0,ita,1,Learing Environment. nuovi scenari per il progetto degli spazi della formazione.,"Biamonti, Alessandro",-0,FrancoAngeli,-0,2007,http://hdl.handle.net/11311/575039,-0,info:eu-repo/semantics/openAccess,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,-0
-0,-0,Web experience; Web; Esperienza; Digitale; Metaprogetto,-0,1,Web Experience. L'ambiente informativo come neoluogo della comunicazione,U. Tolino,-0,Aracne Editrice,ITA,2007,http://hdl.handle.net/11311/596480,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,Roma,nazionale
-0,03.1 Monografia o trattato scientifico,design; spazio; innovazione,-0,2,"Design per lo spazio, ricerca e innovazione",S. Ferraris; M. Aguzzi,-0,Aracne,ITA,2007,http://hdl.handle.net/11311/629007,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,Roma,nazionale
-0,03.1 Monografia o trattato scientifico,simbolismo; estetismo; ideismo; idealismo; estetica,ita,1,Simbolismo italiano fra arte e critica Mario de Maria e Angelo Conti,A.Mazzanti,-0,Le Lettere,ITA,2007,http://hdl.handle.net/11311/641345,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,Firenze,-0
-0,03.1 Monografia o trattato scientifico,Innovazione; design diven innovation; processi progettuali; sistema prodotto-servizio; design e marca,ita,2,Design e innovazione,Flaviano Celaschi; Alessandro Deserti,-0,Carocci,-0,2007,http://hdl.handle.net/11311/644126,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,Roma,-0
-0,03.1 Monografia o trattato scientifico,Semiotica; Immagini; Interpretazione; Inferenze; Modi espressione; Narrazione,ita,3,Sussidiario di semiotica in dieci lezioni e duecento immagini,M.A. BONFANTINI; J. BRAMATI; S.ZINGALE,STAMPA,ATì Editore,ITA,2007,http://hdl.handle.net/11311/691302,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,MIlano,-0
-0,03.1 Monografia o trattato scientifico,fashion; cultural production,ita,1,Vita da stilista. Il ruolo sociale del fashion designer,P. VOLONTE',-0,Bruno Mondadori,ITA,2008,http://hdl.handle.net/11311/504085,-0,-0,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,-0
-0,03.1 Monografia o trattato scientifico,-0,ita,3,Il campo sociale della fisica particellare in Italia. Uno studio sociologico,BELLOTTI E; BELTRAME L; P. VOLONTE',-0,Bozen-Bolzano University Press,ITA,2008,http://hdl.handle.net/11311/504086,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,BOLZANO,nazionale
"Sì, ma tipo non specificato",03.1 Monografia o trattato scientifico,smart materials; design; sperimentazione progettuale; performance tecnologica; innovazioni tecnologiche; innovazioni scientifiche; macroinvenzioni; microinvenzioni; paradigmi tecnico-produttivi,ita,2,"Materiali intelligenti, sensibili, interattivi. 02 materiali per il design",M. CARDILLO ; M. FERRARA,STAMPA,Lupetti editori di comunicazione,ITA,2008,http://hdl.handle.net/11311/504502,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,-0
-0,03.1 Monografia o trattato scientifico,ron arad; alba cappellieri; design; arte; architettura,eng;ita,1,"Ron Arad: arte, architettura, design.",A. CAPPELLIERI,-0,MondadoriArte,ITA,2008,http://hdl.handle.net/11311/504597,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,-0
-0,03.1 Monografia o trattato scientifico,Leonardo; Disegni; Musei francesi; collezionismo,ita,2,I disegni di Leonardo da Vinci e della sua cerchia nelle collezioni pubbliche in Francia,MARANI; P. MARANI,-0,GIUNTI,ITA,2008,http://hdl.handle.net/11311/504696,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,FIRENZE,-0
-0,03.1 Monografia o trattato scientifico,finanza; cultura; design; politica; architettura; speculazioni; fondi investimento,ita,1,"Cultura, finanza, politica: verso una nuova speranza progettuale",D. BRUNO,-0,Aracne,ITA,2008,http://hdl.handle.net/11311/504752,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,ROMA,-0
