dc.type.full,dc.identifier.uri,dc.language.iso,dc.date.issued,dc.type.circulation,dc.publisher.name,dc.publisher.country,dc.publisher.place,dc.relation.ispartofbook,dc.relation.medium,dc.relation.conferenceplace,dc.relation.conferencename,dc.title,dc.subject.keywords,item.collection,item.openaireRights,dc.description.numberofauthors,dc.authority.people
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/692361,-,2007,-,-,-,-,-,-,-,-,"Mostra e giornata di studio: ""Lo Studio-Museo Achille Castiglioni della Triennale di Milano. Scenari di fruizione e prospettive di valorizzazione"" presso la Triennale di Milano - settembre 2007",Studio Museo Achille Castiglioni; Triennale di Milano; ricerca d.cult; design per i beni culturali,07.06 Mostra,info:eu-repo/semantics/closedAccess,3,"S. Annicchiarico;PARENTE, MARINA;SEASSARO, ALBERTO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/533866,eng,2007,internazionale,Univie,AUT,Vienna,-,-,-,-,Ernst von Glasersfeld and the Italian Operative School,Ricerca operativa,07.12 Altro,none,2,"PIZZOCARO, SILVIA LUISA;R. Glanville"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/565395,-,2007,nazionale,-,-,-,-,-,-,-,La ricerca del piacere,-,07.12 Altro,none,1,"GUIDA, FRANCESCO ERMANNO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/667288,-,2007,nazionale,-,-,-,-,-,-,-,"Gabriele Pierluisi. Paesaggi urbani. Marte, Roma 2007-08",Paesaggio urbano; MARTE; Digitale Caldo; Pittura e disegno; Pieghe; spazio.,07.12 Altro,info:eu-repo/semantics/closedAccess,5,"Massimiliano Fuksas;Camilla Pignatti Morano;Marta Fegiz;Laura De Iudicibus;PIERLUISI, GABRIELE"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/667393,ita,2007,-,Comune di Roma – Assessorato alle Politiche della Programmazione e Pianificazione del Territorio – Roma Capitale – Dipartimento VI – U.O. 11 – Interventi di Qualità.,-,-,-,-,"Roma, Italia",Concorso Internazionale di progettazione a Procedura ristretta,"Concorso Internazionale di progettazione a Procedura ristretta  “MENO È PIÙ 2”, Servizi e spazi pubblici in Roma nei Programmi di Trasformazione Urbanistica. Tor Marancia Area del Divino Amore.",-,07.13 Progetti,none,6,"E. Avallone;G. Forte;M. Musmeci;S. Orsi;PIERLUISI, GABRIELE;A. Sciolari"
07 ALTRO::07.03 Design,http://hdl.handle.net/11311/958787,eng;ita,2008,-,-,-,-,-,-,-,-,"L'abbraccio di Vienna. Klimt, Schiele e i capolavori del Belvedere",-,07.03 Design,info:eu-repo/semantics/openAccess,1,"GADDI, ROSSANA"
07 ALTRO::07.05 Esposizione,http://hdl.handle.net/11311/881650,ita;eng,2008,-,ELECTA MONDADORI,ITA,Milano,Casa per tutti. Abitare la città globale,-,-,-,"Case rapide, prefabbricate, smontabili",-,07.05 Esposizione,info:eu-repo/semantics/closedAccess,1,"FERABOLI, MARIA TERESA"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/692358,eng;jpn,2008,-,-,-,-,-,-,-,-,"Mostra: Studio Museo Achille Castiglioni, presso Shiodome Italia Creative Center, Tokyo",Studio Museo Achille Castiglioni; ricerca d.cult; Triennale di Miano; design per i beni culturali,07.06 Mostra,info:eu-repo/semantics/closedAccess,3,"S. Annicchiarico;PARENTE, MARINA;SEASSARO, ALBERTO"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/925758,ita;eng,2008,-,-,-,-,-,-,-,-,"""FABIO NOVEMBRE. Insegna anche a me la libertà delle rondini"".",-,07.06 Mostra,none,1,"FINESSI, GIUSEPPE"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/534030,ita,2008,nazionale,-,-,-,articolo su: www.laVoce.info,-,-,-,Una grande opera. Tutta da valutare,-,07.12 Altro,info:eu-repo/semantics/closedAccess,2,"PONTI, MARCO GUIDO;BERIA, PAOLO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/546339,-,2008,-,-,-,-,-,-,-,-,L’evoluzione dei Musei con l’Information and Communication Technology,-,07.12 Altro,info:eu-repo/semantics/closedAccess,5,"CANINA, MARIA RITA;I. Celino;E. Frumento;A. Pagani;N. Simeoni"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/546700,-,2008,-,-,-,-,-,-,-,-,Enografie. Il design racconta i vini del Piemonte.,-,07.12 Altro,none,2,"BAULE, GIOVANNI;BUCCHETTI, VALERIA LUISA"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/546702,-,2008,-,-,-,-,-,-,-,-,Interazioni grafico-strutturali,-,07.12 Altro,none,1,"BUCCHETTI, VALERIA LUISA"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/546712,-,2008,-,-,-,-,-,-,-,-,Superfici (tra vista e tatto),-,07.12 Altro,none,1,"BUCCHETTI, VALERIA LUISA"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/547523,-,2008,-,-,-,-,-,-,-,-,Ottimizzazione della raccolta dei Rifiuti di Apparecchiature Elettriche ed Elettroniche (RAEE),-,07.12 Altro,none,4,"BRUGLIERI, MAURIZIO;CATTANEO, FABIANO;COLOMBO, ANDREA;COLORNI VITALE, ALBERTO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/548205,-,2008,-,-,-,-,-,-,-,-,Enografie: il design dei percorsi narrativi,-,07.12 Altro,none,1,"BAULE, GIOVANNI"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/548276,-,2008,-,-,-,-,-,-,-,-,Il futuro dell’e-learning è già passato,-,07.12 Altro,-,3,"COLORNI VITALE, ALBERTO;SANCASSANI, SUSANNA;L. Leita"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/548486,-,2008,-,-,-,-,-,-,-,-,"Benefits and problems of e-learning, UE Committee on Culture Science and Education, Realising the full potential of e-learning at all levels of education.",-,07.12 Altro,none,1,"COLORNI VITALE, ALBERTO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/550760,-,2008,-,-,-,-,-,-,-,-,A passo lento nel tunnel,-,07.12 Altro,none,2,"GRIMALDI, RAFFAELE;PONTI, MARCO GUIDO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/550761,-,2008,-,-,-,-,-,-,-,-,E sulla Milano-Venezia i conti non tornano,-,07.12 Altro,none,2,"GRIMALDI, RAFFAELE;PONTI, MARCO GUIDO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/560608,-,2008,-,-,-,-,-,-,-,-,piattaforma LeNS,-,07.12 Altro,none,1,"VEZZOLI, CARLO ARNALDO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/634054,-,2008,nazionale,-,-,-,-,-,-,-,Leggere il contesto per orientare il progetto. Metodologie e approcci per la produzione e visualizzazione di conoscenza ad orientamento della pratica progettuale nel design della moda.,-,07.12 Altro,info:eu-repo/semantics/closedAccess,1,"COLOMBI, CHIARA"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/689350,-,2008,-,-,-,-,-,-,-,-,Occasioni di complessità sostenibile / Opportunities of sustainable complexity - Complessità e sostenibilià: il territorio e l'architettura n. 05,-,07.12 Altro,none,5,"PADOVANO, GABRIELLA;BLASI, CESARE;NEBULONI, ATTILIO;I. Anastasio;V. Arrigoni"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/689353,-,2008,-,-,-,-,-,-,-,-,Gli spazi della complessità / The spaces of complexity - Complessità e sostenibilià: il territorio e l'architettura n. 06,-,07.12 Altro,none,5,"PADOVANO, GABRIELLA;BLASI, CESARE;NEBULONI, ATTILIO;I. Anastasio;V. Arrigoni"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/689354,-,2008,-,-,-,-,-,-,-,-,Tendenze della ricerca universitaria - Complessità e sostenibilià: il territorio e l'architettura n. 07,-,07.12 Altro,none,5,"PADOVANO, GABRIELLA;BLASI, CESARE;NEBULONI, ATTILIO;I. Anastasio;V. Arrigoni"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/689355,-,2008,-,-,-,-,-,-,-,-,Oltre l'architettura convenzionale / Beyond conventional architecture - Complessità e sostenibilià: il territorio e l'architettura n. 08,-,07.12 Altro,none,5,"PADOVANO, GABRIELLA;BLASI, CESARE;NEBULONI, ATTILIO;I. Anastasio;V. Arrigoni"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/689358,-,2008,-,-,-,-,-,-,-,-,Nuovi spazi interattivi / New interactive spaces - Complessità e sostenibilià: il territorio e l'architettura n. 09,-,07.12 Altro,none,5,"PADOVANO, GABRIELLA;BLASI, CESARE;NEBULONI, ATTILIO;I. Anastasio;V. Arrigoni"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/550298,ita,2008,-,"Impresa Garibaldi srl, Bari",-,-,-,-,Taranto,ad invito,Progettazione della comunicazione visiva e degli apparati comunicativi per il Museo Nazionale Archeologico di Taranto,Identità visiva; segnaletica informativa e di orientamento; sito web,07.13 Progetti,info:eu-repo/semantics/closedAccess,5,"GUIDA, FRANCESCO ERMANNO;Carla De Luca;Giovanni Dema;Nicola Scotto di Carlo;Jaana Zammer"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/640520,ita,2008,-,Fondazione Europea Guido Venosta,-,-,-,-,Milano,Il Ponte,Ponte di accesso al Triennale Design Museum,-,07.13 Progetti,none,1,"DE LUCCHI, MICHELE"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/667391,ita,2008,-,AMA - Comune di Roma,-,-,-,-,"Roma, Italia",Concorso Internazionale di Progettazione a Grado Unico Ristretto,Concorso Internazionale di Progettazione a Grado Unico Ristretto: “Amamontagnola” Roma.,-,07.13 Progetti,none,6,"E. Avallone;G. Forte;M. Musmeci;S. Orsi;PIERLUISI, GABRIELE;A. Sciolari"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/758847,-,2009,-,-,-,-,-,-,-,-,Time To Design,-,07.06 Mostra,none,2,"GEROSA, GIULIA MARIA;M. Berghinz"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/758848,-,2009,-,-,-,-,-,-,-,-,Opening Soon,-,07.06 Mostra,none,3,"GEROSA, GIULIA MARIA;COLLINA, LUISA MARIA VIRGINIA;BRANZI, ANDREA"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/924756,eng;ita,2009,-,-,-,-,-,-,-,-,PAOLO ULIAN 1990-2009,-,07.06 Mostra,none,1,"FINESSI, GIUSEPPE"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/925361,eng;ita,2009,-,-,-,-,-,-,-,-,ANGELO MANGIAROTTI SCOLPIRE/COSTRUIRE,-,07.06 Mostra,none,1,"FINESSI, GIUSEPPE"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/925756,ita;eng,2009,-,-,-,-,-,-,-,-,ALESSANDRO MENDINI,-,07.06 Mostra,none,1,"FINESSI, GIUSEPPE"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/925757,eng;ita,2009,-,-,-,-,-,-,-,-,PIO MANZU'. Quando il mondo era moderno.,-,07.06 Mostra,none,3,"Giacinto Di Pietrantonio;Enrico Leonardo Fagone;FINESSI, GIUSEPPE"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/563684,-,2009,-,-,-,-,-,-,-,-,Propsettive di design per i servizi Mobile secondo l'approccio User Centred,-,07.12 Altro,none,2,"PILLAN, MARGHERITA;RIZZO, FRANCESCA"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/564940,-,2009,internazionale,-,-,-,-,-,-,-,Design Per. L'ambiente,-,07.12 Altro,none,2,"GUIDA, FRANCESCO ERMANNO;Chia G."
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/565390,-,2009,internazionale,-,-,-,-,-,-,-,The Identity of Cultural Heritages between Real and Virtual. New Languages and Virtuous Devices in the Age of Transition.,-,07.12 Altro,none,1,"GUIDA, FRANCESCO ERMANNO"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/1019069,eng,2009,-,R/GA,-,-,-,-,New York,R/GA Mobile Music Challenge,Freesbe: Free sound diffusion,-,07.13 Progetti,none,4,"MAURI, MICHELE;Desiato, Andrea;Paolo, Dusi;Napoli, Mauro"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/563693,eng,2009,-,SIGGRAPH 2009,-,-,-,-,"New Orleans, Louisiana, USA",Emerging Technologies,Citymurmur,Media; news; city; cartography; mapping; communication design; urban space,07.13 Progetti,none,7,"QUAGGIOTTO, MARCO;CAVIGLIA, GIORGIO;GRAFFIETI, MICHELE;S. Granados Lopez;D. Guido;RICCI, DONATO;SCAGNETTI, GAIA"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/564313,ita;eng,2009,-,ADI - Associazione per l Disegno Industriale,-,-,-,-,Milano,ADI INDEX 2000 - Compasso d'Oro,DRM - Design Research Maps,Design Research; Maps; Academic Design Research,07.13 Progetti,none,4,"BERTOLA, PAOLA;MAFFEI, STEFANO;BIANCHINI, MASSIMO;VILLARI, BEATRICE"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/640516,ita,2009,-,-,-,-,-,-,-,-,"Il Ponte della Pace, Tbilisi (Georgia)",-,07.13 Progetti,none,1,"DE LUCCHI, MICHELE"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/693509,ita;eng,2009,-,PAD magazine online,-,-,-,-,on line - Turchia,Mediterranean Design. Tra presente e futuro,Mediterranean Design. Tra presente e futuro,Design; Mediterraneo; visul design; product design; fotografia; designer,07.13 Progetti,none,2,"FERRARA, MARIA RITA;C. Ferrara"
07 ALTRO::07.03 Design,http://hdl.handle.net/11311/958788,ita;eng,2010,-,-,-,-,-,-,-,-,Rubens e i fiamminghi,-,07.03 Design,info:eu-repo/semantics/openAccess,1,"GADDI, ROSSANA"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/758842,-,2010,-,-,-,-,-,-,-,-,BiNOMi – Biennale Nord Ovest Milano,-,07.06 Mostra,none,1,"GEROSA, GIULIA MARIA"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/924758,eng;ita,2010,-,-,-,-,-,-,-,-,GIOVANNI LEVANTI,-,07.06 Mostra,none,1,"FINESSI, GIUSEPPE"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/574586,-,2010,nazionale,-,-,-,-,-,-,-,Nel tunnel dell'Alta Velocità,alta velocità; ferrovie; analisi costi benefici; ex-post,07.12 Altro,info:eu-repo/semantics/closedAccess,3,"BERIA, PAOLO;GRIMALDI, RAFFAELE;PONTI, MARCO GUIDO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/582027,-,2010,nazionale,-,-,-,-,-,-,-,L'impatto delgi ITS per la riduzione di CO2,-,07.12 Altro,info:eu-repo/semantics/closedAccess,3,"STUDER, LUCA PASINO;V. Mauro"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/583074,-,2010,internazionale,-,-,-,-,-,-,-,Italian Light Contract,-,07.12 Altro,none,1,"TURINETTO, MARCO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/585672,-,2010,internazionale,-,-,-,-,-,-,-,Choosing between ecology awareness and business,-,07.12 Altro,none,1,"TURINETTO, MARCO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/585673,-,2010,internazionale,-,-,-,-,-,-,-,Light for a new product identity,-,07.12 Altro,none,1,"TURINETTO, MARCO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/585674,-,2010,internazionale,-,-,-,-,-,-,-,"Lighting ethics, enviroment",-,07.12 Altro,none,1,"TURINETTO, MARCO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/585675,-,2010,internazionale,-,-,-,-,-,-,-,"Individualised Consumption: is the future industry ready for a complex, higly-differentiated market ?",-,07.12 Altro,none,1,"TURINETTO, MARCO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/585676,-,2010,internazionale,-,-,-,-,-,-,-,On living well in today's enviroments,-,07.12 Altro,none,1,"TURINETTO, MARCO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/692963,-,2010,nazionale,-,-,-,-,-,-,-,A Moda projectada,-,07.12 Altro,info:eu-repo/semantics/closedAccess,1,"COLOMBI, CHIARA"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/583357,eng;ita;chi,2010,-,Ministero per l'Innovazione e la Pubblica Amministrazione,-,-,-,-,Italia,Italia degli Innovatori,100 virtuous cities,-,07.13 Progetti,none,3,"PICCINNO, GIOVANNA;LEGA, ELISA;FASSI, DAVIDE"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/583358,eng;ita,2010,-,ADI Associazione per il Disegno Industriale,-,-,-,-,Roma,Premio Compasso d'Oro,100 virtuous cities,-,07.13 Progetti,none,3,"PICCINNO, GIOVANNA;LEGA, ELISA;FASSI, DAVIDE"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/640515,ita,2010,-,Governo Italiano,-,-,-,-,Roma,Premio Nazionale per l’Innovazione,Parquet Medoc,product design,07.13 Progetti,info:eu-repo/semantics/closedAccess,1,"DE LUCCHI, MICHELE"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/662288,ita,2010,-,Fondazione Roma,-,-,-,-,Roma,di idee,Il progetto illuminotecnico per la Mostra di Hopper a Roma,Illuminotecnica; Illuminazione Opere d'Arte; Edward Hopper,07.13 Progetti,info:eu-repo/semantics/closedAccess,1,"MURANO, FRANCESCO"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/693098,ita,2010,-,"COMUNE DI SARNICO
Provincia di Bergamo",-,-,-,-,Sarnico,CONCORSO D’IDEE,"CONCORSO D’IDEE
PER LA PROGETTAZIONE DI PIAZZA XX SETTEMBRE E DEGLI SPAZI ANNESSI",-,07.13 Progetti,none,4,"GEROSA, GIULIA MARIA;D. Fumagalli;G. Lassandro;D. Prinzo"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/693100,ita,2010,-,Comune di Villagrande Strisaili,-,-,-,-,Villagrande Strisaili (OG),idee finalizzato all’acquisizione di una proposta ideativa in merito alla riqualificazione della piazza Sennorigau in Villagrande Strisaili,Concorso di idee finalizzato all’acquisizione di una proposta ideativa in merito alla riqualificazione della piazza Sennorigau in Villagrande Strisaili,-,07.13 Progetti,none,4,"GEROSA, GIULIA MARIA;G. LAssandro;D. Fumagalli;D. Prinzo"
07 ALTRO::07.03 Design,http://hdl.handle.net/11311/958783,ita;eng,2011,-,-,-,-,-,-,-,-,Boldini e la Belle Epoque,-,07.03 Design,info:eu-repo/semantics/openAccess,1,"GADDI, ROSSANA"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/766135,eng;ita,2011,-,"Galleria Subalterno1, Via Conte Rosso 22, MIlano",-,-,-,-,-,-,Autoproduzioni Italiane,-,07.06 Mostra,none,3,"MAFFEI, STEFANO;GIANNI, ANDREA ENRICO;BOLZAN, PATRIZIA"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/924757,-,2011,-,-,-,-,-,-,-,-,DI VASO IN FIORE,-,07.06 Mostra,none,1,"FINESSI, GIUSEPPE"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/583475,-,2011,nazionale,-,-,-,-,-,-,-,L’unità d’Italia: testimonianze risorgimentalinei musei e nel territorio della Toscana,unità; risorgimento; arte,07.12 Altro,info:eu-repo/semantics/closedAccess,1,"MAZZANTI, ANNA"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/586879,-,2011,internazionale,-,-,-,-,-,-,-,"Arena Models. Deliverable 2.1 for Periheria project, Grant Agreement number: 271015",-,07.12 Altro,none,2,"CONCILIO, GRAZIA;RIZZO, FRANCESCA"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/586880,-,2011,-,-,-,-,-,-,-,-,Deliverable 2.1: Scenarios description. Deliverable for the European Project Life 2.0 LIFE 2.0Geographical positioning services to support independent living and social interaction of elderly people ICT-PSP-270965,-,07.12 Altro,none,3,"RIZZO, FRANCESCA;COSTA, FIAMMETTA CARLA ENRICA;Oliva S."
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/605088,-,2011,internazionale,-,-,-,-,-,-,-,Esposizione personale: PARIS_PLIS  Gabriele Pierluisi a cura di Martina Cavallarin.  Parigi dal 03-02-2011 al 03-03-2011,città; paesaggio urbano; design; paesaggio; pittura; pittura digitale; spazio; 3D e 2D.,07.12 Altro,info:eu-repo/semantics/closedAccess,1,"PIERLUISI, GABRIELE"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/631194,-,2011,internazionale,-,-,-,-,-,-,-,Good Idea + Good Design = Good Service ? Learning how to evaluate Service Design,-,07.12 Altro,none,3,"MAFFEI, STEFANO;E. Pacenti;VILLARI, BEATRICE"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/634053,-,2011,internazionale,-,-,-,-,-,-,-,Natural Fashion. From symbolic to cognitive innovation through crafts and design,-,07.12 Altro,info:eu-repo/semantics/closedAccess,1,"COLOMBI, CHIARA"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/644331,-,2011,nazionale,-,-,-,-,-,-,-,"Brevetto, Design e ""forma del tempo"". I brevetti nella storia del design italiano",-,07.12 Altro,info:eu-repo/semantics/closedAccess,1,"BOSONI, GIAMPIERO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/660634,-,2011,-,-,-,-,-,-,-,-,Dust: A Visualization Tool Supporting Parents’ School-Choice Evaluation Process,cartography; Data visualization; Decision Support Systems; Open Data,07.12 Altro,info:eu-repo/semantics/closedAccess,6,"AZZI, MATTEO;CAVIGLIA, GIORGIO;RICCI, DONATO;CIUCCARELLI, PAOLO;Emanuele Bonetti;Loredana Bontempi"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/693234,-,2011,nazionale,-,-,-,-,-,-,-,NUTRIRE MILANO. Seconda annualità del progetto - Relazione al bilancio.,Service Design; Strategic Design; Sustainable development,07.12 Altro,none,9,"MERONI, ANNA;SIMEONE, GIULIA;CORUBOLO, MARTA;D. Cantu;PIREDDA, FRANCESCA;A. Arossa;P. Bolzacchini;A. Cecchini;E. Nasuelli"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/693286,-,2011,internazionale,-,-,-,-,-,-,-,Smart Citizens community directory. Deliverable 3.1.1 Progetto europeo Peripheria,-,07.12 Altro,none,3,"CONCILIO, GRAZIA;RIZZO, FRANCESCA;e.t. alii"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/693292,-,2011,internazionale,-,-,-,-,-,-,-,Sociable Housing,Service Design,07.12 Altro,none,2,"MERONI, ANNA;FERRI, GIORDANA"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/634267,ita,2011,-,La mostra è stata patrocinata dagli Istituti del Castello Sforzesco e finanziata dalla Fondazione CARIPLO,-,-,-,-,Milano,La ricerca e la mostra sono state selezionate da Fondazione Cariplo per il suo finannziamento,"Per l'Esposizione, mi raccomando...! Milano e l’Esposizione internazionale del Sempione del 1906 nei documenti del Castello Sforzesco",-,07.13 Progetti,none,3,"G. Botti;CORDERA, PAOLA;RICCI, GIULIANA"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/640521,ita,2011,-,US-Ufficiostile,-,-,-,-,Milano,US-Award,Uffici del Triennale Design Museum,-,07.13 Progetti,none,1,"DE LUCCHI, MICHELE"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/641342,ita,2011,-,US-Ufficiostile,-,-,-,-,Milano,US-Award,Filiali Superflash Intesa Sanpaolo,-,07.13 Progetti,none,1,"DE LUCCHI, MICHELE"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/667212,ita,2011,-,"Assimpredil Ance , Federlegnoarredo , INARCH Lombardia , Ordine degli architetti pianificatori paesaggisti e conservatori della provincia di Milano , Comune di Milano",-,-,-,-,Milano,europeo,Housing Contest - Bando europeo per la formazione di un Repertorio di progetti per edifici residenziali ad alte prestazioni e basso costo,-,07.13 Progetti,none,14,"BELLINI, OSCAR EUGENIO;SCOCCIMARRO, ANTONIO;DAGLIO, LAURA;DALL'O', GIULIANO;SARTO, LUCA;SANNA, NICOLA;E. Pili;A. Morettini;S. Lugano;DLC s. r. l.;COLLINA, LUISA MARIA VIRGINIA;GEROSA, GIULIA MARIA;T. Belletti;P. Catena"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/693096,ita,2011,-,"CITTA DI TORTOLI’
PROVINCIA OGLIASTRA",-,-,-,-,Arbatax,Concorso nazionale per INTERVENTI DI RIQUALIFICAZIONE PAESAGGISTICO – AMBIENTALE ED ARCHITETTONICA DEL PIAZZALE SCOGLI ROSSI AD ARBATAX,"Concorso nazionale per ""INTERVENTI DI RIQUALIFICAZIONE PAESAGGISTICO – AMBIENTALE ED ARCHITETTONICA DEL PIAZZALE SCOGLI ROSSI AD ARBATAX""",-,07.13 Progetti,none,6,"DAGLIO, LAURA;GEROSA, GIULIA MARIA;D. Fumagalli;G. Lassandro;A. Loi;LANZAROTTI, GRETA"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/693500,ita;spa;eng,2011,-,PAD magazine (www.palermodesign.it),-,-,-,-,on line - premiazione a Barcelona,"Design Mediterraneo | Mediterranean Design, 2011","Design Mediterraneo | Mediterranean Design, 2011",Design; Mediterraneo; product design; visual design; fotografia; scenari futuri; sviluppo economico,07.13 Progetti,info:eu-repo/semantics/closedAccess,2,"FERRARA, MARIA RITA;A. Calvera"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/765540,ita,2011,-,-,-,-,-,-,-,-,"Servizi alla visita dell'area archeologica di competenza SAR, Roma",-,07.13 Progetti,info:eu-repo/semantics/closedAccess,1,"DE LUCCHI, MICHELE"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/766431,eng;ita,2011,-,ADI - Associazione Design Italiano,-,-,-,STAMPA,MILANO / ROMA,TARGA GIOVANI – XXII COMPASSO D'ORO ADI 2011,"Design sul filo della tradizione. Strategie e strumenti di valorizzazione di competenze e culture locali 

Design on the thread of tradition. Strategies and instruments to exploit local skills and culture in the textile industry",design; craft; material culture; local know how; knowledge-based production; production of value,07.13 Progetti,info:eu-repo/semantics/closedAccess,1,"VACCA, FEDERICA"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/959229,ita,2011,-,Politecnico di Milano,-,-,-,-,Milano,Identità visiva,Progetto dell'identità visiva per il centocinquantesimo anniversario del Politecnico di Milano.,Brand design; Corporate Identity; immagine coordinata per territorio e istituzioni culturali; politecnico di milano,07.13 Progetti,info:eu-repo/semantics/closedAccess,1,"TOLINO, UMBERTO"
07 ALTRO::07.03 Design,http://hdl.handle.net/11311/703930,eng,2012,-,-,-,-,Street Furniture. Premio Lissone Design 2011,-,-,-,Green Connection,-,07.03 Design,none,5,"VIGNATI, ARIANNA;MANZONI, ALBERTO;LOLLIO, VALENTINA;RIVIECCIO, VALENTINA;CARAMAGNO, MARINA"
07 ALTRO::07.03 Design,http://hdl.handle.net/11311/958789,-,2012,-,-,-,-,-,-,-,-,La dinastia Brueghel,-,07.03 Design,info:eu-repo/semantics/closedAccess,1,"GADDI, ROSSANA"
07 ALTRO::07.03 Design,http://hdl.handle.net/11311/958793,ita;eng,2012,-,-,-,-,-,-,-,-,Brueghel. Meraviglie dell'arte fiamminga,-,07.03 Design,info:eu-repo/semantics/openAccess,1,"GADDI, ROSSANA"
07 ALTRO::07.04 Performance,http://hdl.handle.net/11311/731383,-,2012,-,-,-,-,-,-,-,-,ARPA DI LUCE,-,07.04 Performance,info:eu-repo/semantics/closedAccess,3,"MURANO, FRANCESCO;Gianpietro Grossi;Pietro Pirelli"
