dc.type.full,dc.identifier.uri,dc.language.iso,dc.date.issued,dc.type.circulation,dc.publisher.name,dc.publisher.country,dc.publisher.place,dc.relation.ispartofbook,dc.relation.medium,dc.relation.conferenceplace,dc.relation.conferencename,dc.title,dc.subject.keywords,item.collection,item.openaireRights,dc.description.numberofauthors,dc.authority.people
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/533703,-,1997,-,-,-,-,-,-,-,-,Consulenza e collaborazione per la sperimentazione di modelli di simulazione della mobilità a supporto della pianificazione regionale dei trasporti e della mobilità - Caso di studio Malpensa - Costruzione del modello di simulazione del traffico per la valutazione degli scenari alternativi,-,07.12 Altro,none,2,"MAJA, ROBERTO;DALENO M."
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/693112,-,1998,-,-,-,-,-,-,-,-,Mostra: SOTTSSAS. 151 DISEGNI,-,07.06 Mostra,none,5,"V. Cristallo;GUIDA, FRANCESCO ERMANNO;M. Elia;A. Morone;PARENTE, MARINA"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/693114,-,1998,-,-,-,-,-,-,-,-,IV MOSTRA DELL’ARTIGIANATO ARTISTICO - CONTINUITA’ E INNOVAZIONE DELLA TRADIZIONE,-,07.06 Mostra,none,4,"V. Cristallo;E. Guida;A. Morone;PARENTE, MARINA"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/533559,ita,1999,nazionale,Algraphy,ITA,Genova,"volumi guida 1, 2 a cura del DML",-,-,-,Disabilità Motoria e Lavoro: guida per orientarsi nel mondo del lavoro Vol 1 e 2,-,07.12 Altro,none,2,"A.A. V.V.;CANINA, MARIA RITA"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/667420,eng,1999,-,Comune di Sarajevo,-,-,-,-,"Sarajevo, Jugoslavia",Concorso internazionale di progettazione,Concorso internazionale “Sarajevo Concert Hall” Nuovo auditorium di Sarajevo,-,07.13 Progetti,none,5,"E. Avallone;L. Montuori;S. Orsi;PIERLUISI, GABRIELE;A. Sciolari"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/533558,ita,2000,nazionale,Algraphy,ITA,Genova,AISM informa,-,-,-,La domotica: qualità degli ambienti in AAVV Disabilità Motoria e Lavoro: contributi per un agire interdisciplinare,-,07.12 Altro,none,2,"A.A. VV;CANINA, MARIA RITA"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/565392,-,2000,-,-,-,-,-,-,-,-,Comunicazione (visiva) domani. Sperimentazione e nuovi confini,-,07.12 Altro,none,1,"GUIDA, FRANCESCO ERMANNO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/693515,ita,2000,nazionale,Edizioni Pananti,-,Firenze,-,-,-,-,Lionello Balestrieri e le esposizioni,tardoromanticismo di fine XIX sec; futurismo; ritorno all'ordine figurativo,07.12 Altro,none,1,"MAZZANTI, ANNA"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/693554,ita,2000,internazionale,Maggioli,ITA,Santangelo di Romagna,-,-,-,-,“Sentieri nell’arte”. Arte ambientale in Toscana,arte ambientata; arte ambientale; scultura in spazi aperti,07.12 Altro,none,1,"MAZZANTI, ANNA"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/667413,ita,2000,-,Comune di Roma,-,-,-,-,"Roma, Italia",Concorso internazionale in due fasi,Concorso internazionale in due fasi “Ampliamento della Galleria Comunale d'Arte Moderna e Contemporanea. Ex-Fabbrica Peroni” a Roma.,-,07.13 Progetti,none,6,"E. Avallone;L. Montuori;R. Petrachi;S. Orsi;PIERLUISI, GABRIELE;A. Sciolari"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/533557,ita,2001,nazionale,-,-,-,La Repubblica Salute anno 7 n. 286,-,-,-,Gamba “intelligente” cambia il passo secondo il terreno,-,07.12 Altro,none,3,"CANINA, MARIA RITA;GENNARO VERNI;PIERLUIGI VALENTINI"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/640519,ita;eng,2001,-,ADI - Associazione per il Disegno Industriale,-,-,-,-,Milano,Compasso d'Oro,Stampante Ink Jet Artjet 10 (XP 30),-,07.13 Progetti,none,1,"DE LUCCHI, MICHELE"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/667409,ita,2001,-,Europan Italia e Comune di Massa.,-,-,-,-,"Massa, Italia",Concorso Internazionale di progettazione Europan 6,"Concorso Internazionale Europan 6, “Urbanità europea e progetti strategici”, Sito di Massa, Italia.",-,07.13 Progetti,none,7,"E. Avallone;L. Montuori;M. Musmeci;R. Petrachi;S. Orsi;PIERLUISI, GABRIELE;A. Sciolari"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/667411,ita,2001,-,S.T.A. Comune di Roma,-,-,-,-,"Roma, Italia",Concorso internazionale di progettazione,Concorso internazionale di progettazione “Tre Parcheggi di scambio” Roma Nuovo Salario.,-,07.13 Progetti,none,7,"E. Avallone;M. Fegiz;F. Galdo;M. Musmeci;S. Orsi;PIERLUISI, GABRIELE;A. Sciolari"
07 ALTRO::07.03 Design,http://hdl.handle.net/11311/1049491,ita,2002,-,Lugo Editore,ITA,2002,Blue Industries,STAMPA,-,-,"Blue Industries: Dove nasce il futuro: design, innovazione e impresa",-,07.03 Design,info:eu-repo/semantics/closedAccess,1,davide bruno
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/533384,-,2002,internazionale,-,-,-,"DILABB, PRESENTAZIONE DEL SISTEMA DEL LABORATORI DELLA FACOLTA DEL DESIGN",-,-,-,DILABB,-,07.12 Altro,none,2,"GALBIATI, MARIA LUISA;FRANCESCO GALLI"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/570634,-,2002,nazionale,-,-,-,-,-,-,-,I grandi progetti infrastrutturali: divergenze sui criteri di valutazione,-,07.12 Altro,none,2,"PONTI, MARCO GUIDO;A. Boitani"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/570636,-,2002,nazionale,-,-,-,-,-,-,-,La lezione del ponte sullo Stretto,-,07.12 Altro,none,2,"PONTI, MARCO GUIDO;A. Boitani"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/570656,-,2002,nazionale,-,-,-,-,-,-,-,Il federalismo stradale: Procedure e prime applicazioni legislative.,-,07.12 Altro,none,3,"C. Borgnolo;PONTI, MARCO GUIDO;TORTA, FABIO PIETRO"
