title,author,year,type,keywords,cluster
Proceedings of the 8th International Conference on Human Aspects of Advanced Manifacturing: Agility & Hybrid Automation,"BAGNARA, SEBASTIANO;S. Pozzi;A. Rizzo;RIZZO, FRANCESCA;S. Save",2003,07.12 Altro,-,nocluster
Il tempo ai tempi di internet,"GUIDA, FRANCESCO ERMANNO",2003,07.12 Altro,-,nocluster
Ma che strani tipi,"GUIDA, FRANCESCO ERMANNO",2003,07.12 Altro,-,nocluster
Alitalia: un'Italia senza ali,"PONTI, MARCO GUIDO",2003,07.12 Altro,-,nocluster
La leggenda del corridoio Lisbona - Kiev,"PONTI, MARCO GUIDO",2003,07.12 Altro,-,nocluster
Allestimento degli interni e grafica del Neues Museum Berlino,"DE LUCCHI, MICHELE",2003,07.13 Progetti,-,nocluster
"Concorso Internazionale Europan 7: “periferia-IN” sito di Bageria (PA), Italia","E. Avallone;M. De Angelis;G. Forte;S. Orsi;PIERLUISI, GABRIELE;A. Sciolari",2003,07.13 Progetti,-,nocluster
"Concorso internazionale di progettazione in due fasi “Mille idee per un concorso” per la costruzione della nuova sede dell'Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise, Teramo.","E. Avallone;M. Cocciolito;F. Galdo;G. Lupoi;M. Musmeci;S. Orsi;PIERLUISI, GABRIELE;A. Sciolari",2003,07.13 Progetti,-,nocluster
Nuova Sede del Consiglio Regionale,"P. Portoghesi;BLASI, CESARE;PADOVANO, GABRIELLA;NEBULONI, ATTILIO;M. Ruscelli",2003,07.13 Progetti,-,nocluster
"Centro Europeo per le Creatività Emergenti - concorso internazionale ""ex Tabacchificio Centola""","BLASI, CESARE;NEBULONI, ATTILIO;PADOVANO, GABRIELLA",2003,07.13 Progetti,-,nocluster
LE PROFESSIONI DELLA TELEVISIONE-LEZIONE MULTIMEDIALE IN RAI,"GALBIATI, MARIA LUISA;GALLI FRANCESCO",2004,07.12 Altro,-,nocluster
GRUPPO CIMBALI-FAEMA. DVD ISTITUZIONALE,"GALBIATI, MARIA LUISA;FRANCESCO GALLI",2004,07.12 Altro,-,nocluster
Studio di fattibilità per una metrotranvia in Como,"COLORNI VITALE, ALBERTO;D. CICCARELLI;A. LUE';D. ROSSI",2004,07.12 Altro,-,nocluster
