dc.type.full	dc.identifier.uri	dc.date.issued	dc.title	dc.authority.people	
07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/665920	2002	Contratto di quartiere San Giuseppe Baia del Re di Piacenza. Il controllo di qualità e la flessibilità nel progetto di riqualificazione	SCHIAFFONATI, FABRIZIO;SCOCCIMARRO, ANTONIO;FANZINI, DANIELE;BIANCHI, CRISTINA;CAVALLERI, ANNA;COLLINA, LUISA MARIA VIRGINIA;M. Corò;DAGLIO, LAURA;FANTINI, ADRIANA;GINELLI, ELISABETTA;MUSSINELLI, ELENA GERMANA;M. Sancito;VITOLA, FRANCESCO	
07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/667407	2002	Concorso internazionale ad inviti per la realizzazione del “Museo dell'audiovisivo nel Palazzo della Civiltà del Lavoro all' EUR” Roma	E. Avallone;CARBONARA, GIANNI;G. Colucci;M. Fegiz;F. Galdo;M. Musmeci;S. Orsi;PIERLUISI, GABRIELE;M. sasso;A. Sciolari	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/259638	2003	Proceedings of the 8th International Conference on Human Aspects of Advanced Manifacturing: Agility & Hybrid Automation	BAGNARA, SEBASTIANO;S. Pozzi;A. Rizzo;RIZZO, FRANCESCA;S. Save	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/565393	2003	Il tempo ai tempi di internet	GUIDA, FRANCESCO ERMANNO	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/565394	2003	Ma che strani tipi	GUIDA, FRANCESCO ERMANNO	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/570645	2003	Alitalia: un'Italia senza ali	PONTI, MARCO GUIDO	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/570646	2003	La leggenda del corridoio Lisbona - Kiev	PONTI, MARCO GUIDO	
07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/638724	2003	Allestimento degli interni e grafica del Neues Museum Berlino	DE LUCCHI, MICHELE	
07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/667402	2003	Concorso Internazionale Europan 7: “periferia-IN” sito di Bageria (PA), Italia	E. Avallone;M. De Angelis;G. Forte;S. Orsi;PIERLUISI, GABRIELE;A. Sciolari	
07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/667405	2003	Concorso internazionale di progettazione in due fasi “Mille idee per un concorso” per la costruzione della nuova sede dell'Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise, Teramo.	E. Avallone;M. Cocciolito;F. Galdo;G. Lupoi;M. Musmeci;S. Orsi;PIERLUISI, GABRIELE;A. Sciolari	
07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/689382	2003	Nuova Sede del Consiglio Regionale	P. Portoghesi;BLASI, CESARE;PADOVANO, GABRIELLA;NEBULONI, ATTILIO;M. Ruscelli	
07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/689384	2003	"Centro Europeo per le Creatività Emergenti - concorso internazionale ""ex Tabacchificio Centola"""	BLASI, CESARE;NEBULONI, ATTILIO;PADOVANO, GABRIELLA	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533385	2004	LE PROFESSIONI DELLA TELEVISIONE-LEZIONE MULTIMEDIALE IN RAI	GALBIATI, MARIA LUISA;GALLI FRANCESCO	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533386	2004	GRUPPO CIMBALI-FAEMA. DVD ISTITUZIONALE	GALBIATI, MARIA LUISA;FRANCESCO GALLI	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533600	2004	Studio di fattibilità per una metrotranvia in Como	COLORNI VITALE, ALBERTO;D. CICCARELLI;A. LUE';D. ROSSI	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533601	2004	Il Sistema DREAMS: Demand Responsive Extended Area Mobility Services	COLORNI VITALE, ALBERTO;D. CICCARELLI;A. LUE';V. MORROCCHI;D. ROSSI	
07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/664582	2004	Sistema di identità visiva di Palazzo dei Pio a Carpi	GUIDA, FRANCESCO ERMANNO	
07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/665878	2004	Piano di marketing territoriale per l’area dell’Oltrepò Mantovano	SCHIAFFONATI, FABRIZIO;STEVAN, CESARE ANTONIO;MUSSINELLI, ELENA GERMANA;CASONI, GIORGIO;CELASCHI, FLAVIANO;FANZINI, DANIELE;TROCCHIANESI, RAFFAELLA	
07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/689386	2004	Concorso di idee per un centro socio-ricreativo da realizzare sull’area pubblica denominata Nava	NEBULONI, ATTILIO;R. Bosia;T. Bosia;M. Besseghini;R. Malvestiti	
07 ALTRO::07.03 Design	http://hdl.handle.net/11311/958792	2005	Picasso. La seduzione del classico	GADDI, ROSSANA;MARIANI, CIRO	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533387	2005	MANTEROMOOD.DVD MULTIMEDIALE	GALBIATI, MARIA LUISA;FRANCESCO GALLI	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/687794	2005	Le tecnologie dell’informazione e della comunicazione e lo sviluppo locale	MANZINI, EZIO;RIZZO, FRANCESCA	
07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/638720	2005	Biblioteca di Storia dell'Arte e restauro della Manica Lunga	DE LUCCHI, MICHELE	
