dc.date.issued	dc.type.full	dc.identifier.uri	dc.title	dc.description.allpeople
2002	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/665920	Contratto di quartiere San Giuseppe Baia del Re di Piacenza. Il controllo di qualitÃ  e la flessibilitÃ  nel progetto di riqualificazione	F. Schiaffonati; A. Scoccimarro; D. Fanzini; C. Bianchi; A. Cavalleri; L. Collina; M. CorÃ²; L. Daglio; A. Fantini; E. Ginelli; E. Mussinelli; M. Sancito; F. Vitola
2002	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/667407	Concorso internazionale ad inviti per la realizzazione del â€œMuseo dell'audiovisivo nel Palazzo della CiviltÃ  del Lavoro all' EURâ€ Roma	E. Avallone; G. Carbonara; G. Colucci; M. Fegiz; F. Galdo; M. Musmeci; S. Orsi; G. Pierluisi; M. sasso; A. Sciolari
2003	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/259638	Proceedings of the 8th International Conference on Human Aspects of Advanced Manifacturing: Agility & Hybrid Automation	S. Bagnara; S. Pozzi; A. Rizzo; F. Rizzo; S. Save
2003	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/565393	Il tempo ai tempi di internet	Guida F. E.
2003	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/565394	Ma che strani tipi	Guida F. E.
2003	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/570645	Alitalia: un'Italia senza ali	M. Ponti
2003	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/570646	La leggenda del corridoio Lisbona - Kiev	M. Ponti
2003	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/638724	Allestimento degli interni e grafica del Neues Museum Berlino	M. De Lucchi
2003	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/667402	Concorso Internazionale Europan 7: â€œperiferia-INâ€ sito di Bageria (PA), Italia	E. Avallone; M. De Angelis; G. Forte; S. Orsi;  G. Pierluisi; A. Sciolari
2003	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/667405	Concorso internazionale di progettazione in due fasi â€œMille idee per un concorsoâ€ per la costruzione della nuova sede dell'Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise, Teramo.	E. Avallone; M. Cocciolito;  F. Galdo; G. Lupoi; M. Musmeci; S. Orsi;  G. Pierluisi; A. Sciolari
2003	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/689382	Nuova Sede del Consiglio Regionale	P. Portoghesi; C. Blasi; G. Padovano; A. Nebuloni; M. Ruscelli
2003	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/689384	"Centro Europeo per le CreativitÃ  Emergenti - concorso internazionale ""ex Tabacchificio Centola"""	C. Blasi; A. Nebuloni; G. Padovano
2004	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533385	LE PROFESSIONI DELLA TELEVISIONE-LEZIONE MULTIMEDIALE IN RAI	M. GALBIATI; GALLI FRANCESCO
2004	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533386	GRUPPO CIMBALI-FAEMA. DVD ISTITUZIONALE	M. GALBIATI; FRANCESCO GALLI
2004	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533600	Studio di fattibilitÃ  per una metrotranvia in Como	A. COLORNI VITALE; D. CICCARELLI; A. LUE'; D. ROSSI
2004	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533601	Il Sistema DREAMS: Demand Responsive Extended Area Mobility Services	A. COLORNI VITALE; D. CICCARELLI; A. LUE'; V. MORROCCHI; D. ROSSI
2004	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/664582	Sistema di identitÃ  visiva di Palazzo dei Pio a Carpi	Francesco E. Guida
2004	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/665878	Piano di marketing territoriale per lâ€™area dellâ€™OltrepÃ² Mantovano	F. Schiaffonati; C. Stevan; E. Mussinelli; G. Casoni; F. Celaschi; D. Fanzini; R. Trocchianesi
2004	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/689386	Concorso di idee per un centro socio-ricreativo da realizzare sullâ€™area pubblica denominata Nava	A. Nebuloni; R. Bosia; T. Bosia; M. Besseghini; R. Malvestiti
2005	07 ALTRO::07.03 Design	http://hdl.handle.net/11311/958792	Picasso. La seduzione del classico	R.Gaddi; C.Mariani
2005	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533387	MANTEROMOOD.DVD MULTIMEDIALE	M. GALBIATI; FRANCESCO GALLI
2005	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/687794	Le tecnologie dellâ€™informazione e della comunicazione e lo sviluppo locale	E. Manzini; F. Rizzo
2005	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/638720	Biblioteca di Storia dell'Arte e restauro della Manica Lunga	M. De Lucchi
2005	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/645335	Sistema per ufficio MDL	M. De Lucchi
2005	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/667397	Concorso Internazionale Europan 8, â€œUrbanitÃ  europea e progetti strategiciâ€, sito di Antalya, Turchia	E. Avallone; G. Forte; G. Pierluisi
2006	07 ALTRO::07.03 Design	http://hdl.handle.net/11311/958790	RenÃ© Magritte. L'impero delle luci	R.Gaddi; C.Mariani
2006	07 ALTRO::07.05 Esposizione	http://hdl.handle.net/11311/690252	New Italian Design	Branzi A.; Biamonti A.; Macchi D.
2006	07 ALTRO::07.06 Mostra	http://hdl.handle.net/11311/758849	Texture & Materials â€“ Urban Light Walk	G. Gerosa
2006	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/252025	Puntare sulla gente per vendere di piÃ¹	F. Zurlo
2006	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/268468	New Entertainment e Design Strategico	F. Zurlo
2006	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533312	A.D.A. Archivio Digitale di Architettura	R.MINGUCCI; G. AMORUSO; R. INGLESE; A. MARATA; G.BACCI; C.BARTOLOMEI; D. ANGELILLO
2006	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533523	Moda e Design: Cross Fertilization per l'innovazione	G. CONTI; P. BERTOLA
2006	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533556	Fit-Suit: Biodesign per lâ€™idrokinesiterapia	M. CANINA; VENERE FERRARO
2006	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533711	Il trasporto delle merci pericolose in galleria	R. MAJA; RAINOLDI G; ROMAN D; SALIMBENI R
2006	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533712	External Cost Assessment In Transalpine Corridors	R. MAJA; D. ROMANO'
2006	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/664578	European Logo Design Award (EULDA 06)	Francesco E. Guida
2006	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/664580	Award of Excellence Â«Communication ArtsÂ» (Usa)	Francesco E. Guida
2006	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/667394	Concorso di Progettazione, Project Financing, Metro D Roma, Fermate Ojetti e Pugliese e Nuovo Salario.	Mandataria SocietÃ  Italiana per le Condotte D'acqua; Mandante Impresa Pizzarotti &C.; Responsabile del progetto Geodeta S.p.a.; G. Fioravanti; F. Galdo; G.Pierluisi.
2007	07 ALTRO::07.03 Design	http://hdl.handle.net/11311/958784	Gli impressionisti, i simbolisti e le avanguardie. 120 capolavori dal museo nazionale di Belgrado.	R.Gaddi
2007	07 ALTRO::07.05 Esposizione	http://hdl.handle.net/11311/696728	Transforme	Conti G.; Bonapace D.; Botta F.; Burani S.
2007	07 ALTRO::07.06 Mostra	http://hdl.handle.net/11311/692361	"Mostra e giornata di studio: ""Lo Studio-Museo Achille Castiglioni della Triennale di Milano. Scenari di fruizione e prospettive di valorizzazione"" presso la Triennale di Milano - settembre 2007"	S. Annicchiarico; M. Parente; A. Seassaro
2007	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533866	Ernst von Glasersfeld and the Italian Operative School	S. Pizzocaro; R. Glanville
2007	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/565395	La ricerca del piacere	Guida  F.E.
2007	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/667288	Gabriele Pierluisi. Paesaggi urbani. Marte, Roma 2007-08	Massimiliano Fuksas; Camilla Pignatti Morano; Marta Fegiz; Laura De Iudicibus; Gabriele Pierluisi.
2007	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/667393	Concorso Internazionale di progettazione a Procedura ristretta  â€œMENO Ãˆ PIÃ™ 2â€, Servizi e spazi pubblici in Roma nei Programmi di Trasformazione Urbanistica. Tor Marancia Area del Divino Amore.	E. Avallone; G. Forte; M. Musmeci; S. Orsi;  G. Pierluisi; A. Sciolari
2008	07 ALTRO::07.03 Design	http://hdl.handle.net/11311/958787	L'abbraccio di Vienna. Klimt, Schiele e i capolavori del Belvedere	R.Gaddi
2008	07 ALTRO::07.05 Esposizione	http://hdl.handle.net/11311/881650	Case rapide, prefabbricate, smontabili	Feraboli M.T.
2008	07 ALTRO::07.06 Mostra	http://hdl.handle.net/11311/692358	Mostra: Studio Museo Achille Castiglioni, presso Shiodome Italia Creative Center, Tokyo	S. Annicchiarico; M. Parente; A. Seassaro
2008	07 ALTRO::07.06 Mostra	http://hdl.handle.net/11311/925758	"""FABIO NOVEMBRE. Insegna anche a me la libertÃ  delle rondini""."	Beppe Finessi
2008	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/534030	Una grande opera. Tutta da valutare	M. PONTI; P. BERIA
2008	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/546339	Lâ€™evoluzione dei Musei con lâ€™Information and Communication Technology	M. Canina; I. Celino; E. Frumento; A. Pagani; N. Simeoni
2008	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/546700	Enografie. Il design racconta i vini del Piemonte.	Giovanni Baule; Valeria Bucchetti
2008	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/546702	Interazioni grafico-strutturali	Valeria Bucchetti
2008	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/546712	Superfici (tra vista e tatto)	Valeria Bucchetti
2008	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/547523	Ottimizzazione della raccolta dei Rifiuti di Apparecchiature Elettriche ed Elettroniche (RAEE)	Maurizio Bruglieri; Fabiano Cattaneo; Andrea Colombo; Alberto Colorni
2008	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/548205	Enografie: il design dei percorsi narrativi	Giovanni Baule
2008	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/548276	Il futuro dellâ€™e-learning Ã¨ giÃ  passato	A. Colorni; S. Sancassani; L. Leita
2008	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/548486	Benefits and problems of e-learning, UE Committee on Culture Science and Education, Realising the full potential of e-learning at all levels of education.	Alberto Colorni Vitale
2008	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/550760	A passo lento nel tunnel	Grimaldi R.; Ponti M.
2008	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/550761	E sulla Milano-Venezia i conti non tornano	Grimaldi R.; Ponti M.
2008	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/560608	piattaforma LeNS	Vezzoli C.
2008	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/634054	Leggere il contesto per orientare il progetto. Metodologie e approcci per la produzione e visualizzazione di conoscenza ad orientamento della pratica progettuale nel design della moda.	Colombi Chiara
2008	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/689350	Occasioni di complessitÃ  sostenibile / Opportunities of sustainable complexity - ComplessitÃ  e sostenibiliÃ : il territorio e l'architettura n. 05	G. Padovano; C. Blasi; A. Nebuloni; I. Anastasio; V. Arrigoni
2008	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/689353	Gli spazi della complessitÃ  / The spaces of complexity - ComplessitÃ  e sostenibiliÃ : il territorio e l'architettura n. 06	G. Padovano; C. Blasi; A. Nebuloni; I. Anastasio; V. Arrigoni
2008	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/689354	Tendenze della ricerca universitaria - ComplessitÃ  e sostenibiliÃ : il territorio e l'architettura n. 07	G. Padovano; C. Blasi; A. Nebuloni; I. Anastasio; V. Arrigoni
2008	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/689355	Oltre l'architettura convenzionale / Beyond conventional architecture - ComplessitÃ  e sostenibiliÃ : il territorio e l'architettura n. 08	G. Padovano; C. Blasi; A. Nebuloni; I. Anastasio; V. Arrigoni
2008	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/689358	Nuovi spazi interattivi / New interactive spaces - ComplessitÃ  e sostenibiliÃ : il territorio e l'architettura n. 09	G. Padovano; C. Blasi; A. Nebuloni; I. Anastasio; V. Arrigoni
2008	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/550298	Progettazione della comunicazione visiva e degli apparati comunicativi per il Museo Nazionale Archeologico di Taranto	"arch. Francesco E. Guida (art direction);

Carla De Luca; Giovanni Dema; Nicola Scotto di Carlo; Jaana Zammer (collaboratori)."
2008	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/640520	Ponte di accesso al Triennale Design Museum	M. De Lucchi
