dc.date.issued	dc.type.full	dc.identifier.uri	dc.title	dc.description.allpeople
2012	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/725985	A system approach to design for sustainability and inclusion. Preliminary results of the EU funded TANGO project focused on intergenerational dialogue and eco-efficiency.	C. Vezzoli; E. Bacchetti
2012	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/732192	Agrindustrial Design 2012: Mediterranean Food Design	M. Ferrara; A. Can Ã–zcan; K. Nazan Turhan
2012	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/732995	Tecniche di 3d modeling: valutazione comparativa di metodologie di rilievo di un monumento funebre in legno	G. Amoruso; M. Russo; G. Perone Ghiggi
2012	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/738169	Analysis of Three Projects to Optimize the Design of Street Lights	D. Casciani; F. Musante; D. Paleari; M Rossi
2012	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/739570	Feeding Milano: A Challenging Design Experiment of Collaboration and Convivilaity	A. Meroni
2012	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/758936	A Lagrangean decomposition for tunnel interdiction in hazmat transportation	E.Amaldi;M.Bruglieri;A.Laurita;R.Maja
2012	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/758952	A Matheuristic Approach for the University Carpooling Problem	M.Bruglieri;A.Colorni;T.Davidovic;S.Roksandic
2012	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/759174	Multidisciplinary Education as A Unique Model to Support Innovation in the Fashion Industry: the Case of Milano Fashion Institute	Bertola, Paola; Colombi, Chiara; Vacca, Federica
2012	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/761877	A ludic approach to the local identity communication	I. Mariani
2012	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/762085	Generative Algorithms and associative modeling to design articulate surfaces	Giorgio Buratti
2012	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/762127	GANI Wall Design: studio di unâ€™applicazione per smartphone	Giorgio Buratti; A. Bozzon
2012	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/762347	A stochastic continuous cellular automata traffic flow model with a multi-agent fuzzy system	Ã–. Yeldan; A. Colorni Vitale; A. LuÃ¨; E. Rodaro
2012	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/762348	Green Move: an innovative electric vehicle-sharing system	A. LuÃ¨; A. Colorni; R. Nocerino; V. Paruscio
2012	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/762350	Innovative configurations for electric vehicle sharing services	M. Arena; G. Azzone; A. Colorni; A. Conte; A. LuÃ¨; V. Paruscio
2012	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/762467	Mirror emotions and sex games	M. Maiocchi; M. Pillan; M. Radeta; P. Righi Riva
2012	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/764746	Research for design education: some topics	A. Penati
2012	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/765343	Developing collaborative services in local contexts	Daria CantÃ¹; Marta Corubolo; Giulia Simeone
2012	-0	http://hdl.handle.net/11311/765358	Urban Perceptual Colour: Un approccio percettivo alla lettura della complessitÃ  cromatica della cittÃ  contemporanea	C. Boeri
2012	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/765362	Il colore negli spazi pubblici. Nuovi orientamenti di ricerca e progetto	C. Boeri
2012	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/765639	MODU.Lares: a Sustainable Design Project to improve wooden furniture production in a Brazilian context	NUNES, V.; ZURLO, F.; MACHADO, J.
2012	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/765640	MODU.Lares: a sustainable strategy for furniture sector in Brazil	NUNES, V.; ZURLO, F.
2012	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/765767	Design as strategy to improve wooden furniture production, through a network perspective	NUNES, V.; ZURLO, F.
2012	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/766211	Improving Knowledge of Risk in Dangerous Goods Transport	L. Studer; P. Gandini; F. Borghetti; V. Todeschini
2012	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/766442	Service Design for Social Interaction: Mobile technologies for a healthier lifestyle	P. Arslan; F. Costa; F. Casalegno
2012	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/766486	The scenographic city	Laura Galluzzo
2012	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/869982	The role of connections and users involvement in designing sustainable and longer lasting artefacts	Micocci M.; Salvia G.; Ostuzzi F.; Rognoli V.; Levi M.;
2012	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/982946	HousingLab, Exploring new ways of housing the city.	Rogel, Liat; Marta, Corubolo
2012	04.2 Abstract in Atti di convegno	http://hdl.handle.net/11311/683818	TeleFetal Care - A wearable Fetal ECG Monitor	A. Fanelli; M. G. Signorini; G. Magenes; G. Andreoni; T. Heldt
2012	04.2 Abstract in Atti di convegno	http://hdl.handle.net/11311/687786	Designing services for sociality and conviviality: the role of a meta-design study in discovering unexpected needs to design an innovative system of services for a closed condo	A. Deserti; F. Rizzo; A. Seassaro
2012	04.2 Abstract in Atti di convegno	http://hdl.handle.net/11311/687787	The human approach to smart cities: the peripheria project as a case of citizen centred design	A. Deserti; F. Rizzo
2012	04.2 Abstract in Atti di convegno	http://hdl.handle.net/11311/690213	Design and theatre: crossed paths	M. Celi; R. Trocchianesi
2012	04.2 Abstract in Atti di convegno	http://hdl.handle.net/11311/690215	Iconology as a matter of design between information visualization and artistic approach	R. Trocchianesi; P. Ciuccarelli
2012	04.2 Abstract in Atti di convegno	http://hdl.handle.net/11311/691471	Archetypical. Sharing values through a design experience	F.Vacca; C.Colombi
2012	04.2 Abstract in Atti di convegno	http://hdl.handle.net/11311/710145	The vehicle redistribution problem for an electric vehicle sharing service	M. Bruglieri; A. Colorni; A. LuÃ¨
2012	04.2 Abstract in Atti di convegno	http://hdl.handle.net/11311/762456	Expanding Interior Design through Social Sciences	E.E. Giunta; A. Rebaglio; F. Ruffa
2012	04.2 Abstract in Atti di convegno	http://hdl.handle.net/11311/763906	Teaching Material Design	M. Ferrara; S. lucibello
2012	04.2 Abstract in Atti di convegno	http://hdl.handle.net/11311/766131	How the logic of sharing change the way we design cultural systems	M. Bianchini; P. Bolzan; L. Galluzzo; D. Selloni
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/1019510	The Strength of Olistic Design for Organisation, between effectiveness and disruption	Galli, F.; Maiocchi, M.; Pillan, M.
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/1019513	Teaching Constraints, Learning Creativity: Leveraging the Guided Distractions	Pillan, M.; Maiocchi, M.; Radeta, M.
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/1019515	Multidisciplinary design for intercultural learning. Crafting digital services for a multicultural society	Pillan, M.; Suteu, I.
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/1035614	TEMPORARILY â€œHOMEâ€. Welcoming cities for homelessness: future scenarios of temporary houses in the urban contest	Rebaglio, Agnese; Giunta, ELENA ENRICA
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/1055382	Time-varying social networks in a graph database: [A Neo4j use case]	Cattuto, Ciro; Panisson, AndrÃ©; Quaggiotto, Marco; Averbuch, Alex
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/1055383	In bicicletta nella Smart City. Strumenti digitali crowsourcing a supporto della pianificazione urbana ciclabile	Quaggiotto, M.; Scacchetti, S.; Bloise, D.
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/657557	Lâ€™utopia razionalista: il disegno di un aereoporto sui tetti di Milano: (1933-34)	Michela Rossi; Giampiero Mele
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/688980	Traditional building cultures, landscape and sustainability	M.T. Feraboli
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/692330	Towards a Cross Cultural Society; from ethnicity to design, â€œnarrativeâ€ heritage drives innovation.	G. Conti; F. Galli; B. Pino
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/718345	Design research on sustainable mobility: an electric vehicle sharing service for Milano, Italy	B. Villari; A. LuÃ¨
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/718346	Connected Communities Of Makers	M. Mortati; B. Villari
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/718347	Making/Design Policies Together	S. Maffei; M. Mortati; B. Villari
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/721550	Twyle. Play with fashion, intelligently	G. Conti; R. Bacchini; F. Aradelli; L. Ascari
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/728968	BODY AS A SITE OF KNOWING IN DESIGN	N. Ilincic; L. Rampino
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/732596	Communication Design for Social Innovation in Packaging Supply-Chain	V. Bucchetti; E. Ciravegna; U. Tolino
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/732597	Communication Design for Welfare and Social Policies	V. Bucchetti; E. Ciravegna
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/734569	Cross-cultural design attitude: open-ended design solution for welcoming the Diversity	Giunta, ELENA ENRICA; Rebaglio, Agnese
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/735366	What Are You Telling Me? How Objects Communicate Through Dynamic Features	S. Colombo; L. Rampino; S. Bergamaschi
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/738170	Perceptions and Emotions of Urban Coloured Lighting Atmospheres	D. Casciani; M. Rossi
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/746571	Beyond Screens. Exploring product dynamic features as communication means	S. Colombo; L. Rampino
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/747810	"Evaluating services.

An exploratory approach beyond Service

Design"	S.Maffei; B.Villari; F.Foglieni
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/747837	"A community centred approach for neighbourhood-based services.

Connecting design education and research practices for social innovation"	B. Villari
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/750401	"Colore e geometria.

Un modello geodetico del colore per la preselezione delle varianti cromatiche del progetto."	Michela Rossi; Giorgio Buratti
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/751644	PLUS, Public Lighting Unit System	M. Rossi; Musante F.; Casciani D.; Fumagalli S.
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/758258	Full-scale fire tests in the Morgex north tunnel	A. Frassoldati; S. Tavelli; F. Borghetti; M. Derudi; R. Iuliano; P. Gandini; A. Cuoci
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/758458	Expressing Product Character: teaching Design Students how to exploit Form's Parameters	S. D. Ferraris; R. Gorno
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/758461	"Visual Elements of Products - An Educational Experience on ""Resetting and Reshaping a Product"""	Ferraris, SILVIA DEBORAH; Ferraro, Venere
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/758466	Spatial and Service Design meet up at Coltivando Convivial Garden at the Politecnico di Milano	D. Fassi; G. Simeone
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/758467	Coltivando: making a university convivial garden	D. Fassi; G. Simeone; E. Ballantyne-Brodie
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/758835	The design approach of Rooftop architecture	G. Gerosa
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/758870	"Le prospettive nel Sacro Monte di Ossuccio:  

panorami visivi e allestimenti scenici nel ""gran teatro alpino"".



â€œPerspectiveâ€ in the Sacro Monte di Ossuccio:

1 â€“ Backgrounds and scenes in the ""great theater alpine"""	Michela Rossi; Pompeiana iarossi
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/759453	"The Heritage of Time: an Experimental Project on
Aging Poetry and the Possibilities of Plastics"	Serena Camere; Raffaella Mangiarotti; Barbara Del Curto
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/760911	The â€œsurvey of memoryâ€. Cultural heritage of cemeteries and development of a cataloging protocol from the â€œrepresentationâ€ of multidisciplinary researches	Paolo Giandebiaggi; Michela Rossi; Cecilia Tedeschi
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/761850	Animation as Boundary Object. Promoting Cultural Changes through Audiovisual Design	F. Piredda; M. Ciancia; E. Bertolotti
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/761851	Transmedia phenomena: new practices in participatory and experiential content production	Ciancia, Mariana
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/761852	What is transmedia? Projects and thoughts beyond the buzzword	M. Ciancia
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/761876	Game and Play as Means for Learning Experiences	Bertolo, Maresa; Mariani, Ilaria
2013	-0	http://hdl.handle.net/11311/762043	Maniera Milano: 1513-1564 circa	MARANI, P.
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/762044	"The urban space as a narrative and ludic playground.

An interdisciplinary approach to communication design system"	I. Mariani; M. Ciancia
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/762047	Imagine Milan: An Audiovisual Design Thinking Approach to the Image of the City	M. Ciancia; W. Mattana
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/762066	"DESIGN TOOLS FOR ENHANCING THE PRODUCT SENSORY 

EXPERIENCE: AN APPLIED CASE STUDY"	Rampino, LUCIA ROSA ELENA; Colombo, Sara; Gorno, Roberta
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/762068	Information embodiment: how products communicate through dynamic sensory features	S. Colombo; L. Rampino
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/762072	Telltale: visualizing the use and perception of cities through digital traces.	Ciuccarelli Paolo; Lupi Giorgia; Eynard Davide; Manfredini Fabio; Matteucci Matteo; Caviglia Giorgio; Dilda Paolo; Marfia Fabio; Azzi Matteo
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/762108	Sensor validation for wearable monitoring system in ambulatory monitoring: application to textile electrodes	Andreoni, Giuseppe; Fanelli, Andrea; Witkowska, Izabela; Perego, Paolo; Fusca, MARCELLO CONO; Mazzola, Marco; Signorini, MARIA GABRIELLA
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/762131	La forma e l'immagine - Dal disegno di illustrazione al render	Giorgio Buratti
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/762318	Are citizens interested in their lit cities? A series of urban lighting impressions	D. Casciani
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/762338	Service Design Tools as Frameworks in the Generation of Business Ideas. An Action Research Case Study	L. Mata Garcia; A. Deserti; C. Teixeira
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/762340	Technologies for supporting inter-religious and inter-cultural dialogue at religious museums: the on-field experimental action of Museo Diocesano, Milano.	R. Capurro; S. Chiesa; E. Lupo; D. Spallazzo; R. Trocchianesi
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/762438	The vehicle relocation problem for the one-way electric vehicle sharing: an application to the Milan case	M. Bruglieri; A. Colorni; A. LuÃ¨
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/763325	Imagining the past of an Italian garden. A historical-virtual reconstruction of Villa lo Zerbino.	A. Toth; D. Spallazzo; M. Ceconello
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/763338	Il Design al Politecnico di Milano	Silvia Piardi
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/764742	Design school as incubators of social entrepreneurship	Daniela Selloni
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/764743	"SERVICE MAKERS

City dwellers and designers creating a Local Distribution System"	Selloni, Daniela
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/764747	Temporary Active-actions as urban re-appropriation strategies	E. Lupo; G. Postiglione
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/764772	Meaningful play: learning, best practices and reflections through games .	M. Bertolo; I. Mariani
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/765351	"From designing in protected environment to designing
in real contexts"	Daria CantÃ¹; Francesca Rizzo
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/765643	Design Project in wooden furniture MSEs: limits of collaboration in a Brazilian local context	NUNES, V.; ZURLO, F.
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/765751	Le prospettive nel Sacro Monte di Ossuccio. Il rilievo strumentale con il laser scanner 3D e note sul trattamento dei dati analitici	Giuseppe Amoruso; Alberto Sdegno
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/765752	â€˜Pretotypingâ€™ Boundary Objects: An Innovative Path To Promote Design Policies In A Brazilian Context	NUNES, V.; ZURLO, F.
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/765806	Conoscere, Progettare, Ricostruire. Design dei centri storci. Strumenti per la rappresentazione dell'identitÃ  territoriale	G. Amoruso; L. Galloni
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/766208	Innovating public services in urban environments: a SOC inspired strategy proposal	E. Puerari; G. Concilio; A. Longo; F. Rizzo
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/766446	Sistemi di rappresentazione cromatica cinetica nelle esperienze di Visual Music	Ricco' D.
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/766447	Evaluation of an Automatic Taxiway Guidance Lights System within an airport	G. Marchionni; M. Ponti; R. Gatti; G. Pirani
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/766496	Designing a Creativity Training Plan for Companies	Canina, MARIA RITA; Coccioni, MARIA ELISABETTA; Anselmi, Laura; Palmieri, Stefania
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/766497	Designing Training Plans in Creativity Techniques for Companies	Canina, MARIA RITA; Anselmi, Laura; Coccioni, MARIA ELISABETTA
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/766498	DESIGN and CREATIVITY: innovation levers for Networks of enterprises	Canina, M.; Coccioni, E.; Anselmi, L.;Palmieri, S.
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/768288	Teaching Constraints, Learning Creativity	M. Pillan; M. Maiocchi; M. Radeta
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/768886	â€œPer il pittore che cosâ€™Ã¨ la luce se non uno stato del colore?â€  Gino Severini, il tono e lâ€™ â€˜ambiente emotivoâ€™	A.Mazzanti
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/770094	"Le prospettive nel Sacro Monte di Ossuccio: panorami visivi e allestimenti scenici nel ""gran teatro alpino"". Perspective in the Sacro Monte di Ossuccio: backgrounds and scenes in ""the great theater alpine"""	Iarossi, MARIA POMPEIANA; Rossi, Michela
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/798322	Cemeteries: a monument of our civic heritage. Monuments knowledge, architecture conservation, urban rehabilitation.	Michela Rossi
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/801721	Lâ€™Aquila: bringing new life to the historical centre	L. Guerrini
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/802560	"TECHNOLOGICAL INNOVATION AND PROCESS INNOVATION TO
SUPPORT THE RESTORATION OF CLASSIC CARS"	M. Ceconello; D. Spallazzo; A. Lopane
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/803318	SEETY: Exploring the lighting colours of Milano Downtown	Casciani D; Rossi M
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/803319	Solid state light: efficacy and Colour Rendering Index	Musante, Fulvio; Rossi, Maurizio; Siniscalco, Andrea
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/804921	Minerva: an Information Visualization Tool to Support Philosophical Historiography	Valerio Pellegrini; Giorgio Caviglia; Paolo Ciuccarelli
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/804933	Il colore fra tradizione e sperimentazione nella pratica artigianale design driven. Lâ€™esperienza di Design al tombolo: atelier di pratiche estetiche partecipate.	"I. Guglielmetti; E. Ascari; E. E. Giunta; G. Pils; A. Spagnoli; R.
Trocchianesi"
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/824555	Espressioni tipografiche, scritture sperimentali e lettere di gomma	Francesco E. Guida
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/824743	Intelligent design with chromogenic materials	M. Ferrara; M. Bengisu
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/824795	"THE SENSE OF PLACE. How Art and Communication Design define the identities of the urban space, in ""Knowing (by) Designing Conference Proceedings"""	Daniela Calabi; Elisa Chiodo
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/824796	"COMMUNICATION DESIGN FOR URBAN ENVIRONMENT. AN
UNCONVENTIONAL APPROACH TO THE CITY BRANDING, in ICERI2013 Proceedings. 6th International Conference of Education, Research and Innovation."	Daniela Calabi; Elisa Chiodo
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/824797	DIGITAL PUBLISHING FOR URBAN SPACE AND LOCAL IDENTITIES. DIDACTIC METHOD AND EXPERIMENTAL PROJECTS, in ICERI2013 Proceedings. 6th International Conference of Education, Research and Innovation.	Daniela Calabi; Elisa Chiodo; Sabrina Scuri
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/824813	"REPRESENTING THE IDENTITY OF URBAN SPACES. THE APPLICATION OF SEMIOTIC MODELS ON COMMUNICATION
DESIGN FORMATS, in INTED2013 Proceeding"	D. Calabi; S. Scuri; E. Chiodo
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/824814	"COMMUNICATION DESIGN FOR URBAN SPACE: EDUCATIONAL
MODELS AND EXAMPLES OF DIDACTICAL APPLICATIONS, in INTED2013 Proceedings"	Daniela Calabi; Elisa Chiodo; Sabrina Scuri
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/824934	Simulazione del processo infusivi per la produzione di uno scafo in bio-composito	Andrea Ratti; Cristian Ferretti; Andrea Crucianelli; Gianluca Massaccesi
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/826337	Spatial Design for New Typologies of Places: In-Between Urban Spaces	G. Piccinno; E. Lega
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/826338	Beauty and sustainability - Survey on Liberty heritage in Varese and Ticino area	A. ANZANI; A. BAILA; C. CARAMEL; M. GUARISCO
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/826340	"Conservation and restoration of polychrome stone mosaics in the architectures of the historical park of Villa Tatti Tallacchini
The music pavilion â€“ CafÃ© house"	Angela Baila; Lorenzo Mazza; Anna Anzani
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/826930	System design for sustainable energy for all	Vezzoli C.; Delfino E.
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/827535	"A NEW WAY OF COLLABORATING BETWEEN ENTERPRISE AND

UNIVERSITY: RESEARCH NETWORKS"	Palmieri, S.
2013	-0	http://hdl.handle.net/11311/828527	Atelier of Smart Garments and Accessories	M.  Caon;Y.  Yue;G.  Andreoni;E.  Mugellini
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/828530	Motion analysis and eye tracking technologies applied to portable ultrasound systems user interfaces evaluation	G.  Andreoni;M.  Mazzola;D.  Zambarbieri;L.  Forzoni;S.  D'Onofrio;S.  Viotti;G.  Santambrogio;G.  Baselli
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/837138	AN EXPLORATIVE APPROACH TO MASTER THESIS DEVELOPMENT: DESIGN DRIVEN INNOVATION THROUGH MODE OF USE LEVER AND PARTICIPATORY DESIGN	Venere Ferraro; Matteo Oreste Ingaramo
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/862750	The city colour planning, between instances of conservation and need for renewal	Boeri, Cristina
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/862947	Lâ€™archivio in mostra	Irace F.
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/873958	Color design and industriale landscape	Cristina Boeri; Isabel Braz de Oliveira; Mariacristina Giambruno
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/935194	The living lab approach to codesign solutions for human smart cities: lessons learnt from PeriphÃ¨ria Project	Rizzo F.; Concilio G.; Marsh J.; Molinari F.
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/940555	Weaving data, slicing views	M. Mauri; A. Pini; D. Ciminieri; P. Ciuccarelli
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/957181	Shaping Organizational Complexity	A.  Pini;P.  Ciuccarelli
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/957356	Knot: an interface for the study of social networks in the humanities	Giorgio  Uboldi;Giorgio  Caviglia;Nicole  Coleman;SÃ©bastien  Heymann;Glauco  Mantegari;Paolo  Ciuccarelli
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/957979	What Is a Decision Problem? Preliminary Statements	A. Colorni; A. TsoukiÃ s
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/959399	Telltale: Visualizing the Use and Perception of Cities Through Digital Traces	Paolo Ciuccarelli; Giorgia Lupi; Davide Eynard; F. Manfredini; Matteo Matteucci; Giorgio Caviglia; P. Dilda; Fabio Marfia; M. Azzi
2013	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/964307	The future of e-commerce experience: Marcopoloshop platform	Brugnoli, Gianluca, De Pasquale Antonio
2013	-0	http://hdl.handle.net/11311/1017232	Teaching Materials in Design: Three Approaches from Three Universities (Italy, the Netherlands, and Turkey)	Karana, E.; Rognoli, V.; Pedgely, O.
2013	04.2 Abstract in Atti di convegno	http://hdl.handle.net/11311/762439	A multi-objective route planner: a real world application to Milano city	M. Bruglieri; D. Ciccarelli; A. Colorni; F. Lia; A. LuÃ¨
2013	04.2 Abstract in Atti di convegno	http://hdl.handle.net/11311/762440	Cognitive mapping for decision aiding: an application to the design of a vehicle sharing service	A. Colorni; A. LuÃ¨; R. Nocerino
2013	04.2 Abstract in Atti di convegno	http://hdl.handle.net/11311/832125	Hazmat Routing by Compulsory Checkpoints: a New Risk Mitigation Policy	M. Bruglieri; P. Cappanera; M. Nonato
2013	04.2 Abstract in Atti di convegno	http://hdl.handle.net/11311/968578	Design for Service comes to Service Logic	Wetter Edman, Katarina; Sangiorgi, Daniela; Edvardsson, Bo; Holmlid, Stefan; GrÃ¶nroos, Christian; Mattelmaki, Tuuli
2014	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/1005177	Semiotics and Global Products Design	Salvatore, Zingale; Felipe, Domingues; Dijon, De Moraes
2014	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/1007416	Experimenting with materials-a source for designers to give meaning to new applications	Ayala GarcÃ­a, Camilo
2014	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/1020070	Small Scale Collaborative Services: The Role of Design in the Development of the Human Smart City Paradigm	Rizzo, F.; Deserti, A.
2014	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/1021725	Mobility and the Smart City. Innovative Solutions for Responsive Urban Spaces.	Brevi, F.; Zilvetti, M.
2014	04.1 Contributo in Atti di convegno	http://hdl.handle.net/11311/1021737	Il Rilievo per il Design di Prodotto - Surveying for Product Design	Brevi, F.; Gaetani, F.
