title,author,year,type,keywords,cluster
Antonio Balestra e la gioventù romana.,"MAFFEIS, RODOLFO",2016,02.1 Contributo in Volume,"Antonio Balestra, Benedetto Luti, Disegno, Barocco, Arcadia, Accademia di San Luca, Mostra, Catalogo, Ministero Beni Culturali, Storia dell'arte, Pittura, Settecento, Verona, Castelvecchio",nocluster
«Quasi dentatae rotae»: Leonardo disegna la Luna,"MAFFEIS, RODOLFO",2015,02.1 Contributo in Volume,"Leonardo da Vinci, Disegno, Manoscritti, Astronomia, Cosmologia, Filosofia Naturale, Aristotele, Alberto di Sassonia, Plutarco, Dante, Luna, Galileo",nocluster
L'equivoco del sole immobile: cosmologia di Leonardo tra disegni e testi,"MAFFEIS, RODOLFO",2015,02.1 Contributo in Volume,"Leonardo da Vinci, Disegno, Manoscritti, Astronomia, Cosmologia, Filosofia Naturale, Aristotele, Alberto di Sassonia, Niccolò Copernico, Luna, Sole, Eliocentrismo",nocluster
"Molto amore per nulla: il ""Furioso"" in pittura nel Settecento italiano","MAFFEIS, RODOLFO",2014,02.1 Contributo in Volume,"Ariosto, Orlando Furioso, Giambattista Tiepolo, Giuseppe Cades, Casanova, Angelica e Medoro, Pittura, Settecento",nocluster
Il cielo di Leonardo e uno Zodiaco dantesco.,"MAFFEIS, RODOLFO",2016,02.1 Contributo in Volume,"Leonardo da Vinci, Luca Signorelli, Disegno, Pittura, Manoscritti, Dante, Pietro Alighieri, Divina Commedia, Purgatorio, Zodiaco, Astronomia, Cosmologia, Codice Atlantico, Accademia della Crusca, Rubecchio",nocluster
Credere nel business sociale,"GALBIATI, MARIA LUISA",2016,02.1 Contributo in Volume,Business sociale,nocluster
Contemporary Communication Scenarios,"GALBIATI, MARIA LUISA",2016,02.1 Contributo in Volume,-,nocluster
Le prassi comunicative nell’era digitale,"GALBIATI, MARIA LUISA",2016,02.1 Contributo in Volume,digitale,nocluster
Dalla Città Nuova alla Green City,"IRACE, FULVIO",2016,02.1 Contributo in Volume,"Antonio Sant'Elia, Città Nuova, Green City",nocluster
Metropolis,"IRACE, FULVIO",2017,02.1 Contributo in Volume,"Francesco Somaini, New York, scultura",nocluster
Luxusmarken-Management,"CAPPELLIERI, ALBA;TENUTA, LIVIA",2017,02.1 Contributo in Volume,"innovation, design, jewellery, alba cappellieri, politecnico di milano",nocluster
Engagement & storytelling for social innovation,"GALBIATI, MARIA LUISA",2016,02.1 Contributo in Volume,-,nocluster
Games telling stories of and for social innovation,"MARIANI, ILARIA",2016,02.1 Contributo in Volume,-,nocluster
A conversation with Marisa Galbiati & Ezio Manzini,"GALBIATI, MARIA LUISA;MANZINI, EZIO",2016,02.1 Contributo in Volume,-,nocluster
Enriching Geographic Maps with Accessible Paths Derived from Implicit Mobile Device Data Collection,"BIAGI, LUDOVICO GIORGIO ALDO;COMAI, SARA;MANGIAROTTI, RAFFAELLA;MATTEUCCI, MATTEO;NEGRETTI, MARCO;Yavuz, Secil Ugur",2016,02.1 Contributo in Volume,-,nocluster
Interior Design As An Environmental System Of “Activators Of Well-Being”: The Therapeutic Habitat Model For Alzheimer’s Disease,"GRAMEGNA, SILVIA MARIA",2017,02.1 Contributo in Volume,-,nocluster
Design capability and business innovation,"MORTATI, MARZIA;VILLARI, BEATRICE",2016,02.1 Contributo in Volume,-,nocluster
Progettare per la persona: la moda,"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA",2017,02.1 Contributo in Volume,-,nocluster
Interazioni e influenze nel progetto,"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA",2017,02.1 Contributo in Volume,-,nocluster
Stagionalità e riconoscibilità della moda,"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA",2017,02.1 Contributo in Volume,-,nocluster
Oltre l’abito. Progettare il corpo,"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA",2017,02.1 Contributo in Volume,-,nocluster
"Per il corpo, non solo l’abito","CONTI, GIOVANNI MARIA;FIORANI, ELEONORA",2017,02.1 Contributo in Volume,-,nocluster
Progettare per un corpo vestito,"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA",2017,02.1 Contributo in Volume,-,nocluster
L’abito sul corpo,"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA",2017,02.1 Contributo in Volume,-,nocluster
Abiti fluidi su corpi fluidi,"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA",2017,02.1 Contributo in Volume,-,nocluster
Il progetto del corpo maschile,"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA",2017,02.1 Contributo in Volume,-,nocluster
L’abito maschile nel meridione d’Italia,"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA",2017,02.1 Contributo in Volume,-,nocluster
La figura del sarto e la sua formazione,"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA",2017,02.1 Contributo in Volume,-,nocluster
Il passato come riscoperta delle future tradizioni,"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA",2017,02.1 Contributo in Volume,-,nocluster
Abiti maschili ibridi: tra lo sportivo e il sartoriale,"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA",2017,02.1 Contributo in Volume,-,nocluster
Due progetti di cappello: il Borsalino e la coppola,"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA",2017,02.1 Contributo in Volume,-,nocluster
"La grafica essenziale di Gino Anselmi, un napoletano razionalista","GUIDA, FRANCESCO ERMANNO",2017,02.1 Contributo in Volume,"progettazione grafica, design della comunicazione",nocluster
Universidade Federal do Parana,"NEBULONI, ATTILIO;Blasi, C.;Carreno, B.;Padovano, B.;Righi, R.",2016,02.1 Contributo in Volume,-,nocluster
Sede do Governo Estadual do Maranhao,"NEBULONI, ATTILIO;Bertacchini, P.;Blasi, C.;Padovano, B.;Pontes, P.",2016,02.1 Contributo in Volume,-,nocluster
Approcci alla complessità nel progetto sostenibile / Approaches to complexity in sustainable design,"NEBULONI, ATTILIO",2016,02.1 Contributo in Volume,-,nocluster
Castione della Presolana (Bergamo): le due case sorelle di Gio Ponti,"CIAGA', GRAZIELLA LEYLA",2015,02.1 Contributo in Volume,-,nocluster
La premessa necessaria: muoversi in un mondo in continuo movimento.,"CEPPI, GIULIO",2016,02.1 Contributo in Volume,-,nocluster
Archeologia e fortuna del Cenacolo di Leonardo,"MARANI, PIETRO",2017,02.1 Contributo in Volume,-,nocluster
Celebrare l'interdisciplinarietà,"CEPPI, GIULIO",2017,02.1 Contributo in Volume,-,nocluster
"Probing Design. The outcomes of doctoral research at Politecnico di Milano, Year 2017","GUERRINI, LUCA;BIAMONTI, ALESSANDRO",2017,02.1 Contributo in Volume,-,nocluster
