dc.type.full;dc.identifier.uri;dc.language.iso;dc.date.issued;dc.type.circulation;dc.publisher.name;dc.publisher.country;dc.publisher.place;dc.relation.ispartofbook;dc.relation.medium;dc.relation.conferenceplace;dc.relation.conferencename;dc.title;dc.subject.keywords;item.collection;item.openaireRights;dc.description.numberofauthors;dc.authority.people;;;;;
07 ALTRO::07.12 Altro;http://hdl.handle.net/11311/693515;ita;2000;nazionale;Edizioni Pananti;-0;Firenze;-0;-0;-0;-0;Lionello Balestrieri e le esposizioni;tardoromanticismo di fine XIX sec; futurismo; ritorno all'ordine figurativo;07.12 Altro;none;1;MAZZANTI, ANNA;;;
07 ALTRO::07.12 Altro;http://hdl.handle.net/11311/693554;ita;2000;internazionale;Maggioli;ITA;Santangelo di Romagna;-0;-0;-0;-0;“Sentieri nell’arte”. Arte ambientale in Toscana;arte ambientata; arte ambientale; scultura in spazi aperti;07.12 Altro;none;1;MAZZANTI, ANNA;;;
07 ALTRO::07.13 Progetti;http://hdl.handle.net/11311/667413;ita;2000;-0;Comune di Roma;-0;-0;-0;-0;Roma, Italia;Concorso internazionale in due fasi;Concorso internazionale in due fasi “Ampliamento della Galleria Comunale d'Arte Moderna e Contemporanea. Ex-Fabbrica Peroni” a Roma.;-0;07.13 Progetti;none;6;"E. Avallone;L. Montuori;R. Petrachi;S. Orsi;PIERLUISI, GABRIELE;A. Sciolari";;;;;
07 ALTRO::07.12 Altro;http://hdl.handle.net/11311/533557;ita;2001;nazionale;-0;-0;-0;La Repubblica Salute anno 7 n. 286;-0;-0;-0;Gamba “intelligente” cambia il passo secondo il terreno;-0;07.12 Altro;none;3;"CANINA, MARIA RITA;GENNARO VERNI;PIERLUIGI VALENTINI";;;;;
07 ALTRO::07.13 Progetti;http://hdl.handle.net/11311/640519;eng ita;2001;-0;ADI - Associazione per il Disegno Industriale;-0;-0;-0;-0;Milano;Compasso d'Oro;Stampante Ink Jet Artjet 10 (XP 30);-0;07.13 Progetti;none;1;DE LUCCHI, MICHELE;;;;;
07 ALTRO::07.13 Progetti;http://hdl.handle.net/11311/667409;ita;2001;-0;Europan Italia e Comune di Massa.;-0;-0;-0;-0;Massa, Italia;Concorso Internazionale di progettazione Europan 6;Concorso Internazionale Europan 6, “Urbanità europea e progetti strategici”, Sito di Massa, Italia.;-0;07.13 Progetti;none;7;"E. Avallone;L. Montuori;M. Musmeci;R. Petrachi;S. Orsi;PIERLUISI, GABRIELE;A. Sciolari";;;;;
07 ALTRO::07.13 Progetti;http://hdl.handle.net/11311/667411;ita;2001;-0;S.T.A. Comune di Roma;-0;-0;-0;-0;Roma, Italia;Concorso internazionale di progettazione;Concorso internazionale di progettazione “Tre Parcheggi di scambio” Roma Nuovo Salario.;-0;07.13 Progetti;none;7;"E. Avallone;M. Fegiz;F. Galdo;M. Musmeci;S. Orsi;PIERLUISI, GABRIELE;A. Sciolari";;;;;
07 ALTRO::07.03 Design;http://hdl.handle.net/11311/1049491;ita;2002;-0;Lugo Editore;ITA;2002;Blue Industries;STAMPA;-0;-0;Blue Industries: Dove nasce il futuro: design, innovazione e impresa;-0;07.03 Design;info:eu-repo/semantics/closedAccess;1;davide bruno;;;;;
07 ALTRO::07.12 Altro;http://hdl.handle.net/11311/533384;-0;2002;internazionale;-0;-0;-0;DILABB, PRESENTAZIONE DEL SISTEMA DEL LABORATORI DELLA FACOLTA DEL DESIGN;-0;-0;-0;DILABB;-0;07.12 Altro;none;2;"GALBIATI, MARIA LUISA;FRANCESCO GALLI";;;;;
07 ALTRO::07.12 Altro;http://hdl.handle.net/11311/570634;-0;2002;nazionale;-0;-0;-0;-0;-0;-0;-0;I grandi progetti infrastrutturali: divergenze sui criteri di valutazione;-0;07.12 Altro;none;2;"PONTI, MARCO GUIDO;A. Boitani";;;;;
