dc.publisher.place,dc.type.referee,item.collection,item.openaireRights,dc.subject.keywordsita,dc.subject.keywords,dc.identifier.uri,dc.date.issued,dc.type.full,dc.type.circulation,dc.relation.medium,dc.language.iso,dc.publisher.country,dc.description.numberofauthors,dc.publisher.name,dc.authority.people,dc.title
"Hershey, PA 17033-1240, USA",Esperti anonimi,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/openAccess,-,-,http://hdl.handle.net/11311/1019554,2016,03 LIBRO::03.1 Monografia o trattato scientifico,-,ELETTRONICO,eng,USA,1,IGI Global,"AMORUSO, GIUSEPPE",Handbook of Research on Visual Computing and Emerging Geometrical Design Tools
Mantova,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/1022048,2017,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,eng;ita,ITA,1,Corraini Edizioni,"FINESSI, GIUSEPPE",SaloneSatellite. 20 anni di nuova creatività
"Raleigh, NC",-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/openAccess,-,-,http://hdl.handle.net/11311/1026910,2016,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,eng,USA,1,"Lulu Press, Inc","MURANO, FRANCESCO",LIGHTING ARTWORKS IN ART EXIBITIONS
-,Comitato scientifico,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,design degli spazi,-,http://hdl.handle.net/11311/1028150,2015,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,ita,ITA,1,Maggioli spa,"FASSI, DAVIDE",Sulla spiaggia
milano,Esperti non anonimi,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/1029588,2017,03 LIBRO::03.1 Monografia o trattato scientifico,-,ELETTRONICO,eng,ITA,1,francoangeli,"BIAMONTI, ALESSANDRO",Design & Interiors. Considerations on an evolving discipline between education and profession
Milano,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/1031371,2017,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,-,1,FrancoAngeli,"CIASTELLARDI, MATTEO",Media Culture Design. Introduzione alla Cultura dei Media per il Design della Comunicazione
-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/1031375,2017,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,-,1,LED,"CIASTELLARDI, MATTEO","La Gestione Bottom-up dell'Informazione in Rete. 
Analisi progettuale e sintesi critica dei sistemi partecipativi online"
Milano,Nessuno,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/1036475,2017,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,ita,ITA,2,Franco Angeli,F. Bianco;L. Rampino,Il designer in azienda. Il viaggio d'esplorazione di un giovane designer in una PMI no-design
Santarcangelo di Romagna,Comitato scientifico,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/1037393,2017,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,-,1,Maggioli Editore,A. Rebaglio,Interior(c)ity. Il design di interni urbani pres-agisce storie nuove.
Venezia,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/1038437,2015,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,eng;ita,ITA,2,Marsilio Editori,L. Tenuta;V. Vecchi,GIOIELLI IN TAVOLA | FOOD JEWELLERY
VENEZIA,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/1038440,2015,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,eng;ita,ITA,1,MARSILIO EDITORI,L. TENUTA,SKIN: LA SUPERFICIE DEL GIOIELLO | SKIN: THE SURFACE OF THE JEWEL
VENEZIA,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/1038441,2016,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,eng;ita,ITA,1,MARSILIO EDITORI,L. TENUTA,IL GIOIELLO E IL VIAGGIO | JEWELLERY AND JOURNEY
-,Comitato scientifico,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/1039133,2015,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,eng,-,2,SPRINGER,"F. Zurlo;DOS GUIMARAES ALVIM NUNES, VIVIANE",Designing Pilot Projects as Boundary Objects. A Brazilian Case Study in the Promotion of Sustainable Design
-,Comitato scientifico,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/1039811,2017,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,eng,-,3,Springer,F. Foglieni;B. Villari;S. Maffei,Designing better services. A strategic approach from design to evaluation
MIlano,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/openAccess,-,-,http://hdl.handle.net/11311/1039820,2017,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,ita,ITA,4,Libraccio Editore srl,"Maffei, Stefano;Bianchini, Massimo;Parini, Barbara;DELLI ZOTTI, ELISA",MakeToCare. Un ecosistema di attori e soluzioni user-centered per l'innovazione nel campo dell'healthcare
Milano,Comitato scientifico,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,"Jewellery design, Chains, History of Jewellery, Alba Cappellieri, design del Gioiello, Gioiello, Accessorio Moda, Storia del Gioiello, Innovation",http://hdl.handle.net/11311/1041104,2018,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,eng;ita,ITA,1,Silvana Editoriale,"Cappellieri, Alba","Catene:Gioielli tra storia, funzione e ornamento. Chains: jewellery in history, function and ornament"
Milano,Comitato scientifico,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,"Jewellery, Design, Functional Jewellery, Design del gioiello, gioiello funzionale, innovazione gioiello, Jewellery Innovation, Alba Cappellieri",http://hdl.handle.net/11311/1041106,2017,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,eng;ita,ITA,1,Silvana Editoriale,Cappellieri Alba,"Gioielli Funzionali, Functional Jewellery"
Bologna,Esperti anonimi,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/openAccess,-,-,http://hdl.handle.net/11311/1044114,2017,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,ita,ITA,1,Società editrice il Mulino spa,"Crabu, Stefano",Dalla molecola al paziente. La biomedicina nella società contemporanea
Cham,Esperti anonimi,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/1044392,2018,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,eng,CHE,2,Springer,"Spallazzo, Davide;Mariani, Ilaria",Location-Based Mobile Games. Design Perspectives
Sesto San Giovanni (Milano),Comitato scientifico,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,"Design, Rito, Design for Cultural Heritage, Design and Humanities",http://hdl.handle.net/11311/1044670,2017,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,ITA,2,Mimesis,G. Pils;R. Trocchianesi,Design e rito. La cultura del progetto per il patrimonio rituale contemporaneo
Cham,Esperti anonimi,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/1044702,2018,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,eng,CHE,2,Springer - Politecnico di Milano,M. Bengisu;M. Ferrara,"Materials that Move. Smart Materials, Intelligent Design"
Cermenate (CO),Nessuno,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/openAccess,"didattica, design, disegno industriale, arredo, mobile, cucina",-,http://hdl.handle.net/11311/1045755,2018,03 LIBRO::03.1 Monografia o trattato scientifico,-,ELETTRONICO,ita,ITA,5,New Press Edizioni srl,R. de Paolis;M. S. Tresoldi;G. Buratti;L. Dellera;E. Lupidi,Laboratori d'arredo. Didattica e progetti di design tra tradizione e innovazione
Milano,Nessuno,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/openAccess,-,"industria tessile, distretti industriali, arredo, disegno industriale",http://hdl.handle.net/11311/1045761,2000,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,ita,ITA,3,POLI.design,R. de Paolis;A. Deserti;F. Celaschi,Furniture e Textile design. Ricerca applicata e formazione come strategie per l'area comasca
Firenze,Esperti non anonimi,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,"Benedetto Luti, Arte, Pittura, Settecento, Firenze, Roma, collezionismo, catalogo ragionato, Medici, Arcadia",-,http://hdl.handle.net/11311/1045958,2012,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,eng;ita,ITA,1,Mandragora s.r.l.,Rodolfo Maffeis,Benedetto Luti: l'ultimo maestro
milano,Esperti non anonimi,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/openAccess,"Design, alzheimer, terapie non farmacologiche,",-,http://hdl.handle.net/11311/1047608,2018,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,ita,ITA,1,FrancoAngeli,"alessandro, biamonti",Design & Alzheimer
Milano,Esperti anonimi,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/1048748,2018,03 LIBRO::03.1 Monografia o trattato scientifico,-,ELETTRONICO,eng,ITA,1,Franco Angeli,Lucia Rampino,Evolving Perspectives in Product Design. From Mass Production to Social Awareness
Milano,Esperti non anonimi,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/openAccess,-,-,http://hdl.handle.net/11311/1049832,2018,03 LIBRO::03.1 Monografia o trattato scientifico,-,ELETTRONICO,eng,ITA,3,Franco Angeli,"Meroni Anna;SELLONI, DANIELA;ROSSI, MARTINA",MASSIVE CODESIGN
Milano,Esperti non anonimi,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,"Lighting, Color, Design, Visual Perception, CAD, Cultural Heritage",-,http://hdl.handle.net/11311/1051184,2018,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,ita,ITA,1,Gruppo del Colore - Associazione Italiana Colore,M. Rossi,"Il Design dell’illuminazione: dalla cultura del progetto, al colore, al CAD"
Firenze,Comitato scientifico,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/1051292,2018,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,ITA,3,Mandragora,Bertola P.;Colombi C.;Vacca F.,FASHIONabilities. Pianificare e gestire i processi di progettazione del prodotto moda
-,Esperti anonimi,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/1051311,2018,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,ITA,1,Maggioli,B Di Prete,SPAZIO AL CIBO. IL RUOLO DEL DESIGN NEL PROGETTO DELL’ALTA CUCINA
Milano,Nessuno,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,"design, innovazione, economia, marketing",http://hdl.handle.net/11311/1054512,2018,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,ita,ITA,1,Lupetti Editori di Comunicazione srl,Marco Turinetto,"Idee in movimento, il valore economico dell'innovazione"
ITA,Comitato scientifico,03.1 Monografia o trattato scientifico,none,-,certificazione eucip,http://hdl.handle.net/11311/1054598,2007,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,ita,ITA,4,Tecniche Nuove,G. BIGINI;M. BRAMBILLA;CAPPIELLO C;F. RIZZO,EUCIP Guida alla certificazione per professionisti IT
Londra,Comitato scientifico,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/openAccess,-,-,http://hdl.handle.net/11311/1056583,2018,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,eng,GBR,7,Springer,Vezzoli C.;Ceschin F.;Osanjo L.;M’Rithaa M. K.;Moalosi R.;Nakazibwe V.;Diehl J. C.,Designing Sustainable Energy for All. Sustainable Product-Service System Design Applied to Distributed Renewable Energy
Curitiba,Comitato scientifico,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/openAccess,-,-,http://hdl.handle.net/11311/1056593,2018,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,por,BRA,11,Editora insight,Vezzoli C.;Kohtala C.;Srinivasan A.;Xin L. Aguinaldo dos Santos;Liliane Iten Chaves;Leonardo A. G. Castillo;Carla. R. P. Gómez;Viviane G. A. Nunes;Priscilla R. Lepre;Rita C. Engler;Suzana B. Martins,Sistema Produto+Serviço Sustentável: Fundamentos
Bologna,Comitato scientifico,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/1056751,2014,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,ita,ITA,1,Bononia University Press,"Cordera, Paola",La fabbrica del Rinascimento. Frédéric Spitzer mercante d'arte e collezionista nell'Europa e delle nuove nazioni
Novara,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/1056752,2010,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,eng;ita,ITA,1,DeAgostini,Cordera Paola,"Codex Atlanticus. L’architettura, le feste e gli apparati. Disegni di Leonardo dal Codice Atlantico"
-,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/1057651,2016,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,-,8,ListLab,giovanni baule;valeria bucchetti;alberto capatti;giulio ceppi;claudio cerritelli;elisabetta longari;giacomo mojoli;ida regalia,Nutrirsi per immagini. Scritti di Alberto Veca per la gola
-,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/1057654,2018,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,eng,-,2,LIST Lab,Marinela ferrara;giulio ceppi,Idea and the matter
-,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/1057656,2018,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,-,1,Magonza,Giulio ceppi,Scollamenti temporali
-,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/1057657,2015,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,-,1,Esperia,Giulio Ceppi,L'isola rovescia
Milano,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/openAccess,-,-,http://hdl.handle.net/11311/1058800,2018,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,eng,ITA,4,Libraccio,Maffei S.;Bianchini M.;Parini B.;Delli Zotti,MakeToCare. An ecosystem of actors and user-centred solutions for innovation in the healthcare sector
"Hershey, PA",Esperti anonimi,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/1063169,2018,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,eng,USA,28,IGI Global,"Alessio Erioli;Maria Voyatzaki;Dimitris Gourdoukis;Fabio Bianconi;Marco Filippucci;Matteo Margutti;Margherita Stramaccia;Roberto Naboni;Ingrid Paoletti;Tommaso Empler;Mauro Chiarella;Matias Dalla Costa;Alessandro Luigini;Starlight Vattano;Andrea Vanossi;Ioanna Symeonidou;Domenico D’Uva;LO TURCO, MASSIMILIANO;BAUSOLA PAGLIERO, YOSEPH;Alessandro Buffi;Buthayna Hasan Eilouti;Giuseppe Amoruso;Giuseppe Fallacara;Maurizio Barberio;Pierpaolo Ruttico;Stefano Converso;Simone Giostra;Vito Sirago",Handbook of Research on Form and Morphogenesis in Modern Architectural Contexts
Milano,Esperti non anonimi,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/1065369,2018,03 LIBRO::03.1 Monografia o trattato scientifico,-,ELETTRONICO,eng,ITA,1,FrancoAngeli,M. Ciancia,TRANSMEDIA DESIGN FRAMEWORK. Design-Oriented Approach to Transmedia Practice
-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/1065599,2018,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,eng,-,1,Triennale,Barbara Anna,Monoloco stories
Bergamo,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/242790,2006,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,ita,-,1,Moretti & Vitali editori s.r.l.,"FIGIANI, MAURIZIO",Organizzazione e gestione della comunicazione nella pubblica amministrazione
Milano,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/242900,2006,03 LIBRO::03.1 Monografia o trattato scientifico,internazionale,-,-,-,7,SINA spa,"R. Arditi;R. Javicoli;MAJA, ROBERTO;PONTI, MARCO;SALA, GABRIELLA;STUDER, LUCA PASINO;VERONESI, ELEONORA",Trans-Alps: a trasnport model to support the traffic management
Milano,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/243936,2005,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,-,1,Edizioni Poli.Design,"BREVI, FAUSTO",L’uso della falsa prospettiva come strumento di gestione degli spazi architettonici. La prospettiva nella scenografia di Europa riconosciuta
Milano,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/245822,2005,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,ita,-,2,Clup,"S. Pangrazzi;PIARDI, SILVIA ELVIRA MARIA",Requisiti ecosistemici degli edifici residenziali. L'esperienza di Bovisa 90 - La Casa ecologica.
Milano,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/246723,2005,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,ita,ITA,1,Edizioni Poli.Design,"COLLINA, LUISA MARIA VIRGINIA","Design e Metaprogetto. Teorie, strumenti, pratiche"
Milano,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/247603,2007,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,-,1,Franco Angeli,"CAPPELLIERI, ALBA",Moda e design: il progetto dell'eccellenza
Milano,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/248949,2006,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,-,3,Clup,"FERRARIS, SILVIA DEBORAH;MAIOCCHI, MARCO MARIA;M. Romero",Esercizi di stile
Milano,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/250425,2005,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,-,1,Edizioni Poli.Design,"GALBIATI, MARIA LUISA",Movie Design. Scenari progettuali per il design della comunicazione audiovisiva e multimediale
Roma,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/250878,2007,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,-,1,AIAP,"RICCO', DINA",Sinestesia e progetto
Bergamo,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/253331,2005,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,-,4,Moretti Honegger,"BONFANTINI, MASSIMO ACHILLE;G. Proni;TERENZI, MARINA TATIANA;ZINGALE, SALVATORE",Come inventare e progettare alla maniera di Poe. Filosofia della composizione
