dc.publisher.place,dc.type.referee,dc.relation.medium,item.openaireRights,item.collection,dc.subject.keywordsita,item.journal.title,dc.subject.keywords,dc.identifier.uri,dc.date.issued,dc.relation.conferenceplace,dc.type.full,dc.type.circulation,dc.relation.ispartofbook,dc.relation.conferencename,dc.language.iso,dc.publisher.country,dc.description.numberofauthors,dc.publisher.name,dc.authority.people,dc.title
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/253644,2002,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,"Ricerca, design e sperimentazione per l'innovazione di prodotto nel settore dell'accesorio moda: il caso Mangiameli",-,-,-,1,Edizioni Poli.Design,"GALBIATI, MARIA LUISA",Il progetto di Movie Image Design: il video come strumento didattico di ricerca
Pechino,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/253699,2005,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,internazionale,POINTS OF VIEW - WHAT’S MOVING IN ITALIAN   DESIGN,-,-,-,1,Ida,"IANNILLI, VALERIA MARIA",Interpretazione relazionale ed esperienziale dello spazio domestico
Bologna,-,ELETTRONICO,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/254135,2002,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,Aspetti e tendenze dell'economia siciliana,-,ita,ITA,4,Il Mulino,"A. Asmundo;G. Ciaccio;PONTI, MARCO GUIDO",Il sistema dei trasporti
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/254356,2007,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,Packaging: tra vista e tatto,-,-,-,1,Poli.Design,"BUCCHETTI, VALERIA LUISA",Superfici profonde
Romano di Lombardia (BG),-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/254461,2006,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,L'ergonomia tra innovazione e progetto,-,-,-,5,Moretti & Vitali,"CAPRILE, ELENA;MAJA, ROBERTO;MARCHIONNI, GIOVANNA;RAINOLDI, GIOVANNI;STUDER, LUCA PASINO",TRAMP-Telecontrollo del rischio nell'autotrasporto di merci pericolose
Milano,-,-,info:eu-repo/semantics/openAccess,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/254506,2004,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,"Metodi di prototipazione digitale e visualizzazione per il disegno industriale, l’architettura degli interni e i beni culturali",-,ita,-,1,Edizioni Poli.Design,"CECONELLO, MAURO ATTILIO",Strumenti e tecniche di visualizzazione
Milano,Nessuno,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/254516,2007,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,Movie Design for Experience Project. Visual scenarios for Illy concept store,-,ita;eng,-,1,Clup,"PIREDDA, FRANCESCA",La cultura del caffè. Un confronto fra i modelli di business di alcune imprese del caffè
Napoli,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/254638,2004,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,internazionale,Dall'artigianato artistico al design industriale. L'avventura degli oggetti in Campania,-,-,-,2,Electa Napoli,"GUIDA, FRANCESCO ERMANNO;GUNETTI, LUCIANA",Frammenti di graphic design. Napoli e dintorni
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/254707,2006,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,"Designing Designers: Desing Evolution by East and West.New Ambients, new products, new designers",-,-,-,2,Edizioni Poli.Design,"CERVETTA, GABRIELE;SCULLICA, FRANCESCO",Interview with Aldo Cibic
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/255059,2001,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,White design. Innovazione di prodotto e innovazione di processo nel settore dell'elettrodomestico bianco,-,ita,ITA,1,Edizioni Poli.Design,"RAMPINO, LUCIA ROSA ELENA",Le risorse di design operanti nel settore dell'elettrodomestico bianco
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/255105,2006,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,Progetto Bovisa,-,-,-,1,Polipress,"BUCCHETTI, VALERIA LUISA",Un progetto di grafica urbana
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/255790,2004,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,Il bit e la tartaruga,-,-,-,1,APOGEOMilano,"PILLAN, MARGHERITA","Artefatti, ambienti, sistemi"
-,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/255890,2004,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,internazionale,Food delivery solutions. Cases of solution oriented partnership,-,eng,-,3,Cranfield University Press,"P. Joore;H. Luiten;RAMPINO, LUCIA ROSA ELENA",Food delivery services
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/256192,2005,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,"Ergonomia, Progetto, Prodotto",-,-,-,1,Franco Angeli,"COSTA, FIAMMETTA CARLA ENRICA",Valutare l’usabilità: metodi di prova e tecniche empiriche
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/256525,2007,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,Textile design. Materiali e tecnologie,-,-,-,1,Franco Angeli,"DELL'ACQUA BELLAVITIS, ARTURO",L'innovazione tecnologica e le performances
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/256585,2005,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,La coda della Q. 50 marchi per la fondazione Giancarlo Quarta,-,-,-,1,Silvia editrice,"BUCCHETTI, VALERIA LUISA",Le modulazioni del marchio
Milano,-,-,none,02.1 Contributo in Volume,-,-,visibile; non vedenti; sinestesia; scrittura,http://hdl.handle.net/11311/256721,2007,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,Culture visive. Contributi per il design della comunicazione,-,-,-,1,Poli.Design,"RICCO', DINA",Sinestesie del visibile
Torino,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/256887,2003,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,internazionale,Gli impianti nell'architettura e nel restauro,-,-,-,1,UTET,"COLLINA, LUISA MARIA VIRGINIA",Impianti tecnici e design
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/257077,2006,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,Ergonomia e progetto,-,-,-,1,Edizioni Poli.Design,"COSTA, FIAMMETTA CARLA ENRICA",Il design delle apparecchiature medicali:il caso Galileo
"Cranfield, Bedfordshire, UK",-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,Product Service System Design,http://hdl.handle.net/11311/257266,2004,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,internazionale,Solution oriented partnership. How to design industrialised sustainable solutions,-,eng,GBR,1,Cranfield University,"COLLINA, LUISA MARIA VIRGINIA",System architecture
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/257595,2005,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,Disegnato in Italia,-,-,-,1,Hoepli,"MANGIAROTTI, RAFFAELLA",Poca competitività senza promozione
Milano,-,-,-,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/257652,2005,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,ALLESTIRE L'EVENTO,-,-,-,1,Edizioni Fiera Milano,"DELL'ACQUA BELLAVITIS, ARTURO",L'allestimento e gli interni
-,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/257709,2005,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,E-Learning in Italia: una strategia per l’innovazione,-,-,-,3,Apogeo editore,"COLORNI VITALE, ALBERTO;D. Costa;F. Dal Fiore",L’e-learning nella universita'
-,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/257754,2004,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,internazionale,"Sustainable Urban Infrastructure: approaches, solutions, networking.",-,-,-,4,Temi editrice,"CICCARELLI, DIEGO;COLORNI VITALE, ALBERTO;A. Luè;D. Rossi",A decision support system to evaluate transportation system: a tramway case study in Como.
Roma,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/258764,2005,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,Metodologie innovative integrate per il rilevamento dell'architettura e dell'ambiente,-,-,-,1,Gangemi Editore,"BREVI, FAUSTO",La costruzione di superfici parametriche nel processo di Reverse Modeling
Napoli,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/258930,2006,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,"Design, Territorio e Patrimonio Culturale",-,-,-,1,Clean Edizioni,"VIGNATI, ARIANNA",La mostra Riflettere Mantova
-,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/259101,2007,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,internazionale,Azimuts 28,-,eng;fra,FRA,2,Cité du design ed.,"L. Chaves;VEZZOLI, CARLO ARNALDO",Design e development durable dans le pays emergentes
Roma,-,STAMPA,-,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/259275,2006,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,Travolti dall'Alta Voracità. Laboratorio per la democrazia a Torino,-,ita,ITA,1,Oradek,"PONTI, MARCO GUIDO",L'economia della Torino-Lione
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/259481,2004,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,DiningDesign,-,-,-,8,COSMIT,"AURICCHIO, VALENTINA;CERVETTA, GABRIELE;COLLINA, LUISA MARIA VIRGINIA;CRESPI, LUCIANO;F. Murialdo;M. Pelizzari;SCULLICA, FRANCESCO;SIMONELLI, GIULIANO",Più-Yiù - Chinese Restaurant in Rome
-,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/259577,2008,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Sustaining Cultures through Design Education,-,eng,-,1,"Hong Kong : School of Design, The Hong Kong Polytechnic University","COLLINA, LUISA MARIA VIRGINIA",CROSSING THE DISCIPLANARY DESIGN BORDERS: From Interior Design to Product Service Systems
Marano di Napoli,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/259687,2003,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,internazionale,The challenge of sustainability,-,-,-,2,Foxwell & Davies ITALIA,"BLASI, CESARE;NEBULONI, ATTILIO",Technological re-qualification and building restructure of two of historical ALER quarters (Calvairate and Molise) and their urban re-connection
-,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/259703,2005,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,internazionale,Lo spazio della luce,-,-,-,1,Alinea Editrice Firenze,"DELL'ACQUA BELLAVITIS, ARTURO",La luce negli interni
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/260010,2007,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,Il design e la strategia aziendale,-,ita,-,2,MAGGIOLI EDITORE,"RAMPINO, LUCIA ROSA ELENA;TRABUCCO, FRANCESCO",Il design come valore competitivo nelle politiche aziendali
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/260260,2002,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,internazionale,Innovare con il design. Il caso del settore dell’illuminazione in Italia,-,-,-,2,Il sole 24 ore,"BERTOLA, PAOLA;SIMONELLI, GIULIANO",Design e territori di conoscenza
Napoli,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/260309,2002,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,Edilizia sostenibile,-,-,ITA,2,Esselibri,"PIARDI, SILVIA ELVIRA MARIA;SCUDO, GIOVANNI",Dal dire al fare: pratiche e tecniche di edilizia sostenibile in Olanda
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/260400,2004,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,E-content design - Orizzonti di ricerca per la multimedialità interattiva,-,-,-,1,Edizioni Poli.Design,"PILLAN, MARGHERITA",Contenuti digitali per l'e-learning
-,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/260479,2003,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,"Humantec, design for Humanization of Technology",-,-,-,3,-,"DELL'ACQUA BELLAVITIS, ARTURO;SCULLICA, FRANCESCO;A. Sironi","Work Place & Hospitality, Hotel Room"
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/260493,2004,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,internazionale,Designing Designers: Design schools as factories of knowledge,-,eng,ITA,1,Edizioni Poli.Design,"COLLINA, LUISA MARIA VIRGINIA",Design school as factories of knowledge
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/260563,2001,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,internazionale,Giovane è il design,-,ita,-,1,Edizioni Poli.Design,"PENATI, ANTONELLA VALERIA",Introduzione
Roma,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/260808,2007,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,Il design e la strategia aziendale. Storie di successo e di insuccesso,-,-,-,1,Maggioli,"INGARAMO, MATTEO ORESTE","Prodotto, produzione e professione: il product design come strumento competitivo"
Helsinki,"Sì, ma tipo non specificato",STAMPA,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,Time-dependent behaviour; ancient masonry; decay process; deterioration process; probabilistic approach; stochastic model,http://hdl.handle.net/11311/260817,2003,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,"Proceeding of 2nd Int. Symp. ILCDES 2003, Integrated Life-Cycle Design of Materials and Structures",-,eng,FIN,3,RIL/VTT Ed.,"ANZANI, ANNA;BINDA, LUIGIA;GARAVAGLIA, ELSA",The vulnerability of ancient buildings under permanent loading: a probabilistic approach
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/260860,2004,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,E-content design - Orizzonti di ricerca per la multimedialità interattiva,-,-,-,1,Edizioni Poli.Design,"PILLAN, MARGHERITA",Formati e linguaggi dell'editoria digitale
Padova,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/260880,2007,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,Gli interni nel progetto sull'esistente,-,ita,-,2,Il Poligrafo,"CRESPI, LUCIANO;REBAGLIO, AGNESE",Il riuso degli interni urbani. Allestimenti temporanei per la città evento
Palermo,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/260993,2004,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,"Strategie del Design per il Mediterraneo. Ustica, destagionalizzazione e Design",-,-,-,1,Flaccovio,"PIARDI, SILVIA ELVIRA MARIA",Workshop Ustica 2003. Risultati finali
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/261047,2003,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,internazionale,Designing Designers: Design for a local global world,-,-,-,2,Edizioni Poli.Design,"SIMONELLI, GIULIANO;ZURLO, FRANCESCO",MEDesign Research. Exploiting resources in the Meditrerranean area: what is the role of design?
Bergamo,-,-,none,02.1 Contributo in Volume,-,-,Interiors; technology,http://hdl.handle.net/11311/261298,2004,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,internazionale,HELIN + CO - Technology and Trasparency,-,-,ITA,1,L’Arca Edizioni,"SCULLICA, FRANCESCO",Technology and Trasparency
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/261633,2007,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,Movie design for experience project. Visual scenarios for Illy concept store,-,-,-,1,Clup,"GALBIATI, MARIA LUISA","Nuovi vettori della comunicazione d’impresa: l’esperienza Galleria Illy, New York"
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/261984,2007,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,internazionale,The New Italian Design,-,-,-,1,Grafiche Milani,"DELL'ACQUA BELLAVITIS, ARTURO",Immaginare e progettare l'innovazione: i processi formativi
Ravenna,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/261985,2005,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,Remo Muratore - L’avventura della grafica,-,-,-,1,Ed Girasole,"BAULE, GIOVANNI","Muratore, interprete della grafica"
Milano,-,STAMPA,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/262036,2005,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,internazionale,Urban Transport,-,ita,ITA,2,Franco Angeli,"ERBA, STEFANO;PONTI, MARCO GUIDO",Un approccio “public choice” alla governance della mobilità urbana e metropolitana
Berlino,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/262090,2007,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,internazionale,"Media and Urban Space Understanding, Investigating and Approaching Mediacity",-,eng,-,1,Frank & Timme GmbH,"CECONELLO, MAURO ATTILIO",Virtual Models for City Design.The Potential Role of Digital Systems Supporting Design and Restoration Projects in Cities
Milano,-,-,none,02.1 Contributo in Volume,-,-,museo; rete; life long learning,http://hdl.handle.net/11311/262212,2001,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,Un museo in rete per la rete dei musei,-,ita,ITA,2,Edizioni Poli.Design,"CIUCCARELLI, PAOLO;MAIOCCHI, MARCO MARIA",Un portale per il disegno industriale
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/262294,2003,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,"Metodi di prototipazione digitale e visualizzazione per il Disegno Industriale, l'architettura degli interni e i beni culturali",-,-,-,2,Edizioni Poli.Design,"BREVI, FAUSTO;CECONELLO, MAURO ATTILIO",Elementi per la formazione di un centro didattico per l'insegnamento delle metodologie di formazione digitali ad elevato livello di iconicità
Roma,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/262603,2007,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,"Sole vento acqua vegetazione e tecnologie avanzate: matrici di un nuovo approccio progettuale al territorio, architettura e design strategico",-,-,-,4,Gangemi,"I. Anastasio;V. Arrigoni;NEBULONI, ATTILIO;PADOVANO, GABRIELLA",Casi studio territorio
-,-,-,-,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/262609,2007,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,E-learning: strategie per lo sviluppo delle competenze,-,-,-,3,Apogeo,"COLORNI VITALE, ALBERTO;D. Costa;G. Fedegari",L'e-learning nell'università
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/262652,2004,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,Design multiverso,-,-,-,1,Edizioni Poli.Design,"BUCCHETTI, VALERIA LUISA",Design degli imballaggi
Bologna,-,STAMPA,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/262721,2006,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,internazionale,Le virtù della concorrenza. Regolazione e mercato nei servizi di pubblica utilità,-,ita,ITA,2,Il Mulino,"G. Coco;PONTI, MARCO GUIDO",Riflessioni per una riforma della regolazione nel settore autostradale
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/263397,2005,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,Disegnato in Italia,-,-,-,1,Hoepli,"INGARAMO, MATTEO ORESTE",Agape
-,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/263633,2007,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,internazionale,The New Italian Design,-,-,-,1,Grafiche Milani,"CAPPELLIERI, ALBA",Nuovi talenti per nuovi gioielli
Forlì,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/263821,2006,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,Le intersezioni stradali a raso,-,-,-,1,Egaf,"MAJA, ROBERTO",La progettazione degli impianti semaforici
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/263990,2005,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,Giocamilano: nuovi sistemi gioco per contesti urbani,-,ita,-,2,Edizioni Poli.Design,"B. Parini;VILLARI, BEATRICE",La mostra
Genova,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/264115,2004,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,internazionale,Medesign_forme del Mediterraneo,-,-,-,2,Alinea Editrice,"CASTELLI, ANTONELLA;SIMONELLI, GIULIANO",CaLABria DESIGN. Il design per valorizzare i contesti di artigianato artistico calabrese a partire dalle esperienze della collezione Atena (Cap n° 3 Pagg. 126-129) - La sezione Emporio (Cap. 3 Pagg. 259-262)
Cinisello Balsamo,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/264314,2007,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,"Luigi Manini (1848-1936). Architetto e scenografo, pittore e fotografo",-,ita,ITA,1,Silvana Editore,"CORDERA, PAOLA",Il mestiere dell’arte. Luigi Manini e la reinterpretazione del passato tra architettura e arti decorative
Milano,-,-,none,02.1 Contributo in Volume,-,-,ospitalità; moda design metodo intervista; hotel design; design degli interni; design strategico; interior design,http://hdl.handle.net/11311/264351,2007,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,La Moda e Il Design,-,ita,ITA,2,Poli.Design,"CERVETTA, GABRIELE;SCULLICA, FRANCESCO","Il Bulgari Hotel caso studio di integrazione fra design, moda , servizi; CP company: nuove forme di ospitalità"
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/264460,2006,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,Visual and haptic urban design,-,-,-,1,CLUP,"CECONELLO, MAURO ATTILIO",Il digitale a supporto della città
Napoli,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/264569,2003,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,internazionale,DESIGN E SISTEMA-PRODOTTO ALIMENTARE. UN'ESPERIENZA TERRITORIALE DI RICERCA-AZIONE.,-,-,-,2,Clean Edizioni,"SIMONELLI, GIULIANO;VIGNATI, ARIANNA",Il workshop come strumento di action research applicata al design
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/264600,2002,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,internazionale,"Milano distretto del Design. Un sistema di luoghi, attori e relazioni al servizio dell’innovazione",-,-,-,2,Il sole 24 ore,"BERTOLA, PAOLA;SIMONELLI, GIULIANO",Design e ricerca
Ariccia (Roma),-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/264669,2006,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,Guida Arredamento & Design,-,-,-,1,Gruppo Editoriale L'Espresso - la Repubblica,"CIUCCARELLI, PAOLO",Glossario
"Vienna, Austria",-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/265152,2005,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,internazionale,"Wonkulturen, Culture of Living 2005",-,-,-,3,Trans urban,"CERVETTA, GABRIELE;COLLINA, LUISA MARIA VIRGINIA;S. Girardi","Milan, Living design"
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/265292,2001,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,"Materiali per la società dell’informazione. Icone, artefatti, tipologie, formati,",-,ita,ITA,1,Edizioni Poli.Design,"CIUCCARELLI, PAOLO",Il design delle interfacce nei processi di e-business
Milano,"Sì, ma tipo non specificato",-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/265381,2007,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,Culture visive,-,-,-,1,Poli.Design,"CALABI, DANIELA ANNA",Percezioni aptiche e cromatiche. Contributi per il design della comunicazione
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/265402,2002,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,Il Design dell’ospitalità: la sala delle feste dell’Hotel Hilton Milan,-,-,-,1,Edizioni Poli.Design,"COLLINA, LUISA MARIA VIRGINIA",Riflessioni sul tema di progetto
Milano,-,-,none,02.1 Contributo in Volume,-,-,Costruzione progetto yacht,http://hdl.handle.net/11311/265465,2004,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,Costruire imbarcazioni da diporto,-,-,ITA,2,Clup,"PIARDI, SILVIA ELVIRA MARIA;RATTI, ANDREA",Esperienze in cantiere
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/265510,2001,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,internazionale,White design,-,-,-,1,Edizioni Poli.Design,"MANGIAROTTI, RAFFAELLA",Il caso studio Polti: L'ecologico. Contestualizzare l'idea per progettarne il successo
Milano,-,STAMPA,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,Storia delle tecniche; Oggetto tecnico,-,-,http://hdl.handle.net/11311/265525,2007,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,La cultura politecnica 2,-,ita,ITA,1,Bruno Mondadori,"PIZZOCARO, SILVIA LUISA",Commento. Essere tecnico
Milano,-,-,none,02.1 Contributo in Volume,-,TUTTO DA CAPO,-,http://hdl.handle.net/11311/265563,2005,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,Tutto da Capo,-,-,-,1,Lupetti,"TROCCHIANESI, RAFFAELLA","Territorio, identità, progetto. Segni, memorie, potenzialità nel cultural system contemporaneo"
