dc.publisher.place,dc.relation.medium,item.openaireRights,item.collection,dc.subject.keywordsita,dc.subject.keywords,dc.identifier.uri,dc.date.issued,dc.relation.conferenceplace,dc.type.full,dc.type.circulation,dc.relation.ispartofbook,dc.relation.conferencename,dc.language.iso,dc.publisher.country,dc.description.numberofauthors,dc.publisher.name,dc.authority.people,dc.title
-,-,info:eu-repo/semantics/closedAccess,07.05 Esposizione,-,Design italiano; Design; Allestimenti; Interni,http://hdl.handle.net/11311/690252,2006,-,07 ALTRO::07.05 Esposizione,-,-,-,ita;eng,-,3,-,"BRANZI, ANDREA;BIAMONTI, ALESSANDRO;Macchi D.",New Italian Design
-,-,none,07.05 Esposizione,-,-,http://hdl.handle.net/11311/693106,1996,-,07 ALTRO::07.05 Esposizione,-,-,-,-,-,2,-,"PARENTE, MARINA;V. Gangemi",Esposizione: IPOTESI ECOMUSEALE PER I CAMPI FLEGREI
-,-,none,07.05 Esposizione,-,-,http://hdl.handle.net/11311/696728,2007,-,07 ALTRO::07.05 Esposizione,-,-,-,-,-,4,-,"CONTI, GIOVANNI MARIA;Bonapace D.;Botta F.;Burani S.",Transforme
Milano,-,info:eu-repo/semantics/closedAccess,07.05 Esposizione,-,-,http://hdl.handle.net/11311/881650,2008,-,07 ALTRO::07.05 Esposizione,-,Casa per tutti. Abitare la città globale,-,ita;eng,ITA,1,ELECTA MONDADORI,"FERABOLI, MARIA TERESA","Case rapide, prefabbricate, smontabili"
Induno Olona,-,info:eu-repo/semantics/closedAccess,07.06 Mostra,"Bellezza, Liberty, Varese, censimento",-,http://hdl.handle.net/11311/1019570,2016,-,07 ALTRO::07.06 Mostra,-,-,-,ita,ITA,6,-,"ANZANI, ANNA;BAILA, ANGELA;CARAMEL, CLAUDIA;GUARISCO, MARGHERITA;Guglielmi, E.;Niglia, D.",Censire la Bellezza: Liberty segreto a Induno Olona.
-,-,none,07.06 Mostra,-,-,http://hdl.handle.net/11311/1022057,2016,-,07 ALTRO::07.06 Mostra,-,-,-,-,-,1,-,"FINESSI, GIUSEPPE",Quasi segreti. Cassetti tra arte e design
-,-,none,07.06 Mostra,-,-,http://hdl.handle.net/11311/1022094,2017,-,07 ALTRO::07.06 Mostra,-,-,-,-,-,1,-,"FINESSI, GIUSEPPE",SaloneSatellite. 20 anni di nuova creatività
-,-,none,07.06 Mostra,-,-,http://hdl.handle.net/11311/1022095,2017,-,07 ALTRO::07.06 Mostra,-,-,-,-,-,1,-,"FINESSI, GIUSEPPE",Dimensione domestica. Achille e Pier Giacomo Castiglioni e una strana idea di arredamento. Atto II
-,-,none,07.06 Mostra,-,-,http://hdl.handle.net/11311/1022096,2016,-,07 ALTRO::07.06 Mostra,-,-,-,-,-,1,-,"FINESSI, GIUSEPPE",Dimensione domestica. Achille e Pier Giacomo Castiglioni e una strana idea di arredamento. Atto I°
-,-,none,07.06 Mostra,-,-,http://hdl.handle.net/11311/1022097,2015,-,07 ALTRO::07.06 Mostra,-,-,-,-,-,1,-,"FINESSI, GIUSEPPE",Geografie
-,-,none,07.06 Mostra,-,-,http://hdl.handle.net/11311/1022098,2016,-,07 ALTRO::07.06 Mostra,-,-,-,-,-,1,-,"FINESSI, GIUSEPPE",STANZE. Altre filosofie dell'abitare
-,-,info:eu-repo/semantics/openAccess,07.06 Mostra,Premio Compasso d'Oro ADI,-,http://hdl.handle.net/11311/1037542,2016,-,07 ALTRO::07.06 Mostra,-,-,-,eng;ita,-,3,-,M. Parente;F. Zurlo;A. Manciaracina,"Mostra ""Le vie del Compasso d'Oro - XXI Triennale Milano"", Campus Bovisa - Politecnico di Milano"
Milano,STAMPA,info:eu-repo/semantics/closedAccess,07.06 Mostra,-,-,http://hdl.handle.net/11311/1038409,2016,-,07 ALTRO::07.06 Mostra,-,Crafting the Future. Storie di artigianalità e innovazione.,-,eng;ita,ITA,2,Camera Nazionale della Moda Italiana,P. Bertola;F. Vacca,"Sezione ""Un'Italia artigiana"" nella mostra ""Crafting the Future. Storie di artigianalità e innovazione""  – Mudec 22-24 Settembre 2016."
Subalterno1,-,none,07.06 Mostra,-,-,http://hdl.handle.net/11311/1044958,2014,-,07 ALTRO::07.06 Mostra,-,-,-,eng;ita,ITA,4,-,"S. Maffei;A. Gianni;P. Bolzan;PIROVANO, MARCELLO",Mondopasta
Subalterno1,-,none,07.06 Mostra,-,-,http://hdl.handle.net/11311/1044983,2016,-,07 ALTRO::07.06 Mostra,-,-,-,eng;ita,ITA,4,-,S. Maffei;A. Gianni;P. Bolzan;M. Pirovano,Microfacts
-,-,info:eu-repo/semantics/openAccess,07.06 Mostra,"Giappone, Italia, Cultura, Design",-,http://hdl.handle.net/11311/1047003,2015,-,07 ALTRO::07.06 Mostra,-,-,-,eng;ita,ITA,1,-,alessandro biamonti,Cool Japan_Double Impact
-,-,info:eu-repo/semantics/closedAccess,07.06 Mostra,-,-,http://hdl.handle.net/11311/1052994,2018,-,07 ALTRO::07.06 Mostra,-,-,-,-,-,3,-,G. M. Conti;R. Gaddi;M. Motta,"Maglia, Punto. Quarant'anni di tesori nascosti nella storia dell'archivio MF1"
-,-,none,07.06 Mostra,-,-,http://hdl.handle.net/11311/686870,2012,-,07 ALTRO::07.06 Mostra,-,-,-,-,-,1,-,"MAFFEI, STEFANO",Fabio Bortolani. My way
-,-,info:eu-repo/semantics/closedAccess,07.06 Mostra,-,Studio Museo Achille Castiglioni; ricerca d.cult; Triennale di Miano; design per i beni culturali,http://hdl.handle.net/11311/692358,2008,-,07 ALTRO::07.06 Mostra,-,-,-,eng;jpn,-,3,-,"S. Annicchiarico;PARENTE, MARINA;SEASSARO, ALBERTO","Mostra: Studio Museo Achille Castiglioni, presso Shiodome Italia Creative Center, Tokyo"
-,-,info:eu-repo/semantics/closedAccess,07.06 Mostra,-,Studio Museo Achille Castiglioni; Triennale di Milano; ricerca d.cult; design per i beni culturali,http://hdl.handle.net/11311/692361,2007,-,07 ALTRO::07.06 Mostra,-,-,-,-,-,3,-,"S. Annicchiarico;PARENTE, MARINA;SEASSARO, ALBERTO","Mostra e giornata di studio: ""Lo Studio-Museo Achille Castiglioni della Triennale di Milano. Scenari di fruizione e prospettive di valorizzazione"" presso la Triennale di Milano - settembre 2007"
-,-,info:eu-repo/semantics/closedAccess,07.06 Mostra,-,-,http://hdl.handle.net/11311/692658,2012,-,07 ALTRO::07.06 Mostra,-,-,-,-,-,5,-,"ANZANI, ANNA;CONDOLEO, PAOLA;Baila A.;CARAMEL, CLAUDIA;GUARISCO, MARGHERITA","Censimento delle architetture Liberty nel territorio di Varese, Area nord, sentiero 10"
-,-,none,07.06 Mostra,-,-,http://hdl.handle.net/11311/693108,1996,-,07 ALTRO::07.06 Mostra,-,-,-,-,-,3,-,"PARENTE, MARINA;E. Guida;R. Valente",Mostra: IL DESIGN COME ELEMENTO STRATEGICO PER LE PICCOLE E MEDIE IMPRESE. PROPOSTE E PROGETTI DELLA SCUOLA DI SPECIALIZZAZIONE IN DISEGNO INDUSTRIALE DI NAPOLI
-,-,none,07.06 Mostra,-,-,http://hdl.handle.net/11311/693110,1997,-,07 ALTRO::07.06 Mostra,-,-,-,-,-,3,-,"PARENTE, MARINA;E. Guida;R. Valente",PROGETTO E INDUSTRIA
-,-,none,07.06 Mostra,-,-,http://hdl.handle.net/11311/693112,1998,-,07 ALTRO::07.06 Mostra,-,-,-,-,-,5,-,"V. Cristallo;GUIDA, FRANCESCO ERMANNO;M. Elia;A. Morone;PARENTE, MARINA",Mostra: SOTTSSAS. 151 DISEGNI
-,-,none,07.06 Mostra,-,-,http://hdl.handle.net/11311/693114,1998,-,07 ALTRO::07.06 Mostra,-,-,-,-,-,4,-,"V. Cristallo;E. Guida;A. Morone;PARENTE, MARINA",IV MOSTRA DELL’ARTIGIANATO ARTISTICO - CONTINUITA’ E INNOVAZIONE DELLA TRADIZIONE
-,-,none,07.06 Mostra,-,-,http://hdl.handle.net/11311/731377,2012,-,07 ALTRO::07.06 Mostra,-,-,-,-,-,1,-,"MURANO, FRANCESCO",LUCI SULLE MURA
Milano,-,none,07.06 Mostra,-,design sostenibile,http://hdl.handle.net/11311/751643,2013,-,07 ALTRO::07.06 Mostra,-,Made in slums. Mathare Nairobi.,-,eng;ita,ITA,1,Corraini Edizioni,"IRACE, FULVIO",Made in slums. Mathare Nairobi.
