dc.publisher.place,dc.relation.medium,item.openaireRights,item.collection,dc.subject.keywordsita,dc.subject.keywords,dc.identifier.uri,dc.date.issued,dc.relation.conferenceplace,dc.type.full,dc.type.circulation,dc.relation.ispartofbook,dc.relation.conferencename,dc.language.iso,dc.publisher.country,dc.description.numberofauthors,dc.publisher.name,dc.authority.people,dc.title
-,-,info:eu-repo/semantics/openAccess,07.12 Altro,-,-,http://hdl.handle.net/11311/1019549,2015,-,07 ALTRO::07.12 Altro,internazionale,-,-,-,-,3,-,"CELI, MANUELA;DESERTI, ALESSANDRO;Rizzo, F.",SIMPACT Project. Deliverable 4.1. Part II. Existing Forms of SI. Dynamics & Features influencing SI Processes and Business Models
-,-,info:eu-repo/semantics/openAccess,07.12 Altro,-,-,http://hdl.handle.net/11311/1019553,2015,-,07 ALTRO::07.12 Altro,internazionale,-,-,-,-,4,-,"Terstriep, J.;Kleverbeck, M.;DESERTI, ALESSANDRO;Rizzo, F.",SIMPACT Project. Deliverable 3.2. Comparative Report on Social Innovation across Europe
-,-,info:eu-repo/semantics/closedAccess,07.12 Altro,-,-,http://hdl.handle.net/11311/1019564,2015,-,07 ALTRO::07.12 Altro,internazionale,-,-,-,-,7,-,"Oliveira, A.;DESERTI, ALESSANDRO;CONCILIO, GRAZIA;MOLINARI, FRANCESCO;Rizzo, F;Morelli, N.;Akbar, F.",My Neighbourhood | My City Project. Deliverable 6.5. Scalability Implementation and Assessment Report
-,-,info:eu-repo/semantics/openAccess,07.12 Altro,-,-,http://hdl.handle.net/11311/1019969,2016,-,07 ALTRO::07.12 Altro,internazionale,-,-,-,-,3,-,"CORUBOLO, MARTA;MERONI, ANNA;ROSSI, MARTINA",The Social Innovation Journey Toolbox
-,-,info:eu-repo/semantics/openAccess,07.12 Altro,-,-,http://hdl.handle.net/11311/1020016,2017,-,07 ALTRO::07.12 Altro,internazionale,-,-,-,-,3,-,"Rizzo, F.;DESERTI, ALESSANDRO;de Pous, M.",Social Innovation Community EU Project. Deliverable 4.1. Report on SIC learning principles and processes
-,-,info:eu-repo/semantics/closedAccess,07.12 Altro,-,-,http://hdl.handle.net/11311/1020020,2017,-,07 ALTRO::07.12 Altro,-,-,-,-,-,3,-,"MERONI, ANNA;ROSSI, MARTINA;SELLONI, DANIELA",CIMULACT (Citizen and Multi-Actor Consultation on Horizon 2020): first draft of social needs based research programme scenarios. An illustrated proposal for the set of research programmes addressing the overarching social needs derived from the citizens’ visions.
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/252025,2006,-,07 ALTRO::07.12 Altro,nazionale,-,-,-,-,1,-,"ZURLO, FRANCESCO",Puntare sulla gente per vendere di più
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/259638,2003,-,07 ALTRO::07.12 Altro,-,-,-,-,-,5,-,"BAGNARA, SEBASTIANO;S. Pozzi;A. Rizzo;RIZZO, FRANCESCA;S. Save",Proceedings of the 8th International Conference on Human Aspects of Advanced Manifacturing: Agility & Hybrid Automation
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/268468,2006,-,07 ALTRO::07.12 Altro,nazionale,-,-,-,-,1,-,"ZURLO, FRANCESCO",New Entertainment e Design Strategico
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/533312,2006,-,07 ALTRO::07.12 Altro,-,-,-,-,-,7,-,"R. MINGUCCI;AMORUSO, GIUSEPPE;R. INGLESE;A. MARATA;G. BACCI;C. BARTOLOMEI;D. ANGELILLO",A.D.A. Archivio Digitale di Architettura
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/533384,2002,-,07 ALTRO::07.12 Altro,internazionale,"DILABB, PRESENTAZIONE DEL SISTEMA DEL LABORATORI DELLA FACOLTA DEL DESIGN",-,-,-,2,-,"GALBIATI, MARIA LUISA;FRANCESCO GALLI",DILABB
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/533385,2004,-,07 ALTRO::07.12 Altro,nazionale,DVD MULTIMEDIALE,-,-,-,2,-,"GALBIATI, MARIA LUISA;GALLI FRANCESCO",LE PROFESSIONI DELLA TELEVISIONE-LEZIONE MULTIMEDIALE IN RAI
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/533386,2004,-,07 ALTRO::07.12 Altro,internazionale,DVD MULTIMEDIALE ITALIANO E INGLESE,-,-,-,2,-,"GALBIATI, MARIA LUISA;FRANCESCO GALLI",GRUPPO CIMBALI-FAEMA. DVD ISTITUZIONALE
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/533387,2005,-,07 ALTRO::07.12 Altro,internazionale,DVD MULTIMEDIALE ITALIANO E INGLESE,-,-,-,2,-,"GALBIATI, MARIA LUISA;FRANCESCO GALLI",MANTEROMOOD.DVD MULTIMEDIALE
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/533523,2006,-,07 ALTRO::07.12 Altro,nazionale,Magazine online,-,ita,-,2,-,"CONTI, GIOVANNI MARIA;BERTOLA, PAOLA",Moda e Design: Cross Fertilization per l'innovazione
-,-,none,07.12 Altro,-,"Robust design design a basso impatto ambientale. Processi, assemblaggi e disassemblaggi dei prodotti industriali.",http://hdl.handle.net/11311/533539,1993,-,07 ALTRO::07.12 Altro,nazionale,"Paper (draft) per la ricerca MURST UdR Prodotto, progetto, ambiente",-,-,-,1,-,"BRUNO, DAVIDE MARIA","Design for Assembly,"
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/533556,2006,-,07 ALTRO::07.12 Altro,nazionale,"D.A. DYNAMICAIR, la rivista per superare le barriere culturali",-,ita,-,2,-,"CANINA, MARIA RITA;FERRARO, VENERE",Fit-Suit: Biodesign per l’idrokinesiterapia
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/533557,2001,-,07 ALTRO::07.12 Altro,nazionale,La Repubblica Salute anno 7 n. 286,-,ita,-,3,-,"CANINA, MARIA RITA;GENNARO VERNI;PIERLUIGI VALENTINI",Gamba “intelligente” cambia il passo secondo il terreno
Genova,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/533558,2000,-,07 ALTRO::07.12 Altro,nazionale,AISM informa,-,ita,ITA,2,Algraphy,"A.A. VV;CANINA, MARIA RITA",La domotica: qualità degli ambienti in AAVV Disabilità Motoria e Lavoro: contributi per un agire interdisciplinare
Genova,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/533559,1999,-,07 ALTRO::07.12 Altro,nazionale,"volumi guida 1, 2 a cura del DML",-,ita,ITA,2,Algraphy,"A.A. V.V.;CANINA, MARIA RITA",Disabilità Motoria e Lavoro: guida per orientarsi nel mondo del lavoro Vol 1 e 2
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/533600,2004,-,07 ALTRO::07.12 Altro,nazionale,Rapporto interno,-,-,-,4,-,"COLORNI VITALE, ALBERTO;D. CICCARELLI;A. LUE';D. ROSSI",Studio di fattibilità per una metrotranvia in Como
-,-,-,07.12 Altro,-,-,http://hdl.handle.net/11311/533601,2004,-,07 ALTRO::07.12 Altro,nazionale,Rapporto interno,-,-,-,5,-,"COLORNI VITALE, ALBERTO;D. CICCARELLI;A. LUE';V. MORROCCHI;D. ROSSI",Il Sistema DREAMS: Demand Responsive Extended Area Mobility Services
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/533703,1997,-,07 ALTRO::07.12 Altro,-,-,-,-,-,2,-,"MAJA, ROBERTO;DALENO M.",Consulenza e collaborazione per la sperimentazione di modelli di simulazione della mobilità a supporto della pianificazione regionale dei trasporti e della mobilità - Caso di studio Malpensa - Costruzione del modello di simulazione del traffico per la valutazione degli scenari alternativi
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/533704,1995,-,07 ALTRO::07.12 Altro,-,-,-,-,-,2,-,"COMETTI E.;MAJA, ROBERTO","Il quadro dell'offerta di trasporto, IReR - Istituto Regionale di Ricerca della Lombardia - Aggiornamento del piano regionale dei trasporti della regione Lombardia"
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/533705,1995,-,07 ALTRO::07.12 Altro,-,-,-,-,-,3,-,"MAJA, ROBERTO;GUERRA C.;CORTESE V.",Telematica nei trasporti - Stato dell'arte delle tecnologie per il trasporto guidato e per l'intermodalità
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/533706,1995,-,07 ALTRO::07.12 Altro,-,-,-,-,-,1,-,"MAJA, ROBERTO",Sistemi innovativi per l'esercizio economico delle linee ferroviarie a scarso traffico
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/533707,1996,-,07 ALTRO::07.12 Altro,-,-,-,-,-,2,-,"MAJA, ROBERTO;GUERRA C.",Catalogo dei sistemi innovativi di navetta automatica per la mobilità urbana
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/533708,1995,-,07 ALTRO::07.12 Altro,-,-,-,-,-,1,-,"MAJA, ROBERTO",Studio di simulazione del trasporto pubblico nel bacino della ferrovia Brescia-Iseo-Edolo
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/533711,2006,-,07 ALTRO::07.12 Altro,nazionale,Relazione interna per il Min. dei Trasporti,-,ita,-,4,-,"MAJA, ROBERTO;RAINOLDI, GIOVANNI;ROMAN D;SALIMBENI R.",Il trasporto delle merci pericolose in galleria
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/533712,2006,-,07 ALTRO::07.12 Altro,internazionale,"Deliverable for The Alpine Convention, Transport Workgroup",-,eng,-,2,-,"MAJA, ROBERTO;D. ROMANO'",External Cost Assessment In Transalpine Corridors
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/533734,1994,-,07 ALTRO::07.12 Altro,-,-,-,-,-,3,-,"MAJA, ROBERTO;LIMONGELLI M.;VILLA S.",Il cadenzamento dell’orario ferroviario: aspetti metodologici e applicativi
Vienna,-,none,07.12 Altro,-,Ricerca operativa,http://hdl.handle.net/11311/533866,2007,-,07 ALTRO::07.12 Altro,internazionale,-,-,eng,AUT,2,Univie,"PIZZOCARO, SILVIA LUISA;R. Glanville",Ernst von Glasersfeld and the Italian Operative School
-,-,info:eu-repo/semantics/closedAccess,07.12 Altro,-,-,http://hdl.handle.net/11311/534030,2008,-,07 ALTRO::07.12 Altro,nazionale,articolo su: www.laVoce.info,-,ita,-,2,-,"PONTI, MARCO GUIDO;BERIA, PAOLO",Una grande opera. Tutta da valutare
-,-,info:eu-repo/semantics/closedAccess,07.12 Altro,-,-,http://hdl.handle.net/11311/546339,2008,-,07 ALTRO::07.12 Altro,-,-,-,-,-,5,-,"CANINA, MARIA RITA;I. Celino;E. Frumento;A. Pagani;N. Simeoni",L’evoluzione dei Musei con l’Information and Communication Technology
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/546700,2008,-,07 ALTRO::07.12 Altro,-,-,-,-,-,2,-,"BAULE, GIOVANNI;BUCCHETTI, VALERIA LUISA",Enografie. Il design racconta i vini del Piemonte.
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/546702,2008,-,07 ALTRO::07.12 Altro,-,-,-,-,-,1,-,"BUCCHETTI, VALERIA LUISA",Interazioni grafico-strutturali
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/546712,2008,-,07 ALTRO::07.12 Altro,-,-,-,-,-,1,-,"BUCCHETTI, VALERIA LUISA",Superfici (tra vista e tatto)
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/547523,2008,-,07 ALTRO::07.12 Altro,-,-,-,-,-,4,-,"BRUGLIERI, MAURIZIO;CATTANEO, FABIANO;COLOMBO, ANDREA;COLORNI VITALE, ALBERTO",Ottimizzazione della raccolta dei Rifiuti di Apparecchiature Elettriche ed Elettroniche (RAEE)
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/548205,2008,-,07 ALTRO::07.12 Altro,-,-,-,-,-,1,-,"BAULE, GIOVANNI",Enografie: il design dei percorsi narrativi
-,-,-,07.12 Altro,-,-,http://hdl.handle.net/11311/548276,2008,-,07 ALTRO::07.12 Altro,-,-,-,-,-,3,-,"COLORNI VITALE, ALBERTO;SANCASSANI, SUSANNA;L. Leita",Il futuro dell’e-learning è già passato
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/548486,2008,-,07 ALTRO::07.12 Altro,-,-,-,-,-,1,-,"COLORNI VITALE, ALBERTO","Benefits and problems of e-learning, UE Committee on Culture Science and Education, Realising the full potential of e-learning at all levels of education."
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/550760,2008,-,07 ALTRO::07.12 Altro,-,-,-,-,-,2,-,"GRIMALDI, RAFFAELE;PONTI, MARCO GUIDO",A passo lento nel tunnel
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/550761,2008,-,07 ALTRO::07.12 Altro,-,-,-,-,-,2,-,"GRIMALDI, RAFFAELE;PONTI, MARCO GUIDO",E sulla Milano-Venezia i conti non tornano
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/560608,2008,-,07 ALTRO::07.12 Altro,-,-,-,-,-,1,-,"VEZZOLI, CARLO ARNALDO",piattaforma LeNS
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/563684,2009,-,07 ALTRO::07.12 Altro,-,-,-,-,-,2,-,"PILLAN, MARGHERITA;RIZZO, FRANCESCA",Propsettive di design per i servizi Mobile secondo l'approccio User Centred
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/564940,2009,-,07 ALTRO::07.12 Altro,internazionale,-,-,-,-,2,-,"GUIDA, FRANCESCO ERMANNO;Chia G.",Design Per. L'ambiente
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/565390,2009,-,07 ALTRO::07.12 Altro,internazionale,-,-,-,-,1,-,"GUIDA, FRANCESCO ERMANNO",The Identity of Cultural Heritages between Real and Virtual. New Languages and Virtuous Devices in the Age of Transition.
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/565392,2000,-,07 ALTRO::07.12 Altro,-,-,-,-,-,1,-,"GUIDA, FRANCESCO ERMANNO",Comunicazione (visiva) domani. Sperimentazione e nuovi confini
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/565393,2003,-,07 ALTRO::07.12 Altro,internazionale,-,-,-,-,1,-,"GUIDA, FRANCESCO ERMANNO",Il tempo ai tempi di internet
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/565394,2003,-,07 ALTRO::07.12 Altro,nazionale,-,-,-,-,1,-,"GUIDA, FRANCESCO ERMANNO",Ma che strani tipi
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/565395,2007,-,07 ALTRO::07.12 Altro,nazionale,-,-,-,-,1,-,"GUIDA, FRANCESCO ERMANNO",La ricerca del piacere
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/570634,2002,-,07 ALTRO::07.12 Altro,nazionale,-,-,-,-,2,-,"PONTI, MARCO GUIDO;A. Boitani",I grandi progetti infrastrutturali: divergenze sui criteri di valutazione
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/570636,2002,-,07 ALTRO::07.12 Altro,nazionale,-,-,-,-,2,-,"PONTI, MARCO GUIDO;A. Boitani",La lezione del ponte sullo Stretto
-,-,-,07.12 Altro,-,-,http://hdl.handle.net/11311/570645,2003,-,07 ALTRO::07.12 Altro,nazionale,-,-,-,-,1,-,"PONTI, MARCO GUIDO",Alitalia: un'Italia senza ali
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/570646,2003,-,07 ALTRO::07.12 Altro,nazionale,-,-,-,-,1,-,"PONTI, MARCO GUIDO",La leggenda del corridoio Lisbona - Kiev
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/570656,2002,-,07 ALTRO::07.12 Altro,nazionale,-,-,-,-,3,-,"C. Borgnolo;PONTI, MARCO GUIDO;TORTA, FABIO PIETRO",Il federalismo stradale: Procedure e prime applicazioni legislative.
-,-,info:eu-repo/semantics/closedAccess,07.12 Altro,-,alta velocità; ferrovie; analisi costi benefici; ex-post,http://hdl.handle.net/11311/574586,2010,-,07 ALTRO::07.12 Altro,nazionale,-,-,-,-,3,-,"BERIA, PAOLO;GRIMALDI, RAFFAELE;PONTI, MARCO GUIDO",Nel tunnel dell'Alta Velocità
-,-,info:eu-repo/semantics/closedAccess,07.12 Altro,-,-,http://hdl.handle.net/11311/582027,2010,-,07 ALTRO::07.12 Altro,nazionale,-,-,-,-,3,-,"STUDER, LUCA PASINO;V. Mauro",L'impatto delgi ITS per la riduzione di CO2
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/583074,2010,-,07 ALTRO::07.12 Altro,internazionale,-,-,-,-,1,-,"TURINETTO, MARCO",Italian Light Contract
-,-,info:eu-repo/semantics/closedAccess,07.12 Altro,-,unità; risorgimento; arte,http://hdl.handle.net/11311/583475,2011,-,07 ALTRO::07.12 Altro,nazionale,-,-,-,-,1,-,"MAZZANTI, ANNA",L’unità d’Italia: testimonianze risorgimentalinei musei e nel territorio della Toscana
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/585672,2010,-,07 ALTRO::07.12 Altro,internazionale,-,-,-,-,1,-,"TURINETTO, MARCO",Choosing between ecology awareness and business
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/585673,2010,-,07 ALTRO::07.12 Altro,internazionale,-,-,-,-,1,-,"TURINETTO, MARCO",Light for a new product identity
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/585674,2010,-,07 ALTRO::07.12 Altro,internazionale,-,-,-,-,1,-,"TURINETTO, MARCO","Lighting ethics, enviroment"
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/585675,2010,-,07 ALTRO::07.12 Altro,internazionale,-,-,-,-,1,-,"TURINETTO, MARCO","Individualised Consumption: is the future industry ready for a complex, higly-differentiated market ?"
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/585676,2010,-,07 ALTRO::07.12 Altro,internazionale,-,-,-,-,1,-,"TURINETTO, MARCO",On living well in today's enviroments
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/586879,2011,-,07 ALTRO::07.12 Altro,internazionale,-,-,-,-,2,-,"CONCILIO, GRAZIA;RIZZO, FRANCESCA","Arena Models. Deliverable 2.1 for Periheria project, Grant Agreement number: 271015"
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/586880,2011,-,07 ALTRO::07.12 Altro,-,-,-,-,-,3,-,"RIZZO, FRANCESCA;COSTA, FIAMMETTA CARLA ENRICA;Oliva S.",Deliverable 2.1: Scenarios description. Deliverable for the European Project Life 2.0 LIFE 2.0Geographical positioning services to support independent living and social interaction of elderly people ICT-PSP-270965
-,-,info:eu-repo/semantics/closedAccess,07.12 Altro,-,città; paesaggio urbano; design; paesaggio; pittura; pittura digitale; spazio; 3D e 2D.,http://hdl.handle.net/11311/605088,2011,-,07 ALTRO::07.12 Altro,internazionale,-,-,-,-,1,-,"PIERLUISI, GABRIELE",Esposizione personale: PARIS_PLIS  Gabriele Pierluisi a cura di Martina Cavallarin.  Parigi dal 03-02-2011 al 03-03-2011
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/631194,2011,-,07 ALTRO::07.12 Altro,internazionale,-,-,-,-,3,-,"MAFFEI, STEFANO;E. Pacenti;VILLARI, BEATRICE",Good Idea + Good Design = Good Service ? Learning how to evaluate Service Design
-,-,info:eu-repo/semantics/closedAccess,07.12 Altro,-,-,http://hdl.handle.net/11311/634053,2011,-,07 ALTRO::07.12 Altro,internazionale,-,-,-,-,1,-,"COLOMBI, CHIARA",Natural Fashion. From symbolic to cognitive innovation through crafts and design
-,-,info:eu-repo/semantics/closedAccess,07.12 Altro,-,-,http://hdl.handle.net/11311/634054,2008,-,07 ALTRO::07.12 Altro,nazionale,-,-,-,-,1,-,"COLOMBI, CHIARA",Leggere il contesto per orientare il progetto. Metodologie e approcci per la produzione e visualizzazione di conoscenza ad orientamento della pratica progettuale nel design della moda.
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/642963,2012,-,07 ALTRO::07.12 Altro,-,-,-,-,-,1,-,"NEBULONI, ATTILIO",Complessita' e Sostenibilita' nel Progetto - 1/2012 gennaio-marzo 2012
-,-,info:eu-repo/semantics/closedAccess,07.12 Altro,-,-,http://hdl.handle.net/11311/644331,2011,-,07 ALTRO::07.12 Altro,nazionale,-,-,-,-,1,-,"BOSONI, GIAMPIERO","Brevetto, Design e ""forma del tempo"". I brevetti nella storia del design italiano"
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/652136,2012,-,07 ALTRO::07.12 Altro,-,-,-,-,-,1,-,"NEBULONI, ATTILIO",Complessita' e Sostenibilita' nel Progetto - 2/2012 aprile-giugno 2012
-,-,info:eu-repo/semantics/closedAccess,07.12 Altro,-,cartography; Data visualization; Decision Support Systems; Open Data,http://hdl.handle.net/11311/660634,2011,-,07 ALTRO::07.12 Altro,-,-,-,-,-,6,-,"AZZI, MATTEO;CAVIGLIA, GIORGIO;RICCI, DONATO;CIUCCARELLI, PAOLO;Emanuele Bonetti;Loredana Bontempi",Dust: A Visualization Tool Supporting Parents’ School-Choice Evaluation Process
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/664624,2012,-,07 ALTRO::07.12 Altro,-,-,-,-,-,2,-,"MAFFEI, STEFANO;S. Legrenzi",Catalogo Salone Satellite 2012
-,-,info:eu-repo/semantics/closedAccess,07.12 Altro,-,Disegni; città; acquarello; tecniche miste; Rouen.,http://hdl.handle.net/11311/667247,2012,-,07 ALTRO::07.12 Altro,internazionale,-,-,-,-,1,-,"PIERLUISI, GABRIELE","Esposizione personale di disegni d'architettura, design città"
-,-,info:eu-repo/semantics/closedAccess,07.12 Altro,-,Paesaggio urbano; MARTE; Digitale Caldo; Pittura e disegno; Pieghe; spazio.,http://hdl.handle.net/11311/667288,2007,-,07 ALTRO::07.12 Altro,nazionale,-,-,-,-,5,-,"Massimiliano Fuksas;Camilla Pignatti Morano;Marta Fegiz;Laura De Iudicibus;PIERLUISI, GABRIELE","Gabriele Pierluisi. Paesaggi urbani. Marte, Roma 2007-08"
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/669783,2012,-,07 ALTRO::07.12 Altro,-,-,-,-,-,1,-,"NEBULONI, ATTILIO",Complessita' e Sostenibilita' nel Progetto - 3/2012 luglio-settembre 2012
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/686423,2012,-,07 ALTRO::07.12 Altro,-,-,-,-,-,1,-,"NEBULONI, ATTILIO",Complessita' e Sostenibilita' nel Progetto - 4/2012 ottobre-dicembre 2012.
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/687794,2005,-,07 ALTRO::07.12 Altro,-,-,-,-,-,2,-,"MANZINI, EZIO;RIZZO, FRANCESCA",Le tecnologie dell’informazione e della comunicazione e lo sviluppo locale
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/689350,2008,-,07 ALTRO::07.12 Altro,-,-,-,-,-,5,-,"PADOVANO, GABRIELLA;BLASI, CESARE;NEBULONI, ATTILIO;I. Anastasio;V. Arrigoni",Occasioni di complessità sostenibile / Opportunities of sustainable complexity - Complessità e sostenibilià: il territorio e l'architettura n. 05
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/689353,2008,-,07 ALTRO::07.12 Altro,-,-,-,-,-,5,-,"PADOVANO, GABRIELLA;BLASI, CESARE;NEBULONI, ATTILIO;I. Anastasio;V. Arrigoni",Gli spazi della complessità / The spaces of complexity - Complessità e sostenibilià: il territorio e l'architettura n. 06
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/689354,2008,-,07 ALTRO::07.12 Altro,-,-,-,-,-,5,-,"PADOVANO, GABRIELLA;BLASI, CESARE;NEBULONI, ATTILIO;I. Anastasio;V. Arrigoni",Tendenze della ricerca universitaria - Complessità e sostenibilià: il territorio e l'architettura n. 07
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/689355,2008,-,07 ALTRO::07.12 Altro,-,-,-,-,-,5,-,"PADOVANO, GABRIELLA;BLASI, CESARE;NEBULONI, ATTILIO;I. Anastasio;V. Arrigoni",Oltre l'architettura convenzionale / Beyond conventional architecture - Complessità e sostenibilià: il territorio e l'architettura n. 08
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/689358,2008,-,07 ALTRO::07.12 Altro,-,-,-,-,-,5,-,"PADOVANO, GABRIELLA;BLASI, CESARE;NEBULONI, ATTILIO;I. Anastasio;V. Arrigoni",Nuovi spazi interattivi / New interactive spaces - Complessità e sostenibilià: il territorio e l'architettura n. 09
-,-,info:eu-repo/semantics/closedAccess,07.12 Altro,-,-,http://hdl.handle.net/11311/691093,2002,-,07 ALTRO::07.12 Altro,nazionale,-,-,-,-,1,-,"CECONELLO, MAURO ATTILIO","Nuove tecnologie, multimedia e standard grafici per la rappresentazione digitale del territorio"
-,-,info:eu-repo/semantics/closedAccess,07.12 Altro,-,-,http://hdl.handle.net/11311/692963,2010,-,07 ALTRO::07.12 Altro,nazionale,-,-,-,-,1,-,"COLOMBI, CHIARA",A Moda projectada
-,-,none,07.12 Altro,-,Sustainable development; Social innovation; Service design; Strategic design,http://hdl.handle.net/11311/693222,2012,-,07 ALTRO::07.12 Altro,internazionale,-,-,-,-,4,-,"MERONI, ANNA;PIREDDA, FRANCESCA;JEGOU, FRANCOIS;CORUBOLO, MARTA","EC project ""SPREAD - Sustainable Lifestyles 2050
Deliverable 3.1: ""Visual material presenting emerging best practices and emerging visions on sustainable lifestyles"""
-,-,none,07.12 Altro,-,Policy brief; Sustainable development; Strategic Design; Social Innovation,http://hdl.handle.net/11311/693227,2012,-,07 ALTRO::07.12 Altro,internazionale,-,-,-,-,2,-,"MERONI, ANNA;CORUBOLO, MARTA","EC project ""SPREAD - Sustainable Lifestyles 2050
Deliverable 3.2: ""EUROPEAN POLICY BRIEF. Emerging Visions for Future Sustainable Lifestyles 2050"""
-,-,none,07.12 Altro,-,Service Design; Strategic Design; Sustainable development,http://hdl.handle.net/11311/693234,2011,-,07 ALTRO::07.12 Altro,nazionale,-,-,-,-,9,-,"MERONI, ANNA;SIMEONE, GIULIA;CORUBOLO, MARTA;D. Cantu;PIREDDA, FRANCESCA;A. Arossa;P. Bolzacchini;A. Cecchini;E. Nasuelli",NUTRIRE MILANO. Seconda annualità del progetto - Relazione al bilancio.
-,-,none,07.12 Altro,-,Service Design; Strategic Design; Sustainable development,http://hdl.handle.net/11311/693238,2012,-,07 ALTRO::07.12 Altro,nazionale,-,-,-,-,14,-,"MERONI, ANNA;SIMEONE, GIULIA;CORUBOLO, MARTA;D. Cantu;PIREDDA, FRANCESCA;A. Arossa;P. Bolzacchini;A. Cecchini;E. Nasuelli;C. Fiorani;P. Corvo;P. Grimaldi;P. Migliorini;B. Scaltriti",NUTRIRE MILANO.  Relazione conclusiva anno 2011
-,-,none,07.12 Altro,-,Service Design; Strategic Design; Sustainable development,http://hdl.handle.net/11311/693262,2012,-,07 ALTRO::07.12 Altro,internazionale,-,-,-,-,25,-,"MERONI, ANNA;PIREDDA, FRANCESCA;JEGOU, FRANCOIS;CORUBOLO, MARTA;C. Hicks;N. Bruggermann;R. Groezinger;S. Thorne;L. Rijnhout;S. Lorek;S. Goicoechea;A. Neuvonen;M. Ritola;S. Lahteenoja;K. Straver;M. Uyterlinde;C. Tigchelaar;B. Schaefer;G. Salvador;C. Chiotan;C. Costongs;O. Monts;JEGOU, FRANCOIS;P. Szuppinger;E. Csobod","European Lifestyles. The future issue.
EC project ""SPREAD - Sustainable Lifestyles 2050"
