title,author,year,type,keywords,cluster
"Catene:Gioielli tra storia, funzione e ornamento. Chains: jewellery in history, function and ornament","Cappellieri, Alba",2018,03.1 Monografia o trattato scientifico,"Jewellery design, Chains, History of Jewellery, Alba Cappellieri, design del Gioiello, Gioiello, Accessorio Moda, Storia del Gioiello, Innovation",nocluster
"Gioielli Funzionali, Functional Jewellery",Cappellieri Alba,2017,03.1 Monografia o trattato scientifico,"Jewellery, Design, Functional Jewellery, Design del gioiello, gioiello funzionale, innovazione gioiello, Jewellery Innovation, Alba Cappellieri",nocluster
Dalla molecola al paziente. La biomedicina nella società contemporanea,"Crabu, Stefano",2017,03.1 Monografia o trattato scientifico,-,nocluster
Location-Based Mobile Games. Design Perspectives,"Spallazzo, Davide;Mariani, Ilaria",2018,03.1 Monografia o trattato scientifico,-,nocluster
Design e rito. La cultura del progetto per il patrimonio rituale contemporaneo,G. Pils;R. Trocchianesi,2017,03.1 Monografia o trattato scientifico,"Design, Rito, Design for Cultural Heritage, Design and Humanities",nocluster
"Materials that Move. Smart Materials, Intelligent Design",M. Bengisu;M. Ferrara,2018,03.1 Monografia o trattato scientifico,-,nocluster
Laboratori d'arredo. Didattica e progetti di design tra tradizione e innovazione,R. de Paolis;M. S. Tresoldi;G. Buratti;L. Dellera;E. Lupidi,2018,03.1 Monografia o trattato scientifico,-,nocluster
Furniture e Textile design. Ricerca applicata e formazione come strategie per l'area comasca,R. de Paolis;A. Deserti;F. Celaschi,2000,03.1 Monografia o trattato scientifico,"industria tessile, distretti industriali, arredo, disegno industriale",nocluster
Benedetto Luti: l'ultimo maestro,Rodolfo Maffeis,2012,03.1 Monografia o trattato scientifico,-,nocluster
Design & Alzheimer,"alessandro, biamonti",2018,03.1 Monografia o trattato scientifico,-,nocluster
Evolving Perspectives in Product Design. From Mass Production to Social Awareness,Lucia Rampino,2018,03.1 Monografia o trattato scientifico,-,nocluster
MASSIVE CODESIGN,"Meroni Anna;SELLONI, DANIELA;ROSSI, MARTINA",2018,03.1 Monografia o trattato scientifico,-,nocluster
"Il Design dell’illuminazione: dalla cultura del progetto, al colore, al CAD",M. Rossi,2018,03.1 Monografia o trattato scientifico,-,nocluster
FASHIONabilities. Pianificare e gestire i processi di progettazione del prodotto moda,Bertola P.;Colombi C.;Vacca F.,2018,03.1 Monografia o trattato scientifico,-,nocluster
SPAZIO AL CIBO. IL RUOLO DEL DESIGN NEL PROGETTO DELL’ALTA CUCINA,B Di Prete,2018,03.1 Monografia o trattato scientifico,-,nocluster
"Idee in movimento, il valore economico dell'innovazione",Marco Turinetto,2018,03.1 Monografia o trattato scientifico,"design, innovazione, economia, marketing",nocluster
EUCIP Guida alla certificazione per professionisti IT,G. BIGINI;M. BRAMBILLA;CAPPIELLO C;F. RIZZO,2007,03.1 Monografia o trattato scientifico,certificazione eucip,nocluster
Designing Sustainable Energy for All. Sustainable Product-Service System Design Applied to Distributed Renewable Energy,Vezzoli C.;Ceschin F.;Osanjo L.;M’Rithaa M. K.;Moalosi R.;Nakazibwe V.;Diehl J. C.,2018,03.1 Monografia o trattato scientifico,-,nocluster
